# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 0.9
# Delta_f0_over_b = 1
# rs_type = slip
# V0_over_Vs = 1.000000e-10
# bar_v0_over_cs = 3.678794e-11
# Delta_T = 2.000000e+00
# V_min = 2.138
# l_ini_over_lb = 3.000000e-05
# l_fin_over_lb = 1.000000e+04
# stop_reason = 2
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,3.00000000e-03,9.55311069e-01,5.37741189e+12
2.61695753e-07,3.00025000e-03,9.55304580e-01,5.37695286e+12
5.23393283e-07,3.00050000e-03,9.55298092e-01,5.37649391e+12
7.85092590e-07,3.00075000e-03,9.55291602e-01,5.37603503e+12
1.04679368e-06,3.00100000e-03,9.55285113e-01,5.37557623e+12
2.35532577e-06,3.00225000e-03,9.55252661e-01,5.37328335e+12
3.66390233e-06,3.00350000e-03,9.55220202e-01,5.37099234e+12
4.97252336e-06,3.00475000e-03,9.55187734e-01,5.36870321e+12
6.28118887e-06,3.00600000e-03,9.55155258e-01,5.36641596e+12
1.28251843e-05,3.01225000e-03,9.54992759e-01,5.35500773e+12
1.93702939e-05,3.01850000e-03,9.54830061e-01,5.34364603e+12
2.59165196e-05,3.02475000e-03,9.54667162e-01,5.33233056e+12
3.24638631e-05,3.03100000e-03,9.54504065e-01,5.32106104e+12
6.52174084e-05,3.06225000e-03,9.53685610e-01,5.26539284e+12
9.79991595e-05,3.09350000e-03,9.52862252e-01,5.21083193e+12
1.30809333e-04,3.12475000e-03,9.52034054e-01,5.15734520e+12
1.63648143e-04,3.15600000e-03,9.51201074e-01,5.10490086e+12
2.32535164e-04,3.22146488e-03,9.49440852e-01,4.99828183e+12
3.01550755e-04,3.28692976e-03,9.47660460e-01,4.89584036e+12
3.70696847e-04,3.35239463e-03,9.45860438e-01,4.79733273e+12
4.39975357e-04,3.41785951e-03,9.44041320e-01,4.70253383e+12
5.13530393e-04,3.48722697e-03,9.42093505e-01,4.60589918e+12
5.87238461e-04,3.55659443e-03,9.40125457e-01,4.51296615e+12
6.61101764e-04,3.62596189e-03,9.38137785e-01,4.42352335e+12
7.35122486e-04,3.69532934e-03,9.36131088e-01,4.33737524e+12
8.13863188e-04,3.76895641e-03,9.33981011e-01,4.24933941e+12
8.92786219e-04,3.84258348e-03,9.31810859e-01,4.16461088e+12
9.71894101e-04,3.91621055e-03,9.29621315e-01,4.08300423e+12
1.05118933e-03,3.98983762e-03,9.27413049e-01,4.00434767e+12
1.13554049e-03,4.06796643e-03,9.25050022e-01,3.92393041e+12
1.22010831e-03,4.14609523e-03,9.22667424e-01,3.84647926e+12
1.30489565e-03,4.22422404e-03,9.20266014e-01,3.77183081e+12
1.38990538e-03,4.30235284e-03,9.17846529e-01,3.69983345e+12
1.48033435e-03,4.38523594e-03,9.15260866e-01,3.62619605e+12
1.57102009e-03,4.46811904e-03,9.12656527e-01,3.55522790e+12
1.66196587e-03,4.55100213e-03,9.10034339e-01,3.48678436e+12
1.75317494e-03,4.63388523e-03,9.07395113e-01,3.42073110e+12
1.85019865e-03,4.72178749e-03,9.04578323e-01,3.35315053e+12
1.94752590e-03,4.80968976e-03,9.01744175e-01,3.28797968e+12
2.04516043e-03,4.89759203e-03,8.98893566e-01,3.22509004e+12
2.14310593e-03,4.98549429e-03,8.96027365e-01,3.16436210e+12
2.24728600e-03,5.07868341e-03,8.92972696e-01,3.10221856e+12
2.35182398e-03,5.17187253e-03,8.89902442e-01,3.04225639e+12
2.45672412e-03,5.26506166e-03,8.86817557e-01,2.98436101e+12
2.56199063e-03,5.35825078e-03,8.83718968e-01,2.92842578e+12
2.67393899e-03,5.45699711e-03,8.80421643e-01,2.87118342e+12
2.78630827e-03,5.55574345e-03,8.77110975e-01,2.81592039e+12
2.89910329e-03,5.65448979e-03,8.73787967e-01,2.76253425e+12
3.01232884e-03,5.75323613e-03,8.70453589e-01,2.71092959e+12
3.13270833e-03,5.85780763e-03,8.66911155e-01,2.65812404e+12
3.25358149e-03,5.96237914e-03,8.63358094e-01,2.60711803e+12
3.37495380e-03,6.06695065e-03,8.59795441e-01,2.55781979e+12
3.49683069e-03,6.17152215e-03,8.56224193e-01,2.51014373e+12
3.62634157e-03,6.28216717e-03,8.52437233e-01,2.46137624e+12
3.75642966e-03,6.39281220e-03,8.48642819e-01,2.41424709e+12
3.88710121e-03,6.50345722e-03,8.44842000e-01,2.36867390e+12
4.01836239e-03,6.61410224e-03,8.41035783e-01,2.32457979e+12
4.15775051e-03,6.73105174e-03,8.37007890e-01,2.27950160e+12
4.29781137e-03,6.84800125e-03,8.32976134e-01,2.23591637e+12
4.43855204e-03,6.96495075e-03,8.28941558e-01,2.19375013e+12
4.57997956e-03,7.08190026e-03,8.24905158e-01,2.15293376e+12
4.73002489e-03,7.20535342e-03,8.20643360e-01,2.11124071e+12
4.88085148e-03,7.32880659e-03,8.16381650e-01,2.07090872e+12
5.03246740e-03,7.45225975e-03,8.12121043e-01,2.03187134e+12
5.18488065e-03,7.57571291e-03,8.07862498e-01,1.99406642e+12
5.34638018e-03,7.70581979e-03,8.03377668e-01,1.95549376e+12
5.50878337e-03,7.83592666e-03,7.98897156e-01,1.91816162e+12
5.67209943e-03,7.96603353e-03,7.94421918e-01,1.88201037e+12
5.83633747e-03,8.09614040e-03,7.89952859e-01,1.84698416e+12
6.01010136e-03,8.23299739e-03,7.85259543e-01,1.81129742e+12
6.18490596e-03,8.36985439e-03,7.80574941e-01,1.77674053e+12
6.36076174e-03,8.50671138e-03,7.75899935e-01,1.74326002e+12
6.53767913e-03,8.64356837e-03,7.71235348e-01,1.71080581e+12
6.72450652e-03,8.78719940e-03,7.66351927e-01,1.67779757e+12
6.91252664e-03,8.93083043e-03,7.61481667e-01,1.64581699e+12
7.10175143e-03,9.07446145e-03,7.56625348e-01,1.61481628e+12
7.29219282e-03,9.21809248e-03,7.51783695e-01,1.58475058e+12
7.49287224e-03,9.36845222e-03,7.46731667e-01,1.55423230e+12
7.69491162e-03,9.51881196e-03,7.41697163e-01,1.52464715e+12
7.89832459e-03,9.66917170e-03,7.36680845e-01,1.49595251e+12
8.10312480e-03,9.81953144e-03,7.31683319e-01,1.46810833e+12
8.31839192e-03,9.97647851e-03,7.26487497e-01,1.43991074e+12
8.53520094e-03,1.01334256e-02,7.21313340e-01,1.41255848e+12
8.75356742e-03,1.02903727e-02,7.16161375e-01,1.38601371e+12
8.97350699e-03,1.04473197e-02,7.11032082e-01,1.36024082e+12
9.20403255e-03,1.06106172e-02,7.05719777e-01,1.33420840e+12
9.43629576e-03,1.07739147e-02,7.00432921e-01,1.30893972e+12
9.67031442e-03,1.09372122e-02,6.95171904e-01,1.28440132e+12
9.90610640e-03,1.11005097e-02,6.89937068e-01,1.26056165e+12
1.01525059e-02,1.12698431e-02,6.84536715e-01,1.23654699e+12
1.04008517e-02,1.14391764e-02,6.79165130e-01,1.21322042e+12
1.06511642e-02,1.16085098e-02,6.73822565e-01,1.19055249e+12
1.09034637e-02,1.17778432e-02,6.68509226e-01,1.16851538e+12
1.11662380e-02,1.19527913e-02,6.63050583e-01,1.14638223e+12
1.14311782e-02,1.21277394e-02,6.57623469e-01,1.12486705e+12
1.16983075e-02,1.23026876e-02,6.52227997e-01,1.10394403e+12
1.19676492e-02,1.24776357e-02,6.46864246e-01,1.08358876e+12
1.22471923e-02,1.26576934e-02,6.41377013e-01,1.06320756e+12
1.25291299e-02,1.28377510e-02,6.35923447e-01,1.04337953e+12
1.28134882e-02,1.30178086e-02,6.30503534e-01,1.02408217e+12
1.31002939e-02,1.31978663e-02,6.25117232e-01,1.00529419e+12
1.33969250e-02,1.33824795e-02,6.19629476e-01,9.86538616e+11
1.36961864e-02,1.35670928e-02,6.14176881e-01,9.68276715e+11
1.39981079e-02,1.37517060e-02,6.08759323e-01,9.50488978e+11
1.43027194e-02,1.39363192e-02,6.03376650e-01,9.33156901e+11
1.46166862e-02,1.41248997e-02,5.97914150e-01,9.15904573e+11
1.49335250e-02,1.43134802e-02,5.92487675e-01,8.99091633e+11
1.52532692e-02,1.45020606e-02,5.87097003e-01,8.82701231e+11
1.55759531e-02,1.46906411e-02,5.81741896e-01,8.66717363e+11
1.59072691e-02,1.48824826e-02,5.76330414e-01,8.50858536e+11
1.62417001e-02,1.50743241e-02,5.70955190e-01,8.35389466e+11
1.65792838e-02,1.52661656e-02,5.65615928e-01,8.20295682e+11
1.69200585e-02,1.54580071e-02,5.60312315e-01,8.05563414e+11
1.72688074e-02,1.56524817e-02,5.54971964e-01,7.90984494e+11
1.76209171e-02,1.58469563e-02,5.49667570e-01,7.76750607e+11
1.79764295e-02,1.60414308e-02,5.44398777e-01,7.62849364e+11
1.83353878e-02,1.62359054e-02,5.39165216e-01,7.49268955e+11
1.87013954e-02,1.64322807e-02,5.33915873e-01,7.35869905e+11
1.90710071e-02,1.66286560e-02,5.28701683e-01,7.22775447e+11
1.94442697e-02,1.68250312e-02,5.23522245e-01,7.09975023e+11
1.98212312e-02,1.70214065e-02,5.18377155e-01,6.97458550e+11
2.02042971e-02,1.72189914e-02,5.13234622e-01,6.85141814e+11
2.05912077e-02,1.74165763e-02,5.08126025e-01,6.73093407e+11
2.09820149e-02,1.76141612e-02,5.03050939e-01,6.61304361e+11
2.13767718e-02,1.78117461e-02,4.98008934e-01,6.49766095e+11
2.17765996e-02,1.80098570e-02,4.92986286e-01,6.38440641e+11
2.21805083e-02,1.82079679e-02,4.87996026e-01,6.27351120e+11
2.25885553e-02,1.84060788e-02,4.83037716e-01,6.16489937e+11
2.30007989e-02,1.86041897e-02,4.78110915e-01,6.05849812e+11
2.34170228e-02,1.88021699e-02,4.73218401e-01,5.95430571e+11
2.38375587e-02,1.90001501e-02,4.68356475e-01,5.85218440e+11
2.42624691e-02,1.91981302e-02,4.63524696e-01,5.75207003e+11
2.46918182e-02,1.93961104e-02,4.58722623e-01,5.65390098e+11
2.51239659e-02,1.95933162e-02,4.53968426e-01,5.55799103e+11
2.55606492e-02,1.97905221e-02,4.49242833e-01,5.46389625e+11
2.60019364e-02,1.99877279e-02,4.44545409e-01,5.37156258e+11
2.64478974e-02,2.01849337e-02,4.39875721e-01,5.28093796e+11
2.68955297e-02,2.03808014e-02,4.35264744e-01,5.19257050e+11
2.73479154e-02,2.05766692e-02,4.30680280e-01,5.10579235e+11
2.78051284e-02,2.07725369e-02,4.26121909e-01,5.02055800e+11
2.82672448e-02,2.09684047e-02,4.21589210e-01,4.93682358e+11
2.87297131e-02,2.11623415e-02,4.17126078e-01,4.85535088e+11
2.91971427e-02,2.13562784e-02,4.12687301e-01,4.77526760e+11
2.96696132e-02,2.15502152e-02,4.08272477e-01,4.69653550e+11
3.01472067e-02,2.17441521e-02,4.03881204e-01,4.61911764e+11
3.06239994e-02,2.19356885e-02,3.99567007e-01,4.54391310e+11
3.11059547e-02,2.21272249e-02,3.95275011e-01,4.46992249e+11
3.15931582e-02,2.23187613e-02,3.91004831e-01,4.39711371e+11
3.20856981e-02,2.25102976e-02,3.86756088e-01,4.32545567e+11
3.25760238e-02,2.26989107e-02,3.82592770e-01,4.25598662e+11
3.30717014e-02,2.28875238e-02,3.78449513e-01,4.18757653e+11
3.35728223e-02,2.30761369e-02,3.74325958e-01,4.12019851e+11
3.40794810e-02,2.32647500e-02,3.70221747e-01,4.05382643e+11
3.45826628e-02,2.34500265e-02,3.66208626e-01,3.98958340e+11
3.50913766e-02,2.36353031e-02,3.62213492e-01,3.92626342e+11
3.56057198e-02,2.38205797e-02,3.58236011e-01,3.86384393e+11
3.61257932e-02,2.40058562e-02,3.54275848e-01,3.80230302e+11
3.66410472e-02,2.41874003e-02,3.50411940e-01,3.74283359e+11
3.71620024e-02,2.43689444e-02,3.46564031e-01,3.68416785e+11
3.76887621e-02,2.45504885e-02,3.42731808e-01,3.62628693e+11
3.82214329e-02,2.47320326e-02,3.38914960e-01,3.56917242e+11
3.87482822e-02,2.49096076e-02,3.35196138e-01,3.51403089e+11
3.92809981e-02,2.50871827e-02,3.31491444e-01,3.45958929e+11
3.98196896e-02,2.52647578e-02,3.27800592e-01,3.40583176e+11
4.03644696e-02,2.54423328e-02,3.24123293e-01,3.35274285e+11
4.09018080e-02,2.56155342e-02,3.20549350e-01,3.30159130e+11
4.14451606e-02,2.57887355e-02,3.16987766e-01,3.25104795e+11
4.19946421e-02,2.59619369e-02,3.13438277e-01,3.20109955e+11
4.25503710e-02,2.61351382e-02,3.09900617e-01,3.15173314e+11
4.30974983e-02,2.63037519e-02,3.06467772e-01,3.10422135e+11
4.36507790e-02,2.64723657e-02,3.03045648e-01,3.05723781e+11
4.42103333e-02,2.66409794e-02,2.99634002e-01,3.01077140e+11
4.47762856e-02,2.68095931e-02,2.96232591e-01,2.96481126e+11
4.53327239e-02,2.69735088e-02,2.92935534e-01,2.92060691e+11
4.58954517e-02,2.71374246e-02,2.89647701e-01,2.87686147e+11
4.64645947e-02,2.73013403e-02,2.86368871e-01,2.83356563e+11
4.70402829e-02,2.74652560e-02,2.83098821e-01,2.79071023e+11
4.76047870e-02,2.76241718e-02,2.79936689e-01,2.74957411e+11
4.81756959e-02,2.77830877e-02,2.76782402e-01,2.70883565e+11
4.87531403e-02,2.79420036e-02,2.73635759e-01,2.66848704e+11
4.93372555e-02,2.81009194e-02,2.70496556e-01,2.62852064e+11
4.99094464e-02,2.82548253e-02,2.67463223e-01,2.59017146e+11
5.04881565e-02,2.84087312e-02,2.64436499e-01,2.55216709e+11
5.10735215e-02,2.85626371e-02,2.61416202e-01,2.51450098e+11
5.16656819e-02,2.87165430e-02,2.58402149e-01,2.47716669e+11
5.22448495e-02,2.88653570e-02,2.55493579e-01,2.44137723e+11
5.28306417e-02,2.90141710e-02,2.52590513e-01,2.40588654e+11
5.34231993e-02,2.91629850e-02,2.49692786e-01,2.37068915e+11
5.40226676e-02,2.93117990e-02,2.46800231e-01,2.33577967e+11
5.46082810e-02,2.94555101e-02,2.44011617e-01,2.30233551e+11
5.52006198e-02,2.95992213e-02,2.41227528e-01,2.26915026e+11
5.57998293e-02,2.97429325e-02,2.38447817e-01,2.23621932e+11
5.64060597e-02,2.98866437e-02,2.35672334e-01,2.20353815e+11
5.69975331e-02,3.00252455e-02,2.32999397e-01,2.17225136e+11
5.75958263e-02,3.01638472e-02,2.30330127e-01,2.14118888e+11
5.82010889e-02,3.03024489e-02,2.27664391e-01,2.11034685e+11
5.88134757e-02,3.04410507e-02,2.25002059e-01,2.07972148e+11
5.94099644e-02,3.05744966e-02,2.22441854e-01,2.05043656e+11
6.00133541e-02,3.07079426e-02,2.19884568e-01,2.02134579e+11
6.06237986e-02,3.08413886e-02,2.17330085e-01,1.99244594e+11
6.12414569e-02,3.09748346e-02,2.14778289e-01,1.96373385e+11
6.18425462e-02,3.11031970e-02,2.12326133e-01,1.93628982e+11
6.24506146e-02,3.12315594e-02,2.09876258e-01,1.90901394e+11
6.30658195e-02,3.13599218e-02,2.07428564e-01,1.88190355e+11
6.36883241e-02,3.14882842e-02,2.04982951e-01,1.85495602e+11
6.42937712e-02,3.16116780e-02,2.02633872e-01,1.82920270e+11
6.49062754e-02,3.17350717e-02,2.00286541e-01,1.80359525e+11
6.55259980e-02,3.18584655e-02,1.97940871e-01,1.77813147e+11
6.61531059e-02,3.19818592e-02,1.95596776e-01,1.75280917e+11
6.67626147e-02,3.21003900e-02,1.93346470e-01,1.72861609e+11
6.73792570e-02,3.22189208e-02,1.91097471e-01,1.70454976e+11
6.80031974e-02,3.23374516e-02,1.88849707e-01,1.68060838e+11
6.86346070e-02,3.24559823e-02,1.86603108e-01,1.65679014e+11
6.92479498e-02,3.25697716e-02,1.84447412e-01,1.63403895e+11
6.98685016e-02,3.26835608e-02,1.82292669e-01,1.61139816e+11
7.04964307e-02,3.27973501e-02,1.80138823e-01,1.58886630e+11
7.11319115e-02,3.29111393e-02,1.77985817e-01,1.56644193e+11
7.17488923e-02,3.30203149e-02,1.75920849e-01,1.54502652e+11
7.23731570e-02,3.31294904e-02,1.73856562e-01,1.52370757e+11
7.30048770e-02,3.32386659e-02,1.71792913e-01,1.50248391e+11
7.36442305e-02,3.33478415e-02,1.69729860e-01,1.48135439e+11
7.42642318e-02,3.34524603e-02,1.67753439e-01,1.46119407e+11
7.48915801e-02,3.35570791e-02,1.65777499e-01,1.44111827e+11
7.55264501e-02,3.36616979e-02,1.63802011e-01,1.42112605e+11
7.61690225e-02,3.37663167e-02,1.61826948e-01,1.40121654e+11
7.67924586e-02,3.38666141e-02,1.59933842e-01,1.38220629e+11
7.74233175e-02,3.39669116e-02,1.58041088e-01,1.36327059e+11
7.80617768e-02,3.40672090e-02,1.56148668e-01,1.34440875e+11
7.87080205e-02,3.41675065e-02,1.54256569e-01,1.32562013e+11
7.93354903e-02,3.42637273e-02,1.52441668e-01,1.30766345e+11
7.99704747e-02,3.43599481e-02,1.50627049e-01,1.28977309e+11
8.06131548e-02,3.44561689e-02,1.48812709e-01,1.27194860e+11
8.12637181e-02,3.45523897e-02,1.46998647e-01,1.25418953e+11
8.18945877e-02,3.46445774e-02,1.45260886e-01,1.23723581e+11
8.25330494e-02,3.47367651e-02,1.43523393e-01,1.22034147e+11
8.31792869e-02,3.48289528e-02,1.41786177e-01,1.20350621e+11
