# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 0.9
# Delta_f0_over_b = -1
# rs_type = slip
# V0_over_Vs = 1.000000e-10
# bar_v0_over_cs = 2.718282e-10
# Delta_T = 5.000000e+01
# V_min = 2.138
# l_ini_over_lb = 1.000000e-01
# l_fin_over_lb = 1.000000e+03
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,1.00000000e+00,9.91156674e-01,4.46133942e+11
2.52230558e-07,1.00000025e+00,9.91156670e-01,4.46133840e+11
5.04461116e-07,1.00000050e+00,9.91156667e-01,4.46133737e+11
7.56691675e-07,1.00000075e+00,9.91156664e-01,4.46133635e+11
1.00892224e-06,1.00000100e+00,9.91156660e-01,4.46133533e+11
2.27007505e-06,1.00000225e+00,9.91156643e-01,4.46133022e+11
3.53122789e-06,1.00000350e+00,9.91156626e-01,4.46132511e+11
4.79238074e-06,1.00000475e+00,9.91156608e-01,4.46131999e+11
6.05353362e-06,1.00000600e+00,9.91156591e-01,4.46131488e+11
1.23592983e-05,1.00001225e+00,9.91156505e-01,4.46128933e+11
1.86650636e-05,1.00001850e+00,9.91156419e-01,4.46126377e+11
2.49708294e-05,1.00002475e+00,9.91156333e-01,4.46123821e+11
3.12765958e-05,1.00003100e+00,9.91156247e-01,4.46121266e+11
6.28054359e-05,1.00006225e+00,9.91155817e-01,4.46108488e+11
9.43342896e-05,1.00009350e+00,9.91155387e-01,4.46095711e+11
1.25863157e-04,1.00012475e+00,9.91154957e-01,4.46082935e+11
1.57392038e-04,1.00015600e+00,9.91154527e-01,4.46070159e+11
3.15036649e-04,1.00031225e+00,9.91152376e-01,4.46006295e+11
4.72681602e-04,1.00046850e+00,9.91150225e-01,4.45942450e+11
6.30326897e-04,1.00062475e+00,9.91148074e-01,4.45878625e+11
7.87972534e-04,1.00078100e+00,9.91145923e-01,4.45814820e+11
1.57620585e-03,1.00156225e+00,9.91135165e-01,4.45496091e+11
2.36444773e-03,1.00234350e+00,9.91124405e-01,4.45177857e+11
3.15269816e-03,1.00312475e+00,9.91113641e-01,4.44860116e+11
3.94095716e-03,1.00390600e+00,9.91102875e-01,4.44542867e+11
7.88238064e-03,1.00781225e+00,9.91049001e-01,4.42963967e+11
1.18240185e-02,1.01171850e+00,9.90995055e-01,4.41397201e+11
1.57658711e-02,1.01562475e+00,9.90941039e-01,4.39842430e+11
1.97079388e-02,1.01953100e+00,9.90886953e-01,4.38299517e+11
3.94215126e-02,1.03906225e+00,9.90615489e-01,4.30758140e+11
5.91405061e-02,1.05859350e+00,9.90342362e-01,4.23493718e+11
7.88649545e-02,1.07812475e+00,9.90067645e-01,4.16491228e+11
9.85948920e-02,1.09765600e+00,9.89791410e-01,4.09736715e+11
1.38306139e-01,1.13695075e+00,9.89231336e-01,3.96847014e+11
1.78039984e-01,1.17624550e+00,9.88665948e-01,3.84814204e+11
2.17796656e-01,1.21554024e+00,9.88095768e-01,3.73555363e+11
2.57576364e-01,1.25483499e+00,9.87521293e-01,3.62997948e+11
3.02688747e-01,1.29936965e+00,9.86865618e-01,3.51800511e+11
