# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1
# Delta_f0_over_b = 0
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# bar_v0_over_cs = 1.000000e-10
# Delta_T = 1.000000e+01
# V_min = 2.138
# l_ini_over_lb = 3.000000e-04
# l_fin_over_lb = 1.000000e+04
# stop_reason = 0
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,3.00000000e-02,5.01176381e-01,1.75529164e+12
4.98828530e-07,3.00002500e-02,5.01172061e-01,1.75526583e+12
9.97661360e-07,3.00005000e-02,5.01167741e-01,1.75524002e+12
1.49649849e-06,3.00007500e-02,5.01163421e-01,1.75521421e+12
1.99533992e-06,3.00010000e-02,5.01159101e-01,1.75518840e+12
4.48961157e-06,3.00022500e-02,5.01137501e-01,1.75505936e+12
6.98399074e-06,3.00035000e-02,5.01115901e-01,1.75493034e+12
9.47847742e-06,3.00047500e-02,5.01094302e-01,1.75480132e+12
1.19730716e-05,3.00060000e-02,5.01072703e-01,1.75467231e+12
2.44476558e-05,3.00122500e-02,5.00964713e-01,1.75402743e+12
3.69249292e-05,3.00185000e-02,5.00856731e-01,1.75338279e+12
4.94048928e-05,3.00247500e-02,5.00748758e-01,1.75273841e+12
6.18875476e-05,3.00310000e-02,5.00640794e-01,1.75209428e+12
1.24341222e-04,3.00622500e-02,5.00101098e-01,1.74887737e+12
1.86862318e-04,3.00935000e-02,4.99561613e-01,1.74566669e+12
2.49450955e-04,3.01247500e-02,4.99022339e-01,1.74246224e+12
3.12107252e-04,3.01560000e-02,4.98483276e-01,1.73926399e+12
6.26407853e-04,3.03122500e-02,4.95791119e-01,1.72336508e+12
9.42418090e-04,3.04685000e-02,4.93104206e-01,1.70761835e+12
1.26015328e-03,3.06247500e-02,4.90422517e-01,1.69202150e+12
1.57962895e-03,3.07810000e-02,4.87746030e-01,1.67657225e+12
2.16193601e-03,3.10636092e-02,4.82918208e-01,1.64899699e+12
2.75008350e-03,3.13462183e-02,4.78107192e-01,1.62188454e+12
3.34416886e-03,3.16288275e-02,4.73312840e-01,1.59522256e+12
3.94429211e-03,3.19114366e-02,4.68535007e-01,1.56899912e+12
4.55239755e-03,3.21948999e-02,4.63759180e-01,1.54312538e+12
5.16678690e-03,3.24783631e-02,4.58999672e-01,1.51767003e+12
5.78756929e-03,3.27618264e-02,4.54256331e-01,1.49262223e+12
6.41485690e-03,3.30452896e-02,4.49528999e-01,1.46797149e+12
7.04076862e-03,3.33251958e-02,4.44876541e-01,1.44400982e+12
7.67324956e-03,3.36051019e-02,4.40239384e-01,1.42041601e+12
8.31241687e-03,3.38850080e-02,4.35617371e-01,1.39718093e+12
8.95839100e-03,3.41649141e-02,4.31010344e-01,1.37429576e+12
9.60119781e-03,3.44405139e-02,4.26488682e-01,1.35209623e+12
1.02508452e-02,3.47161136e-02,4.21981243e-01,1.33021974e+12
1.09074581e-02,3.49917134e-02,4.17487873e-01,1.30865862e+12
1.15711654e-02,3.52673132e-02,4.13008418e-01,1.28740546e+12
1.22302630e-02,3.55380768e-02,4.08620968e-01,1.26681815e+12
1.28964651e-02,3.58088405e-02,4.04246655e-01,1.24651454e+12
1.35699044e-02,3.60796042e-02,3.99885333e-01,1.22648819e+12
1.42507179e-02,3.63503679e-02,3.95536855e-01,1.20673287e+12
1.49254425e-02,3.66158091e-02,3.91286185e-01,1.18762316e+12
1.56075264e-02,3.68812502e-02,3.87047585e-01,1.16876260e+12
1.62971104e-02,3.71466913e-02,3.82820918e-01,1.15014583e+12
1.69943395e-02,3.74121325e-02,3.78606050e-01,1.13176761e+12
1.76839497e-02,3.76718021e-02,3.74494113e-01,1.11401496e+12
1.83811634e-02,3.79314716e-02,3.70393216e-01,1.09648114e+12
1.90861291e-02,3.81911412e-02,3.66303236e-01,1.07916169e+12
1.97989999e-02,3.84508107e-02,3.62224050e-01,1.06205222e+12
2.05031176e-02,3.87044568e-02,3.58249795e-01,1.04553831e+12
2.12150801e-02,3.89581028e-02,3.54285617e-01,1.02921688e+12
2.19350436e-02,3.92117488e-02,3.50331407e-01,1.01308418e+12
2.26631694e-02,3.94653948e-02,3.46387057e-01,9.97136563e+11
2.33811823e-02,3.97127247e-02,3.42550325e-01,9.81760916e+11
2.41072728e-02,3.99600545e-02,3.38722777e-01,9.66554692e+11
2.48416050e-02,4.02073843e-02,3.34904321e-01,9.51514778e+11
2.55843478e-02,4.04547141e-02,3.31094867e-01,9.36638137e+11
2.63156061e-02,4.06954742e-02,3.27395165e-01,9.22310676e+11
2.70551654e-02,4.09362343e-02,3.23703834e-01,9.08132489e+11
2.78031971e-02,4.11769944e-02,3.20020801e-01,8.94100995e+11
2.85598779e-02,4.14177544e-02,3.16345991e-01,8.80213675e+11
2.93041809e-02,4.16518817e-02,3.12780242e-01,8.66844889e+11
3.00570086e-02,4.18860090e-02,3.09222146e-01,8.53607942e+11
3.08185396e-02,4.21201363e-02,3.05671647e-01,8.40500702e+11
3.15889584e-02,4.23542636e-02,3.02128690e-01,8.27521088e+11
3.23457833e-02,4.25816199e-02,2.98695366e-01,8.15037066e+11
3.31113488e-02,4.28089763e-02,2.95269066e-01,8.02669691e+11
3.38858406e-02,4.30363326e-02,2.91849754e-01,7.90417208e+11
3.46694506e-02,4.32636890e-02,2.88437392e-01,7.78277909e+11
3.54385831e-02,4.34842621e-02,2.85133454e-01,7.66607388e+11
3.62166708e-02,4.37048352e-02,2.81836008e-01,7.55040367e+11
3.70039067e-02,4.39254083e-02,2.78545034e-01,7.43575415e+11
3.78004899e-02,4.41459814e-02,2.75260516e-01,7.32211136e+11
3.85819781e-02,4.43598494e-02,2.72081996e-01,7.21287167e+11
3.93726407e-02,4.45737174e-02,2.68909532e-01,7.10455384e+11
4.01726776e-02,4.47875855e-02,2.65743122e-01,6.99714628e+11
4.09822953e-02,4.50014535e-02,2.62582770e-01,6.89063774e+11
4.17761769e-02,4.52086970e-02,2.59526097e-01,6.78827565e+11
4.25794553e-02,4.54159406e-02,2.56475135e-01,6.68673799e+11
4.33923376e-02,4.56231841e-02,2.53429902e-01,6.58601549e+11
4.42150374e-02,4.58304277e-02,2.50390420e-01,6.48609917e+11
4.50211926e-02,4.60310944e-02,2.47452903e-01,6.39011370e+11
4.58369659e-02,4.62317612e-02,2.44520837e-01,6.29486843e+11
4.66625711e-02,4.64324280e-02,2.41594260e-01,6.20035611e+11
4.74982289e-02,4.66330948e-02,2.38673212e-01,6.10656970e+11
4.83170175e-02,4.68273595e-02,2.35850670e-01,6.01646068e+11
4.91456549e-02,4.70216242e-02,2.33033407e-01,5.92701992e+11
4.99843615e-02,4.72158889e-02,2.30221476e-01,5.83824187e+11
5.08333653e-02,4.74101536e-02,2.27414938e-01,5.75012118e+11
5.16649602e-02,4.75981410e-02,2.24704285e-01,5.66546905e+11
5.25066381e-02,4.77861284e-02,2.21998813e-01,5.58142345e+11
5.33586264e-02,4.79741158e-02,2.19298594e-01,5.49798030e+11
5.42211599e-02,4.81621032e-02,2.16603707e-01,5.41513571e+11
5.50665970e-02,4.83441246e-02,2.13999505e-01,5.33548724e+11
5.59223753e-02,4.85261460e-02,2.11400467e-01,5.25639350e+11
5.67887292e-02,4.87081674e-02,2.08806681e-01,5.17785167e+11
5.76659013e-02,4.88901887e-02,2.06218244e-01,5.09985909e+11
5.85254100e-02,4.90663582e-02,2.03718216e-01,5.02489475e+11
5.93955207e-02,4.92425276e-02,2.01223396e-01,4.95044073e+11
