# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1
# Delta_f0_over_b = 1
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# bar_v0_over_cs = 3.678794e-11
# Delta_T = 0.000000e+00
# V_min = 2.138
# l_ini_over_lb = 1.000000e+00
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,1.00000000e+00,9.40776663e-11,3.76310665e+00
2.65737870e+03,1.00000025e+00,9.40776765e-11,3.76310706e+00
5.31475711e+03,1.00000050e+00,9.40776868e-11,3.76310747e+00
7.97213523e+03,1.00000075e+00,9.40776970e-11,3.76310788e+00
1.06295131e+04,1.00000100e+00,9.40777072e-11,3.76310829e+00
2.39163979e+04,1.00000225e+00,9.40777585e-11,3.76311034e+00
3.72032755e+04,1.00000350e+00,9.40778097e-11,3.76311239e+00
5.04901458e+04,1.00000475e+00,9.40778609e-11,3.76311444e+00
6.37770089e+04,1.00000600e+00,9.40779122e-11,3.76311649e+00
1.30211216e+05,1.00001225e+00,9.40781683e-11,3.76312673e+00
1.96645242e+05,1.00001850e+00,9.40784245e-11,3.76313698e+00
2.63079087e+05,1.00002475e+00,9.40786806e-11,3.76314723e+00
3.29512752e+05,1.00003100e+00,9.40789368e-11,3.76315747e+00
6.61678360e+05,1.00006225e+00,9.40802176e-11,3.76320870e+00
9.93839446e+05,1.00009350e+00,9.40814984e-11,3.76325994e+00
1.32599601e+06,1.00012475e+00,9.40827793e-11,3.76331117e+00
1.65814805e+06,1.00015600e+00,9.40840601e-11,3.76336240e+00
3.31884044e+06,1.00031225e+00,9.40904647e-11,3.76361859e+00
4.97941978e+06,1.00046850e+00,9.40968698e-11,3.76387479e+00
6.63988609e+06,1.00062475e+00,9.41032753e-11,3.76413101e+00
8.30023937e+06,1.00078100e+00,9.41096814e-11,3.76438725e+00
1.66003106e+07,1.00156225e+00,9.41417188e-11,3.76566875e+00
2.48975572e+07,1.00234350e+00,9.41737684e-11,3.76695074e+00
3.31919800e+07,1.00312475e+00,9.42058301e-11,3.76823320e+00
4.14835798e+07,1.00390600e+00,9.42379038e-11,3.76951615e+00
8.28992647e+07,1.00781225e+00,9.43984544e-11,3.77593817e+00
1.24244504e+08,1.01171850e+00,9.45593075e-11,3.78237230e+00
1.65519406e+08,1.01562475e+00,9.47204634e-11,3.78881854e+00
2.06724078e+08,1.01953100e+00,9.48819218e-11,3.79527687e+00
3.90779258e+08,1.03706136e+00,9.56102365e-11,3.82440946e+00
5.73431906e+08,1.05459171e+00,9.63446443e-11,3.85378577e+00
7.54691817e+08,1.07212207e+00,9.70851443e-11,3.88340577e+00
9.34568822e+08,1.08965242e+00,9.78317362e-11,3.91326945e+00
