# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1
# Delta_f0_over_b = 1
# rs_type = slip
# V0_over_Vs = 1.000000e-10
# bar_v0_over_cs = 3.678794e-11
# Delta_T = 0.000000e+00
# V_min = 2.138
# l_ini_over_lb = 1.000000e+00
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,1.00000000e+00,1.13910513e-10,4.55642050e+00
2.19470499e+03,1.00000025e+00,1.13910539e-10,4.55642157e+00
4.38940947e+03,1.00000050e+00,1.13910566e-10,4.55642264e+00
6.58411344e+03,1.00000075e+00,1.13910593e-10,4.55642370e+00
8.77881689e+03,1.00000100e+00,1.13910619e-10,4.55642477e+00
1.97523264e+04,1.00000225e+00,1.13910753e-10,4.55643010e+00
3.07258232e+04,1.00000350e+00,1.13910886e-10,4.55643543e+00
4.16993070e+04,1.00000475e+00,1.13911019e-10,4.55644077e+00
5.26727780e+04,1.00000600e+00,1.13911152e-10,4.55644610e+00
1.07539941e+05,1.00001225e+00,1.13911819e-10,4.55647276e+00
1.62406782e+05,1.00001850e+00,1.13912486e-10,4.55649943e+00
2.17273302e+05,1.00002475e+00,1.13913152e-10,4.55652609e+00
2.72139502e+05,1.00003100e+00,1.13913819e-10,4.55655275e+00
5.46465682e+05,1.00006225e+00,1.13917152e-10,4.55668608e+00
8.20783836e+05,1.00009350e+00,1.13920485e-10,4.55681940e+00
1.09509396e+06,1.00012475e+00,1.13923818e-10,4.55695274e+00
1.36939607e+06,1.00015600e+00,1.13927152e-10,4.55708608e+00
2.74078618e+06,1.00031225e+00,1.13943822e-10,4.55775287e+00
4.11197566e+06,1.00046850e+00,1.13960495e-10,4.55841981e+00
5.48296451e+06,1.00062475e+00,1.13977172e-10,4.55908689e+00
6.85375276e+06,1.00078100e+00,1.13993853e-10,4.55975413e+00
1.37046853e+07,1.00156225e+00,1.14077313e-10,4.56309252e+00
2.05506047e+07,1.00234350e+00,1.14160865e-10,4.56643460e+00
2.73915128e+07,1.00312475e+00,1.14244510e-10,4.56978040e+00
3.42274113e+07,1.00390600e+00,1.14328247e-10,4.57312990e+00
6.83318235e+07,1.00781225e+00,1.14748329e-10,4.58993314e+00
1.02311267e+08,1.01171850e+00,1.15170741e-10,4.60682964e+00
1.36165969e+08,1.01562475e+00,1.15595496e-10,4.62381984e+00
