# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1
# Delta_f0_over_b = 1
# rs_type = slip
# V0_over_Vs = 1.000000e-10
# bar_v0_over_cs = 3.678794e-11
# Delta_T = 5.000000e+01
# V_min = 2.138
# l_ini_over_lb = 1.000000e-02
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,1.00000000e+01,8.44286536e-01,6.03139062e+10
2.96108002e-07,1.00000002e+01,8.44286534e-01,6.03139052e+10
5.92216005e-07,1.00000005e+01,8.44286533e-01,6.03139042e+10
8.88324011e-07,1.00000007e+01,8.44286532e-01,6.03139033e+10
1.18443201e-06,1.00000010e+01,8.44286530e-01,6.03139023e+10
2.66497205e-06,1.00000022e+01,8.44286523e-01,6.03138974e+10
4.14551209e-06,1.00000035e+01,8.44286516e-01,6.03138925e+10
5.62605214e-06,1.00000047e+01,8.44286510e-01,6.03138876e+10
7.10659221e-06,1.00000060e+01,8.44286503e-01,6.03138826e+10
1.45092927e-05,1.00000122e+01,8.44286468e-01,6.03138581e+10
2.19119935e-05,1.00000185e+01,8.44286434e-01,6.03138336e+10
2.93146947e-05,1.00000247e+01,8.44286399e-01,6.03138090e+10
3.67173961e-05,1.00000310e+01,8.44286365e-01,6.03137845e+10
7.37309077e-05,1.00000622e+01,8.44286192e-01,6.03136618e+10
1.10744427e-04,1.00000935e+01,8.44286019e-01,6.03135391e+10
1.47757954e-04,1.00001248e+01,8.44285847e-01,6.03134164e+10
1.84771488e-04,1.00001560e+01,8.44285674e-01,6.03132937e+10
3.69839273e-04,1.00003123e+01,8.44284811e-01,6.03126803e+10
5.54907248e-04,1.00004685e+01,8.44283948e-01,6.03120668e+10
7.39975412e-04,1.00006248e+01,8.44283085e-01,6.03114534e+10
9.25043764e-04,1.00007810e+01,8.44282222e-01,6.03108400e+10
1.85038837e-03,1.00015622e+01,8.44277908e-01,6.03077734e+10
2.77573769e-03,1.00023435e+01,8.44273595e-01,6.03047072e+10
3.70109175e-03,1.00031248e+01,8.44269283e-01,6.03016416e+10
4.62645053e-03,1.00039060e+01,8.44264971e-01,6.02985764e+10
9.25331529e-03,1.00078123e+01,8.44243429e-01,6.02832583e+10
1.38802981e-02,1.00117185e+01,8.44221910e-01,6.02679528e+10
1.85073987e-02,1.00156248e+01,8.44200415e-01,6.02526599e+10
2.31346171e-02,1.00195310e+01,8.44178943e-01,6.02373796e+10
4.62724711e-02,1.00390623e+01,8.44071936e-01,6.01611662e+10
6.94132505e-02,1.00585935e+01,8.43965512e-01,6.00852652e+10
9.25569402e-02,1.00781248e+01,8.43859670e-01,6.00096747e+10
1.15703525e-01,1.00976560e+01,8.43754409e-01,5.99343929e+10
2.31479345e-01,1.01953123e+01,8.43236723e-01,5.95625511e+10
3.47325288e-01,1.02929685e+01,8.42733222e-01,5.91981605e+10
4.63239503e-01,1.03906248e+01,8.42243650e-01,5.88410082e+10
5.79220171e-01,1.04882810e+01,8.41767757e-01,5.84908890e+10
8.40304869e-01,1.07079188e+01,8.40746142e-01,5.77281261e+10
1.10169680e+00,1.09275567e+01,8.39789761e-01,5.69978358e+10
1.36337675e+00,1.11471945e+01,8.38895997e-01,5.62980674e+10
1.62532618e+00,1.13668324e+01,8.38062338e-01,5.56270211e+10
1.92543235e+00,1.16182056e+01,8.37178880e-01,5.48921286e+10
2.22584235e+00,1.18695789e+01,8.36367523e-01,5.41903873e+10
2.52653144e+00,1.21209521e+01,8.35624960e-01,5.35196922e+10
2.82747592e+00,1.23723254e+01,8.34948032e-01,5.28781095e+10
3.17789452e+00,1.26647800e+01,8.34239084e-01,5.21659586e+10
3.52859401e+00,1.29572347e+01,8.33610394e-01,5.14882445e+10
3.87954195e+00,1.32496894e+01,8.33057688e-01,5.08426284e+10
4.23070748e+00,1.35421441e+01,8.32576920e-01,5.02269746e+10
4.62609966e+00,1.38712448e+01,8.32117172e-01,4.95675776e+10
5.02169089e+00,1.42003456e+01,8.31738527e-01,4.89411135e+10
5.41744392e+00,1.45294464e+01,8.31436139e-01,4.83452745e+10
