# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1
# Delta_f0_over_b = -1
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# bar_v0_over_cs = 2.718282e-10
# Delta_T = 5.000000e+01
# V_min = 2.138
# l_ini_over_lb = 1.000000e-02
# l_fin_over_lb = 1.000000e+04
# stop_reason = 0
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,1.00000000e+00,3.10588619e-01,1.68171988e+11
8.04923481e-07,1.00000025e+00,3.10588440e-01,1.68171861e+11
1.60984742e-06,1.00000050e+00,3.10588262e-01,1.68171733e+11
2.41477183e-06,1.00000075e+00,3.10588083e-01,1.68171606e+11
3.21969670e-06,1.00000100e+00,3.10587905e-01,1.68171478e+11
7.24432798e-06,1.00000225e+00,3.10587012e-01,1.68170841e+11
1.12689708e-05,1.00000350e+00,3.10586119e-01,1.68170203e+11
1.52936252e-05,1.00000475e+00,3.10585227e-01,1.68169565e+11
1.93182912e-05,1.00000600e+00,3.10584334e-01,1.68168927e+11
3.94417946e-05,1.00001225e+00,3.10579871e-01,1.68165739e+11
5.95655872e-05,1.00001850e+00,3.10575408e-01,1.68162551e+11
7.96896690e-05,1.00002475e+00,3.10570945e-01,1.68159362e+11
9.98140399e-05,1.00003100e+00,3.10566482e-01,1.68156174e+11
2.00440233e-04,1.00006225e+00,3.10544168e-01,1.68140233e+11
3.01073657e-04,1.00009350e+00,3.10521853e-01,1.68124293e+11
4.01714312e-04,1.00012475e+00,3.10499539e-01,1.68108353e+11
5.02362201e-04,1.00015600e+00,3.10477224e-01,1.68092415e+11
1.00571017e-03,1.00031225e+00,3.10365655e-01,1.68012735e+11
1.50923911e-03,1.00046850e+00,3.10254089e-01,1.67933075e+11
2.01294915e-03,1.00062475e+00,3.10142527e-01,1.67853436e+11
2.51684041e-03,1.00078100e+00,3.10030968e-01,1.67773818e+11
5.03901939e-03,1.00156225e+00,3.09473228e-01,1.67376038e+11
7.56574764e-03,1.00234350e+00,3.08915575e-01,1.66978774e+11
1.00970409e-02,1.00312475e+00,3.08358010e-01,1.66582026e+11
1.26329149e-02,1.00390600e+00,3.07800533e-01,1.66185793e+11
2.53815565e-02,1.00781225e+00,3.05014463e-01,1.64212300e+11
3.82471362e-02,1.01171850e+00,3.02230577e-01,1.62251494e+11
5.12317250e-02,1.01562475e+00,2.99448866e-01,1.60303236e+11
6.43374503e-02,1.01953100e+00,2.96669325e-01,1.58367388e+11
8.03081130e-02,1.02424220e+00,2.93319885e-01,1.56048944e+11
9.64621087e-02,1.02895341e+00,2.89973587e-01,1.53748130e+11
1.12803517e-01,1.03366461e+00,2.86630430e-01,1.51464724e+11
1.29336558e-01,1.03837582e+00,2.83290413e-01,1.49198509e+11
1.45616047e-01,1.04296115e+00,2.80042657e-01,1.47009151e+11
1.62085350e-01,1.04754648e+00,2.76797894e-01,1.44835694e+11
1.78748765e-01,1.05213181e+00,2.73556139e-01,1.42677957e+11
1.95610737e-01,1.05671714e+00,2.70317410e-01,1.40535764e+11
2.12098367e-01,1.06114821e+00,2.67190545e-01,1.38480253e+11
2.28779997e-01,1.06557927e+00,2.64066558e-01,1.36438954e+11
2.45660059e-01,1.07001033e+00,2.60945481e-01,1.34411724e+11
2.62743141e-01,1.07444139e+00,2.57827351e-01,1.32398428e+11
2.79429078e-01,1.07871834e+00,2.54820502e-01,1.30468245e+11
2.96312985e-01,1.08299530e+00,2.51816485e-01,1.28550809e+11
3.13399420e-01,1.08727225e+00,2.48815348e-01,1.26646013e+11
3.30693100e-01,1.09154920e+00,2.45817146e-01,1.24753753e+11
3.47580084e-01,1.09567585e+00,2.42927143e-01,1.22939780e+11
3.64669071e-01,1.09980251e+00,2.40039993e-01,1.21137306e+11
3.81964742e-01,1.10392917e+00,2.37155762e-01,1.19346251e+11
3.99471941e-01,1.10805582e+00,2.34274524e-01,1.17566542e+11
4.16578494e-01,1.11203963e+00,2.31495933e-01,1.15859137e+11
4.33891505e-01,1.11602345e+00,2.28720285e-01,1.14162185e+11
4.51415790e-01,1.12000726e+00,2.25947665e-01,1.12475634e+11
4.69156327e-01,1.12399107e+00,2.23178163e-01,1.10799435e+11
4.86485671e-01,1.12783542e+00,2.20508661e-01,1.09191687e+11
5.04025964e-01,1.13167977e+00,2.17842251e-01,1.07593505e+11
5.21782147e-01,1.13552412e+00,2.15179034e-01,1.06004856e+11
5.39759331e-01,1.13936847e+00,2.12519119e-01,1.04425713e+11
5.57322649e-01,1.14307844e+00,2.09955415e-01,1.02910760e+11
5.75101608e-01,1.14678842e+00,2.07395006e-01,1.01404624e+11
5.93101278e-01,1.15049840e+00,2.04838010e-01,9.99072950e+10
6.11326899e-01,1.15420837e+00,2.02284552e-01,9.84187635e+10
6.29145148e-01,1.15779075e+00,1.99822403e-01,9.69897766e+10
6.47184154e-01,1.16137312e+00,1.97363804e-01,9.55689910e+10
6.65449116e-01,1.16495549e+00,1.94908890e-01,9.41564117e+10
6.83945412e-01,1.16853786e+00,1.92457801e-01,9.27520468e+10
7.02041424e-01,1.17199913e+00,1.90093340e-01,9.14029688e+10
7.20363748e-01,1.17546041e+00,1.87732733e-01,9.00615872e+10
7.38917727e-01,1.17892168e+00,1.85376127e-01,8.87279209e+10
7.57708880e-01,1.18238296e+00,1.83023678e-01,8.74019924e+10
7.76123616e-01,1.18573232e+00,1.80751405e-01,8.61263271e+10
7.94771101e-01,1.18908168e+00,1.78483335e-01,8.48579607e+10
8.13656836e-01,1.19243104e+00,1.76219631e-01,8.35969246e+10
8.32786505e-01,1.19578040e+00,1.73960465e-01,8.23432533e+10
8.51525509e-01,1.19901977e+00,1.71779975e-01,8.11377960e+10
8.70503648e-01,1.20225913e+00,1.69604064e-01,7.99393027e+10
8.89726572e-01,1.20549850e+00,1.67432909e-01,7.87478154e+10
9.09200111e-01,1.20873786e+00,1.65266692e-01,7.75633789e+10
9.28303045e-01,1.21187490e+00,1.63173789e-01,7.64231232e+10
9.47652288e-01,1.21501194e+00,1.61085876e-01,7.52895731e+10
9.67253652e-01,1.21814898e+00,1.59003138e-01,7.41627791e+10
9.87113133e-01,1.22128601e+00,1.56925771e-01,7.30427945e+10
1.00663724e+00,1.22433017e+00,1.54915232e-01,7.19625335e+10
1.02641605e+00,1.22737433e+00,1.52910129e-01,7.08887931e+10
1.04645557e+00,1.23041849e+00,1.50910659e-01,6.98216311e+10
1.06676199e+00,1.23346265e+00,1.48917024e-01,6.87611077e+10
1.08673481e+00,1.23641762e+00,1.46987577e-01,6.77380643e+10
1.10697113e+00,1.23937259e+00,1.45064024e-01,6.67213968e+10
1.12747716e+00,1.24232756e+00,1.43146570e-01,6.57111683e+10
1.14825926e+00,1.24528254e+00,1.41235425e-01,6.47074445e+10
1.16872008e+00,1.24815335e+00,1.39384960e-01,6.37386028e+10
1.18945388e+00,1.25102415e+00,1.37540859e-01,6.27760299e+10
1.21046705e+00,1.25389496e+00,1.35703329e-01,6.18197928e+10
1.23176617e+00,1.25676577e+00,1.33872587e-01,6.08699605e+10
1.25280668e+00,1.25956376e+00,1.32095020e-01,5.99504510e+10
1.27413169e+00,1.26236176e+00,1.30324318e-01,5.90371614e+10
1.29574785e+00,1.26515975e+00,1.28560695e-01,5.81301616e+10
1.31766197e+00,1.26795774e+00,1.26804368e-01,5.72295230e+10
1.33934033e+00,1.27068810e+00,1.25097744e-01,5.63568582e+10
1.36131582e+00,1.27341846e+00,1.23398492e-01,5.54903904e+10
1.38359533e+00,1.27614881e+00,1.21706826e-01,5.46301905e+10
1.40618597e+00,1.27887917e+00,1.20022966e-01,5.37763310e+10
1.42855701e+00,1.28154584e+00,1.18386127e-01,5.29485778e+10
1.45123876e+00,1.28421252e+00,1.16757157e-01,5.21270125e+10
1.47423839e+00,1.28687919e+00,1.15136268e-01,5.13117061e+10
1.49756328e+00,1.28954586e+00,1.13523678e-01,5.05027299e+10
1.52072374e+00,1.29215688e+00,1.11952997e-01,4.97168416e+10
1.54421057e+00,1.29476789e+00,1.10390689e-01,4.89371600e+10
1.56803124e+00,1.29737890e+00,1.08836965e-01,4.81637544e+10
1.59219344e+00,1.29998992e+00,1.07292036e-01,4.73966940e+10
1.61621781e+00,1.30254939e+00,1.05786345e-01,4.66510003e+10
1.64058556e+00,1.30510887e+00,1.04289512e-01,4.59115369e+10
1.66530451e+00,1.30766835e+00,1.02801742e-01,4.51783698e+10
1.69038268e+00,1.31022782e+00,1.01323239e-01,4.44515650e+10
1.71541113e+00,1.31274564e+00,9.98780418e-02,4.37428618e+10
1.74080319e+00,1.31526345e+00,9.84422047e-02,4.30404413e+10
1.76656708e+00,1.31778127e+00,9.70159232e-02,4.23443654e+10
1.79271123e+00,1.32029909e+00,9.55993918e-02,4.16546953e+10
1.81882843e+00,1.32277773e+00,9.42146124e-02,4.09820718e+10
1.84533098e+00,1.32525637e+00,9.28396543e-02,4.03157721e+10
1.87222750e+00,1.32773501e+00,9.14747009e-02,3.96558526e+10
1.89952687e+00,1.33021365e+00,9.01199335e-02,3.90023684e+10
1.92681425e+00,1.33265465e+00,8.87958675e-02,3.83651488e+10
1.95450998e+00,1.33509565e+00,8.74820252e-02,3.77342734e+10
1.98262314e+00,1.33753666e+00,8.61785747e-02,3.71097914e+10
2.01116300e+00,1.33997766e+00,8.48856812e-02,3.64917505e+10
2.03991346e+00,1.34239980e+00,8.36133736e-02,3.58848975e+10
2.06910289e+00,1.34482194e+00,8.23517767e-02,3.52844754e+10
2.09874099e+00,1.34724408e+00,8.11010435e-02,3.46905260e+10
2.12883767e+00,1.34966623e+00,7.98613233e-02,3.41030893e+10
2.15905392e+00,1.35206091e+00,7.86466256e-02,3.35287512e+10
2.18973833e+00,1.35445559e+00,7.74429718e-02,3.29608509e+10
2.22090114e+00,1.35685027e+00,7.62504948e-02,3.23994210e+10
2.25255280e+00,1.35924496e+00,7.50693230e-02,3.18444920e+10
2.28450807e+00,1.36162516e+00,7.39066180e-02,3.12993882e+10
2.31696754e+00,1.36400537e+00,7.27553214e-02,3.07607605e+10
2.34994214e+00,1.36638557e+00,7.16155456e-02,3.02286321e+10
2.38344303e+00,1.36876578e+00,7.04873975e-02,2.97030237e+10
2.41731936e+00,1.37113473e+00,6.93762297e-02,2.91863924e+10
2.45173975e+00,1.37350368e+00,6.82767759e-02,2.86762533e+10
2.48671587e+00,1.37587263e+00,6.71891256e-02,2.81726192e+10
2.52225965e+00,1.37824158e+00,6.61133625e-02,2.76755005e+10
2.55826216e+00,1.38060265e+00,6.50530820e-02,2.71865252e+10
2.59485292e+00,1.38296372e+00,6.40047586e-02,2.67040346e+10
2.63204443e+00,1.38532480e+00,6.29684577e-02,2.62280309e+10
2.66984946e+00,1.38768587e+00,6.19442385e-02,2.57585136e+10
2.70817380e+00,1.39004041e+00,6.09349376e-02,2.52967516e+10
2.74713435e+00,1.39239495e+00,5.99377508e-02,2.48414310e+10
2.78674449e+00,1.39474949e+00,5.89527183e-02,2.43925433e+10
2.82701787e+00,1.39710403e+00,5.79798738e-02,2.39500768e+10
2.86815121e+00,1.39946900e+00,5.70150191e-02,2.35121013e+10
2.90998204e+00,1.40183396e+00,5.60625099e-02,2.30805728e+10
2.95252496e+00,1.40419892e+00,5.51223614e-02,2.26554718e+10
2.99579484e+00,1.40656389e+00,5.41945821e-02,2.22367756e+10
3.03982034e+00,1.40892957e+00,5.32788972e-02,2.18243347e+10
3.08460382e+00,1.41129526e+00,5.23755872e-02,2.14182497e+10
3.13016099e+00,1.41366094e+00,5.14846416e-02,2.10184904e+10
3.17650782e+00,1.41602662e+00,5.06060437e-02,2.06250237e+10
3.22387260e+00,1.41840285e+00,4.97359368e-02,2.02361023e+10
3.27206728e+00,1.42077908e+00,4.88782357e-02,1.98534560e+10
3.32110890e+00,1.42315531e+00,4.80329052e-02,1.94770439e+10
3.37101483e+00,1.42553154e+00,4.71999042e-02,1.91068232e+10
3.42213524e+00,1.42792319e+00,4.63738990e-02,1.87404058e+10
3.47416739e+00,1.43031484e+00,4.55602827e-02,1.83801662e+10
3.52712990e+00,1.43270649e+00,4.47589960e-02,1.80260540e+10
3.58104168e+00,1.43509814e+00,4.39699743e-02,1.76780167e+10
3.63629743e+00,1.43750601e+00,4.31879220e-02,1.73337013e+10
3.69255485e+00,1.43991388e+00,4.24181541e-02,1.69954308e+10
3.74983423e+00,1.44232174e+00,4.16605891e-02,1.66631459e+10
3.80815622e+00,1.44472961e+00,4.09151406e-02,1.63367857e+10
3.86799081e+00,1.44715552e+00,4.01762671e-02,1.60139080e+10
3.92892678e+00,1.44958142e+00,3.94495025e-02,1.56969149e+10
3.99098627e+00,1.45200733e+00,3.87347449e-02,1.53857396e+10
4.05419180e+00,1.45443324e+00,3.80318884e-02,1.50803136e+10
