# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1
# Delta_f0_over_b = -1
# rs_type = slip
# V0_over_Vs = 1.000000e-10
# bar_v0_over_cs = 2.718282e-10
# Delta_T = 2.000000e+00
# V_min = 2.138
# l_ini_over_lb = 1.000000e-02
# l_fin_over_lb = 1.000000e+04
# stop_reason = 0
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,1.00000000e-02,7.00302033e-01,1.30426793e+12
3.56991406e-07,1.00002500e-02,7.00291906e-01,1.30422291e+12
7.13987975e-07,1.00005000e-02,7.00281780e-01,1.30417790e+12
1.07098971e-06,1.00007500e-02,7.00271654e-01,1.30413288e+12
1.42799660e-06,1.00010000e-02,7.00261528e-01,1.30408787e+12
3.21310851e-06,1.00022500e-02,7.00210896e-01,1.30386283e+12
4.99834950e-06,1.00035000e-02,7.00160265e-01,1.30363785e+12
6.78371959e-06,1.00047500e-02,7.00109635e-01,1.30341291e+12
8.56921880e-06,1.00060000e-02,7.00059004e-01,1.30318804e+12
1.74986523e-05,1.00122500e-02,6.99805857e-01,1.30206443e+12
2.64313164e-05,1.00185000e-02,6.99552717e-01,1.30094215e+12
3.53672135e-05,1.00247500e-02,6.99299584e-01,1.29982118e+12
4.43063457e-05,1.00310000e-02,6.99046459e-01,1.29870152e+12
8.90506128e-05,1.00622500e-02,6.97780945e-01,1.29312283e+12
1.33876097e-04,1.00935000e-02,6.96515627e-01,1.28757659e+12
1.78783080e-04,1.01247500e-02,6.95250510e-01,1.28206250e+12
2.23771846e-04,1.01560000e-02,6.93985603e-01,1.27658028e+12
4.05276809e-04,1.02815004e-02,6.88907965e-01,1.25487873e+12
5.88124008e-04,1.04070008e-02,6.83834256e-01,1.23366839e+12
7.72332321e-04,1.05325012e-02,6.78764891e-01,1.21293201e+12
9.57920923e-04,1.06580016e-02,6.73700262e-01,1.19265314e+12
1.15150497e-03,1.07879115e-02,6.68463061e-01,1.17212693e+12
1.34661082e-03,1.09178215e-02,6.63231711e-01,1.15205752e+12
1.54326078e-03,1.10477314e-02,6.58006569e-01,1.13242905e+12
1.74147757e-03,1.11776414e-02,6.52787963e-01,1.11322640e+12
1.94365667e-03,1.13090875e-02,6.47514615e-01,1.09421532e+12
2.14748790e-03,1.14405337e-02,6.42248571e-01,1.07561108e+12
2.35299610e-03,1.15719798e-02,6.36990103e-01,1.05740004e+12
2.56020659e-03,1.17034260e-02,6.31739461e-01,1.03956913e+12
2.77080496e-03,1.18359120e-02,6.26455434e-01,1.02196913e+12
2.98318580e-03,1.19683979e-02,6.21179803e-01,1.00473034e+12
3.19737659e-03,1.21008839e-02,6.15912762e-01,9.87841055e+11
3.41340541e-03,1.22333699e-02,6.10654483e-01,9.71290028e+11
3.63222347e-03,1.23664143e-02,6.05383009e-01,9.54998783e+11
3.85295360e-03,1.24994588e-02,6.00120667e-01,9.39027355e+11
4.07562608e-03,1.26325033e-02,5.94867576e-01,9.23365722e+11
4.30027189e-03,1.27655478e-02,5.89623840e-01,9.08004265e+11
4.52708183e-03,1.28986852e-02,5.84385889e-01,8.92923315e+11
4.75593199e-03,1.30318227e-02,5.79157464e-01,8.78124831e+11
4.98685560e-03,1.31649602e-02,5.73938623e-01,8.63600277e+11
5.21988665e-03,1.32980976e-02,5.68729405e-01,8.49341441e+11
5.45440304e-03,1.34308649e-02,5.63544283e-01,8.35379011e+11
5.69108515e-03,1.35636321e-02,5.58368772e-01,8.21665445e+11
5.92996924e-03,1.36963994e-02,5.53202873e-01,8.08193493e+11
6.17109245e-03,1.38291666e-02,5.48046573e-01,7.94956170e+11
6.41297789e-03,1.39611113e-02,5.42931702e-01,7.82026656e+11
6.65715077e-03,1.40930560e-02,5.37826253e-01,7.69315866e+11
6.90365043e-03,1.42250008e-02,5.32730179e-01,7.56817662e+11
7.15251728e-03,1.43569455e-02,5.27643422e-01,7.44526119e+11
7.40142767e-03,1.44876542e-02,5.22613434e-01,7.32547861e+11
7.65274318e-03,1.46183629e-02,5.17592447e-01,7.20761437e+11
7.90650632e-03,1.47490717e-02,5.12580377e-01,7.09161661e+11
8.16276079e-03,1.48797804e-02,5.07577128e-01,6.97743518e+11
8.41826112e-03,1.50088353e-02,5.02645735e-01,6.86643307e+11
8.67627835e-03,1.51378902e-02,4.97722734e-01,6.75710927e+11
8.93685816e-03,1.52669452e-02,4.92808008e-01,6.64942008e+11
9.20004759e-03,1.53960001e-02,4.87901433e-01,6.54332318e+11
9.46172563e-03,1.55230410e-02,4.83079259e-01,6.44039734e+11
9.72602681e-03,1.56500820e-02,4.78264725e-01,6.33893689e+11
9.99300000e-03,1.57771229e-02,4.73457689e-01,6.23890507e+11
1.02626955e-02,1.59041639e-02,4.68658005e-01,6.14026621e+11
1.05301363e-02,1.60288718e-02,4.63953464e-01,6.04476014e+11
1.08003008e-02,1.61535797e-02,4.59255709e-01,5.95053122e+11
1.10732410e-02,1.62782877e-02,4.54564582e-01,5.85754859e+11
1.13490107e-02,1.64029956e-02,4.49879920e-01,5.76578220e+11
1.16217975e-02,1.65250910e-02,4.45299497e-01,5.67708849e+11
1.18974029e-02,1.66471863e-02,4.40724946e-01,5.58950601e+11
1.21758822e-02,1.67692817e-02,4.36156095e-01,5.50300883e+11
