# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1.1
# Delta_f0_over_b = 0
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# bar_v0_over_cs = 1.000000e-10
# Delta_T = 5.000000e+01
# V_min = 2.138
# l_ini_over_lb = 1.000000e-02
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,1.00000000e-01,9.73401448e-01,3.92519404e+12
2.56831358e-07,1.00000250e-01,9.73401325e-01,3.92518380e+12
5.13662748e-07,1.00000500e-01,9.73401202e-01,3.92517355e+12
7.70494171e-07,1.00000750e-01,9.73401079e-01,3.92516331e+12
1.02732563e-06,1.00001000e-01,9.73400956e-01,3.92515307e+12
2.31148339e-06,1.00002250e-01,9.73400340e-01,3.92510186e+12
3.59564197e-06,1.00003500e-01,9.73399725e-01,3.92505066e+12
4.87980136e-06,1.00004750e-01,9.73399109e-01,3.92499945e+12
6.16396156e-06,1.00006000e-01,9.73398493e-01,3.92494825e+12
1.25847747e-05,1.00012250e-01,9.73395415e-01,3.92469225e+12
1.90056082e-05,1.00018500e-01,9.73392337e-01,3.92443628e+12
2.54264620e-05,1.00024750e-01,9.73389258e-01,3.92418035e+12
3.18473361e-05,1.00031000e-01,9.73386180e-01,3.92392444e+12
6.39520113e-05,1.00062250e-01,9.73370784e-01,3.92264540e+12
9.60571944e-05,1.00093500e-01,9.73355384e-01,3.92136715e+12
1.28162885e-04,1.00124750e-01,9.73339981e-01,3.92008968e+12
1.60269085e-04,1.00156000e-01,9.73324574e-01,3.91881301e+12
3.20807708e-04,1.00312250e-01,9.73247478e-01,3.91244145e+12
4.81359057e-04,1.00468500e-01,9.73170286e-01,3.90608951e+12
6.41923149e-04,1.00624750e-01,9.73092996e-01,3.89975710e+12
8.02500003e-04,1.00781000e-01,9.73015609e-01,3.89344413e+12
1.60557633e-03,1.01562250e-01,9.72627217e-01,3.86216768e+12
2.40897441e-03,1.02343500e-01,9.72236403e-01,3.83136386e+12
3.21269650e-03,1.03124750e-01,9.71843175e-01,3.80102195e+12
4.01674485e-03,1.03906000e-01,9.71447540e-01,3.77113152e+12
6.32297489e-03,1.06145062e-01,9.70300387e-01,3.68787728e+12
8.63195640e-03,1.08384124e-01,9.69133710e-01,3.60802550e+12
1.09437423e-02,1.10623187e-01,9.67947690e-01,3.53136979e+12
1.32583855e-02,1.12862249e-01,9.66742511e-01,3.45772010e+12
1.57049527e-02,1.15225872e-01,9.65449698e-01,3.38304126e+12
1.81548249e-02,1.17589495e-01,9.64135953e-01,3.31132706e+12
2.06080639e-02,1.19953118e-01,9.62801494e-01,3.24240249e+12
2.30647318e-02,1.22316741e-01,9.61446537e-01,3.17610602e+12
2.56518497e-02,1.24802249e-01,9.59999837e-01,3.10906207e+12
2.82428992e-02,1.27287757e-01,9.58530967e-01,3.04459899e+12
3.08379520e-02,1.29773266e-01,9.57040183e-01,2.98256873e+12
3.34370799e-02,1.32258774e-01,9.55527739e-01,2.92283435e+12
3.61711011e-02,1.34869009e-01,9.53916362e-01,2.86243530e+12
3.89097782e-02,1.37479244e-01,9.52281677e-01,2.80429254e+12
4.16531937e-02,1.40089479e-01,9.50623985e-01,2.74828024e+12
4.44014303e-02,1.42699714e-01,9.48943581e-01,2.69428172e+12
4.72893228e-02,1.45437587e-01,9.47156930e-01,2.63968847e+12
5.01827052e-02,1.48175459e-01,9.45345967e-01,2.58707578e+12
5.30816725e-02,1.50913331e-01,9.43511036e-01,2.53633613e+12
5.59863196e-02,1.53651203e-01,9.41652483e-01,2.48736966e+12
5.90355392e-02,1.56519507e-01,9.39680425e-01,2.43787123e+12
6.20912057e-02,1.59387811e-01,9.37683214e-01,2.39011782e+12
6.51534282e-02,1.62256115e-01,9.35661245e-01,2.34401719e+12
6.82223153e-02,1.65124419e-01,9.33614913e-01,2.29948349e+12
7.14409127e-02,1.68125868e-01,9.31447931e-01,2.25447339e+12
7.46670516e-02,1.71127317e-01,9.29255152e-01,2.21100617e+12
7.79008566e-02,1.74128765e-01,9.27037024e-01,2.16900239e+12
8.11424521e-02,1.77130214e-01,9.24793993e-01,2.12838794e+12
8.45389022e-02,1.80267211e-01,9.22423529e-01,2.08734920e+12
8.79441404e-02,1.83404208e-01,9.20026852e-01,2.04767894e+12
9.13583088e-02,1.86541205e-01,9.17604466e-01,2.00930848e+12
9.47815494e-02,1.89678201e-01,9.15156868e-01,1.97217361e+12
9.83647992e-02,1.92952818e-01,9.12575536e-01,1.93466285e+12
1.01958251e-01,1.96227435e-01,9.09967833e-01,1.89836936e+12
1.05562067e-01,1.99502051e-01,9.07334317e-01,1.86323355e+12
1.09176409e-01,2.02776668e-01,9.04675539e-01,1.82919966e+12
1.12955926e-01,2.06190622e-01,9.01877322e-01,1.79483449e+12
1.16747243e-01,2.09604576e-01,8.99052857e-01,1.76155490e+12
1.20550544e-01,2.13018530e-01,8.96202754e-01,1.72930905e+12
1.24366014e-01,2.16432485e-01,8.93327616e-01,1.69804835e+12
1.28351497e-01,2.19986815e-01,8.90308297e-01,1.66649998e+12
1.32350577e-01,2.23541145e-01,8.87263154e-01,1.63592186e+12
1.36363463e-01,2.27095476e-01,8.84192844e-01,1.60626882e+12
1.40390364e-01,2.30649806e-01,8.81098017e-01,1.57749842e+12
1.44591842e-01,2.34344913e-01,8.77855307e-01,1.54848151e+12
1.48808930e-01,2.38040020e-01,8.74587503e-01,1.52033346e+12
1.53041864e-01,2.41735127e-01,8.71295306e-01,1.49301479e+12
1.57290880e-01,2.45430234e-01,8.67979406e-01,1.46648838e+12
1.61718437e-01,2.49265593e-01,8.64513304e-01,1.43975571e+12
1.66163843e-01,2.53100952e-01,8.61023147e-01,1.41380226e+12
1.70627367e-01,2.56936311e-01,8.57509670e-01,1.38859352e+12
1.75109276e-01,2.60771670e-01,8.53973596e-01,1.36409697e+12
1.79772933e-01,2.64745715e-01,8.50286578e-01,1.33943323e+12
1.84456920e-01,2.68719761e-01,8.46576840e-01,1.31546915e+12
1.89161539e-01,2.72693806e-01,8.42845142e-01,1.29217449e+12
1.93887093e-01,2.76667851e-01,8.39092231e-01,1.26952075e+12
1.98796450e-01,2.80777676e-01,8.35189561e-01,1.24673856e+12
2.03728864e-01,2.84887500e-01,8.31265779e-01,1.22458503e+12
2.08684676e-01,2.88997325e-01,8.27321661e-01,1.20303367e+12
2.13664231e-01,2.93107150e-01,8.23357967e-01,1.18205949e+12
2.18828450e-01,2.97348536e-01,8.19247645e-01,1.16099406e+12
2.24018705e-01,3.01589923e-01,8.15118059e-01,1.14049368e+12
2.29235382e-01,3.05831310e-01,8.10969988e-01,1.12053517e+12
2.34478869e-01,3.10072697e-01,8.06804189e-01,1.10109661e+12
2.39906607e-01,3.14440127e-01,8.02496849e-01,1.08160187e+12
2.45363616e-01,3.18807556e-01,7.98172284e-01,1.06261503e+12
2.50850328e-01,3.23174986e-01,7.93831263e-01,1.04411582e+12
2.56367182e-01,3.27542416e-01,7.89474530e-01,1.02608503e+12
2.62065661e-01,3.32028420e-01,7.84983919e-01,1.00803326e+12
2.67796888e-01,3.36514424e-01,7.80478263e-01,9.90437797e+11
2.73561350e-01,3.41000428e-01,7.75958307e-01,9.73280933e+11
2.79359539e-01,3.45486431e-01,7.71424771e-01,9.56545857e+11
2.85335355e-01,3.50082399e-01,7.66766753e-01,9.39821311e+11
2.91347635e-01,3.54678366e-01,7.62095947e-01,9.23506466e+11
2.97396926e-01,3.59274333e-01,7.57413060e-01,9.07585865e+11
3.03483780e-01,3.63870300e-01,7.52718777e-01,8.92044825e+11
3.09741824e-01,3.68565795e-01,7.47911756e-01,8.76544697e+11
3.16040265e-01,3.73261291e-01,7.43094215e-01,8.61412029e+11
3.22379714e-01,3.77956786e-01,7.38266818e-01,8.46633368e+11
3.28760793e-01,3.82652281e-01,7.33430200e-01,8.32195908e+11
3.35304649e-01,3.87435579e-01,7.28494298e-01,8.17826698e+11
3.41893031e-01,3.92218877e-01,7.23550097e-01,8.03786652e+11
3.48526624e-01,3.97002174e-01,7.18598203e-01,7.90064085e+11
3.55206121e-01,4.01785472e-01,7.13639200e-01,7.76647856e+11
3.62037643e-01,4.06643471e-01,7.08596052e-01,7.63324732e+11
3.68917989e-01,4.11501469e-01,7.03546717e-01,7.50296025e+11
3.75847922e-01,4.16359467e-01,6.98491741e-01,7.37551613e+11
3.82828215e-01,4.21217466e-01,6.93431645e-01,7.25081831e+11
3.89946910e-01,4.26135524e-01,6.88304289e-01,7.12728186e+11
