# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1.1
# Delta_f0_over_b = 1
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# bar_v0_over_cs = 3.678794e-11
# Delta_T = 0.000000e+00
# V_min = 2.138
# l_ini_over_lb = 1.000000e+00
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,1.00000000e+00,8.58833413e-11,3.05201808e+00
2.91092529e+03,1.00000025e+00,8.58833481e-11,3.05201830e+00
5.82185035e+03,1.00000050e+00,8.58833549e-11,3.05201851e+00
8.73277517e+03,1.00000075e+00,8.58833617e-11,3.05201873e+00
1.16436998e+04,1.00000100e+00,8.58833685e-11,3.05201895e+00
2.61983193e+04,1.00000225e+00,8.58834025e-11,3.05202003e+00
4.07529331e+04,1.00000350e+00,8.58834364e-11,3.05202112e+00
5.53075411e+04,1.00000475e+00,8.58834704e-11,3.05202220e+00
6.98621434e+04,1.00000600e+00,8.58835044e-11,3.05202329e+00
1.42635068e+05,1.00001225e+00,8.58836742e-11,3.05202871e+00
2.15407849e+05,1.00001850e+00,8.58838441e-11,3.05203414e+00
2.88180487e+05,1.00002475e+00,8.58840139e-11,3.05203956e+00
3.60952980e+05,1.00003100e+00,8.58841838e-11,3.05204499e+00
7.24813287e+05,1.00006225e+00,8.58850330e-11,3.05207212e+00
1.08867000e+06,1.00009350e+00,8.58858823e-11,3.05209924e+00
1.45252311e+06,1.00012475e+00,8.58867315e-11,3.05212637e+00
1.81637262e+06,1.00015600e+00,8.58875808e-11,3.05215349e+00
3.63556622e+06,1.00031225e+00,8.58918272e-11,3.05228913e+00
5.45466989e+06,1.00046850e+00,8.58960738e-11,3.05242477e+00
7.27368362e+06,1.00062475e+00,8.59003206e-11,3.05256042e+00
9.09260742e+06,1.00078100e+00,8.59045676e-11,3.05269607e+00
1.81858777e+07,1.00156225e+00,8.59258051e-11,3.05337440e+00
2.72769004e+07,1.00234350e+00,8.59470472e-11,3.05405285e+00
3.63656764e+07,1.00312475e+00,8.59682937e-11,3.05473144e+00
4.54522061e+07,1.00390600e+00,8.59895447e-11,3.05541014e+00
9.08511842e+07,1.00781225e+00,8.60958674e-11,3.05880554e+00
1.36194103e+08,1.01171850e+00,8.62023021e-11,3.06220405e+00
1.81481041e+08,1.01562475e+00,8.63088487e-11,3.06560567e+00
2.26712078e+08,1.01953100e+00,8.64155070e-11,3.06901038e+00
4.52031543e+08,1.03906225e+00,8.69504646e-11,3.08608008e+00
6.75965447e+08,1.05859350e+00,8.74881771e-11,3.10322588e+00
8.98523777e+08,1.07812475e+00,8.80286153e-11,3.12044674e+00
1.11971653e+09,1.09765600e+00,8.85717504e-11,3.13774165e+00
1.43795374e+09,1.12596852e+00,8.93638107e-11,3.16294180e+00
1.75337300e+09,1.15428105e+00,9.01613966e-11,3.18829253e+00
2.06600485e+09,1.18259357e+00,9.09644278e-11,3.21379098e+00
2.37587976e+09,1.21090609e+00,9.17728267e-11,3.23943441e+00
2.74814174e+09,1.24525292e+00,9.27606197e-11,3.27073408e+00
3.11644535e+09,1.27959975e+00,9.37560742e-11,3.30223870e+00
3.48084449e+09,1.31394657e+00,9.47590668e-11,3.33394390e+00
3.84139275e+09,1.34829340e+00,9.57694791e-11,3.36584547e+00
4.26128300e+09,1.38875707e+00,9.69692021e-11,3.40367495e+00
4.67598890e+09,1.42922074e+00,9.81788891e-11,3.44176522e+00
5.08559594e+09,1.46968441e+00,9.93983710e-11,3.48011033e+00
5.49018866e+09,1.51014809e+00,1.00627487e-10,3.51870457e+00
5.96570233e+09,1.55834749e+00,1.02103942e-10,3.56499483e+00
6.43435894e+09,1.60654689e+00,1.03593606e-10,3.61162240e+00
6.89629546e+09,1.65474630e+00,1.05096246e-10,3.65857907e+00
7.35164653e+09,1.70294570e+00,1.06611642e-10,3.70585710e+00
7.92419197e+09,1.76454267e+00,1.08566498e-10,3.76673285e+00
8.48646797e+09,1.82613964e+00,1.10541446e-10,3.82810749e+00
9.03873788e+09,1.88773660e+00,1.12536105e-10,3.88996765e+00
9.58125823e+09,1.94933357e+00,1.14550121e-10,3.95230086e+00
1.01656686e+10,2.01692684e+00,1.16782080e-10,4.02123277e+00
1.07389599e+10,2.08452010e+00,1.19036547e-10,4.09070632e+00
1.13014430e+10,2.15211336e+00,1.21313141e-10,4.16070821e+00
1.18534188e+10,2.21970662e+00,1.23611510e-10,4.23122605e+00
1.23879975e+10,2.28639564e+00,1.25900152e-10,4.30129502e+00
1.29129030e+10,2.35308465e+00,1.28209376e-10,4.37184481e+00
1.34283976e+10,2.41977366e+00,1.30538906e-10,4.44286577e+00
1.39347354e+10,2.48646268e+00,1.32888482e-10,4.51434882e+00
1.44207204e+10,2.55160443e+00,1.35202668e-10,4.58461143e+00
1.48984245e+10,2.61674618e+00,1.37535538e-10,4.65529945e+00
1.53680623e+10,2.68188793e+00,1.39886890e-10,4.72640588e+00
1.58298415e+10,2.74702968e+00,1.42256536e-10,4.79792411e+00
1.62913694e+10,2.81324285e+00,1.44683721e-10,4.87103426e+00
1.67451901e+10,2.87945603e+00,1.47129445e-10,4.94455725e+00
1.71915011e+10,2.94566920e+00,1.49593541e-10,5.01848721e+00
1.76304938e+10,3.01188238e+00,1.52075851e-10,5.09281863e+00
1.80756170e+10,3.08014633e+00,1.54653952e-10,5.16986700e+00
1.85133542e+10,3.14841029e+00,1.57251097e-10,5.24733099e+00
1.89438951e+10,3.21667424e+00,1.59867135e-10,5.32520542e+00
1.93674229e+10,3.28493819e+00,1.62501928e-10,5.40348539e+00
1.97999735e+10,3.35582208e+00,1.65257547e-10,5.48519384e+00
2.02253453e+10,3.42670596e+00,1.68033099e-10,5.56732943e+00
2.06437237e+10,3.49758984e+00,1.70828449e-10,5.64988743e+00
2.10552878e+10,3.56847372e+00,1.73643468e-10,5.73286333e+00
2.14774288e+10,3.64239730e+00,1.76600022e-10,5.81983791e+00
2.18925364e+10,3.71632087e+00,1.79577700e-10,5.90725751e+00
2.23007934e+10,3.79024444e+00,1.82576374e-10,5.99511767e+00
2.27023767e+10,3.86416802e+00,1.85595924e-10,6.08341415e+00
2.31154385e+10,3.94148480e+00,1.88776285e-10,6.17622590e+00
2.35215751e+10,4.01880159e+00,1.91979226e-10,6.26950586e+00
2.39209684e+10,4.09611838e+00,1.95204625e-10,6.36324973e+00
2.43137940e+10,4.17343516e+00,1.98452366e-10,6.45745342e+00
2.47186375e+10,4.25446835e+00,2.01880074e-10,6.55667437e+00
2.51166410e+10,4.33550155e+00,2.05332075e-10,6.65639153e+00
2.55079860e+10,4.41653474e+00,2.08808251e-10,6.75660073e+00
2.58928476e+10,4.49756793e+00,2.12308488e-10,6.85729795e+00
2.62900421e+10,4.58262748e+00,2.16008409e-10,6.96351926e+00
2.66804670e+10,4.66768703e+00,2.19734596e-10,7.07026948e+00
2.70643040e+10,4.75274658e+00,2.23486932e-10,7.17754445e+00
2.74417281e+10,4.83780613e+00,2.27265307e-10,7.28534017e+00
2.78316569e+10,4.92719987e+00,2.31264147e-10,7.39918547e+00
2.82148775e+10,5.01659360e+00,2.35291500e-10,7.51359706e+00
2.85915715e+10,5.10598733e+00,2.39347248e-10,7.62857073e+00
2.89619142e+10,5.19538107e+00,2.43431278e-10,7.74410245e+00
2.93448347e+10,5.28942085e+00,2.47757970e-10,7.86623654e+00
2.97211023e+10,5.38346063e+00,2.52115710e-10,7.98897910e+00
3.00908991e+10,5.47750040e+00,2.56504378e-10,8.11232583e+00
3.04544007e+10,5.57154018e+00,2.60923860e-10,8.23627259e+00
3.08304824e+10,5.67054633e+00,2.65609914e-10,8.36740897e+00
3.11999632e+10,5.76955248e+00,2.70329863e-10,8.49920102e+00
3.15630260e+10,5.86855863e+00,2.75083587e-10,8.63164427e+00
3.19198466e+10,5.96756478e+00,2.79870965e-10,8.76473444e+00
3.22892003e+10,6.07187033e+00,2.84950867e-10,8.90564337e+00
3.26520039e+10,6.17617587e+00,2.90067854e-10,9.04726047e+00
3.30084405e+10,6.28048142e+00,2.95221798e-10,9.18958105e+00
3.33586864e+10,6.38478697e+00,3.00412576e-10,9.33260061e+00
3.37203174e+10,6.49441483e+00,3.05907783e-10,9.48366626e+00
3.40754863e+10,6.60404270e+00,3.11443397e-10,9.63549370e+00
3.44243755e+10,6.71367057e+00,3.17019283e-10,9.78807800e+00
3.47671599e+10,6.82329843e+00,3.22635313e-10,9.94141442e+00
3.51175973e+10,6.93738904e+00,3.28522446e-10,1.01017863e+01
3.54617877e+10,7.05147964e+00,3.34452768e-10,1.02629621e+01
3.57999070e+10,7.16557024e+00,3.40426141e-10,1.04249368e+01
