# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1.1
# Delta_f0_over_b = 1
# rs_type = slip
# V0_over_Vs = 1.000000e-10
# bar_v0_over_cs = 3.678794e-11
# Delta_T = 0.000000e+00
# V_min = 2.138
# l_ini_over_lb = 1.000000e+00
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,1.00000000e+00,9.34736926e-11,3.29330559e+00
2.67454912e+03,1.00000025e+00,9.34737058e-11,3.29330601e+00
5.34909786e+03,1.00000050e+00,9.34737190e-11,3.29330643e+00
8.02364623e+03,1.00000075e+00,9.34737323e-11,3.29330685e+00
1.06981942e+04,1.00000100e+00,9.34737455e-11,3.29330727e+00
2.40709285e+04,1.00000225e+00,9.34738116e-11,3.29330936e+00
3.74436533e+04,1.00000350e+00,9.34738777e-11,3.29331145e+00
5.08163686e+04,1.00000475e+00,9.34739438e-11,3.29331354e+00
6.41890745e+04,1.00000600e+00,9.34740099e-11,3.29331563e+00
1.31052462e+05,1.00001225e+00,9.34743404e-11,3.29332609e+00
1.97915613e+05,1.00001850e+00,9.34746708e-11,3.29333654e+00
2.64778528e+05,1.00002475e+00,9.34750013e-11,3.29334700e+00
3.31641206e+05,1.00003100e+00,9.34753318e-11,3.29335746e+00
6.65951052e+05,1.00006225e+00,9.34769843e-11,3.29340974e+00
1.00025499e+06,1.00009350e+00,9.34786368e-11,3.29346203e+00
1.33455301e+06,1.00012475e+00,9.34802894e-11,3.29351432e+00
1.66884513e+06,1.00015600e+00,9.34819420e-11,3.29356660e+00
3.34021707e+06,1.00031225e+00,9.34902056e-11,3.29382806e+00
5.01144127e+06,1.00046850e+00,9.34984701e-11,3.29408955e+00
6.68251775e+06,1.00062475e+00,9.35067356e-11,3.29435106e+00
8.35344651e+06,1.00078100e+00,9.35150021e-11,3.29461260e+00
1.67058749e+07,1.00156225e+00,9.35563489e-11,3.29592073e+00
2.50546117e+07,1.00234350e+00,9.35977198e-11,3.29722955e+00
3.33996580e+07,1.00312475e+00,9.36391148e-11,3.29853907e+00
4.17410150e+07,1.00390600e+00,9.36805338e-11,3.29984929e+00
8.33924989e+07,1.00781225e+00,9.38879903e-11,3.30641082e+00
1.24951917e+08,1.01171850e+00,9.40960489e-11,3.31298976e+00
1.66419412e+08,1.01562475e+00,9.43047099e-11,3.31958610e+00
2.07795123e+08,1.01953100e+00,9.45139732e-11,3.32619984e+00
3.55063211e+08,1.03350521e+00,9.52675260e-11,3.35000215e+00
5.01165122e+08,1.04747942e+00,9.60287963e-11,3.37402672e+00
6.46107569e+08,1.06145363e+00,9.67977899e-11,3.39827326e+00
7.89897379e+08,1.07542784e+00,9.75745129e-11,3.42274147e+00
9.77504246e+08,1.09383017e+00,9.86091626e-11,3.45530075e+00
1.16314035e+09,1.11223249e+00,9.96572392e-11,3.48824325e+00
1.34682204e+09,1.13063481e+00,1.00718756e-10,3.52156827e+00
1.52856588e+09,1.14903713e+00,1.01793725e-10,3.55527514e+00
1.73740915e+09,1.17042772e+00,1.03060177e-10,3.59493447e+00
1.94368359e+09,1.19181831e+00,1.04344843e-10,3.63510774e+00
2.14741626e+09,1.21320890e+00,1.05647744e-10,3.67579387e+00
2.34863448e+09,1.23459949e+00,1.06968899e-10,3.71699180e+00
2.57181585e+09,1.25864027e+00,1.08475550e-10,3.76390348e+00
2.79189544e+09,1.28268104e+00,1.10005316e-10,3.81145889e+00
3.00891296e+09,1.30672181e+00,1.11558225e-10,3.85965656e+00
3.22290831e+09,1.33076258e+00,1.13134307e-10,3.90849507e+00
3.45826836e+09,1.35759903e+00,1.14921082e-10,3.96376824e+00
3.68996827e+09,1.38443548e+00,1.16736816e-10,4.01983638e+00
3.91806392e+09,1.41127192e+00,1.18581556e-10,4.07669766e+00
4.14261117e+09,1.43810837e+00,1.20455347e-10,4.13435025e+00
4.39143502e+09,1.46834599e+00,1.22601483e-10,4.20025551e+00
4.63590434e+09,1.49858360e+00,1.24784631e-10,4.26716084e+00
4.87609819e+09,1.52882122e+00,1.27004861e-10,4.33506387e+00
5.11209515e+09,1.55905884e+00,1.29262246e-10,4.40396232e+00
5.38134614e+09,1.59422016e+00,1.31934033e-10,4.48532869e+00
5.64514909e+09,1.62938148e+00,1.34656284e-10,4.56803500e+00
5.90362405e+09,1.66454280e+00,1.37429123e-10,4.65207807e+00
6.15688950e+09,1.69970412e+00,1.40252676e-10,4.73745487e+00
6.44121785e+09,1.74004800e+00,1.43555050e-10,4.83705517e+00
6.71901532e+09,1.78039189e+00,1.46924566e-10,4.93840374e+00
6.99045229e+09,1.82073577e+00,1.50361429e-10,5.04149665e+00
7.25569582e+09,1.86107965e+00,1.53865847e-10,5.14633015e+00
7.51082299e+09,1.90078027e+00,1.57380548e-10,5.25118808e+00
7.76026359e+09,1.94048089e+00,1.60961086e-10,5.35772529e+00
8.00416674e+09,1.98018151e+00,1.64607673e-10,5.46593877e+00
8.24267812e+09,2.01988212e+00,1.68320520e-10,5.57582567e+00
8.47355210e+09,2.05917183e+00,1.72060389e-10,5.68622023e+00
8.69941916e+09,2.09846154e+00,1.75865582e-10,5.79824886e+00
8.92041049e+09,2.13775125e+00,1.79736312e-10,5.91190920e+00
9.13665401e+09,2.17704096e+00,1.83672796e-10,6.02719900e+00
9.34804309e+09,2.21628727e+00,1.87670795e-10,6.14398619e+00
9.55494013e+09,2.25553358e+00,1.91734840e-10,6.26239523e+00
9.75746291e+09,2.29477989e+00,1.95865150e-10,6.38242418e+00
9.95572607e+09,2.33402620e+00,2.00061945e-10,6.50407119e+00
1.01506660e+10,2.37344105e+00,2.04343900e-10,6.62786736e+00
1.03415320e+10,2.41285590e+00,2.08693362e-10,6.75329207e+00
1.05284309e+10,2.45227076e+00,2.13110554e-10,6.88034363e+00
1.07114666e+10,2.49168561e+00,2.17595700e-10,7.00902041e+00
1.08922704e+10,2.53144045e+00,2.22188602e-10,7.14045193e+00
1.10693475e+10,2.57119530e+00,2.26851096e-10,7.27353372e+00
1.12427954e+10,2.61095014e+00,2.31583411e-10,7.40826425e+00
1.14127093e+10,2.65070498e+00,2.36385779e-10,7.54464202e+00
1.15810783e+10,2.69091755e+00,2.41314939e-10,7.68426434e+00
1.17460184e+10,2.73113011e+00,2.46316244e-10,7.82556910e+00
1.19076195e+10,2.77134268e+00,2.51389929e-10,7.96855482e+00
1.20659689e+10,2.81155524e+00,2.56536229e-10,8.11322007e+00
1.22233300e+10,2.85233817e+00,2.61829929e-10,8.26165121e+00
1.23775194e+10,2.89312110e+00,2.67198799e-10,8.41180691e+00
1.25286201e+10,2.93390403e+00,2.72643080e-10,8.56368568e+00
1.26767130e+10,2.97468696e+00,2.78163010e-10,8.71728609e+00
1.28241866e+10,3.01612557e+00,2.83849416e-10,8.87511786e+00
1.29687152e+10,3.05756418e+00,2.89614415e-10,9.03472398e+00
1.31103759e+10,3.09900278e+00,2.95458253e-10,9.19610292e+00
1.32492437e+10,3.14044139e+00,3.01381175e-10,9.35925316e+00
1.33877920e+10,3.18261814e+00,3.07491059e-10,9.52712685e+00
1.35235963e+10,3.22479488e+00,3.13683369e-10,9.69683220e+00
1.36567284e+10,3.26697163e+00,3.19958357e-10,9.86836753e+00
1.37872581e+10,3.30914837e+00,3.26316271e-10,1.00417312e+01
1.39176965e+10,3.35213842e+00,3.32882380e-10,1.02203177e+01
1.40455706e+10,3.39512847e+00,3.39535156e-10,1.04008002e+01
1.41709474e+10,3.43811853e+00,3.46274851e-10,1.05831766e+01
1.42938921e+10,3.48110858e+00,3.53101720e-10,1.07674454e+01
1.44169285e+10,3.52498475e+00,3.60159452e-10,1.09574615e+01
1.45375620e+10,3.56886092e+00,3.67308508e-10,1.11494445e+01
1.46558555e+10,3.61273710e+00,3.74549146e-10,1.13433925e+01
1.47718699e+10,3.65661327e+00,3.81881624e-10,1.15393034e+01
1.48880972e+10,3.70143679e+00,3.89467519e-10,1.17414690e+01
1.50020684e+10,3.74626031e+00,3.97149790e-10,1.19456786e+01
1.51138425e+10,3.79108382e+00,4.04928700e-10,1.21519297e+01
1.52234768e+10,3.83590734e+00,4.12804511e-10,1.23602203e+01
1.53334122e+10,3.88173490e+00,4.20957184e-10,1.25752823e+01
1.54412258e+10,3.92756245e+00,4.29211682e-10,1.27924709e+01
1.55469732e+10,3.97339000e+00,4.37568270e-10,1.30117833e+01
1.56507081e+10,4.01921756e+00,4.46027214e-10,1.32332169e+01
1.57548385e+10,4.06611636e+00,4.54790132e-10,1.34620201e+01
1.58569695e+10,4.11301516e+00,4.63660787e-10,1.36930389e+01
1.59571535e+10,4.15991396e+00,4.72639448e-10,1.39262703e+01
1.60554410e+10,4.20681276e+00,4.81726382e-10,1.41617114e+01
1.61542038e+10,4.25485217e+00,4.91146844e-10,1.44051662e+01
1.62510791e+10,4.30289158e+00,5.00681455e-10,1.46509327e+01
1.63461161e+10,4.35093099e+00,5.10330488e-10,1.48990075e+01
1.64393626e+10,4.39897040e+00,5.20094211e-10,1.51493872e+01
1.65330780e+10,4.44818304e+00,5.30215586e-10,1.54082680e+01
1.66250109e+10,4.49739568e+00,5.40457871e-10,1.56695600e+01
1.67152078e+10,4.54660832e+00,5.50821338e-10,1.59332592e+01
1.68037139e+10,4.59582095e+00,5.61306259e-10,1.61993618e+01
1.68927589e+10,4.64628428e+00,5.72184040e-10,1.64747188e+01
1.69801172e+10,4.69674760e+00,5.83190076e-10,1.67525942e+01
1.70658329e+10,4.74721092e+00,5.94324642e-10,1.70329836e+01
1.71499485e+10,4.79767425e+00,6.05588008e-10,1.73158827e+01
1.72346315e+10,4.84944967e+00,6.17278375e-10,1.76087411e+01
1.73177166e+10,4.90122509e+00,6.29104878e-10,1.79042315e+01
1.73992454e+10,4.95300052e+00,6.41067790e-10,1.82023489e+01
1.74792585e+10,5.00477594e+00,6.53167381e-10,1.85030884e+01
1.75598573e+10,5.05792415e+00,6.65730222e-10,1.88145237e+01
1.76389408e+10,5.11107237e+00,6.78437634e-10,1.91287109e+01
1.77165485e+10,5.16422058e+00,6.91289890e-10,1.94456442e+01
1.77927187e+10,5.21736879e+00,7.04287258e-10,1.97653182e+01
1.78694838e+10,5.27194902e+00,7.17786126e-10,2.00964517e+01
