# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1.1
# Delta_f0_over_b = -1
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# bar_v0_over_cs = 2.718282e-10
# Delta_T = 2.000000e+00
# V_min = 2.138
# l_ini_over_lb = 3.000000e-05
# l_fin_over_lb = 1.000000e+04
# stop_reason = 0
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,3.00000000e-05,9.99002524e-01,5.39998178e+14
2.50251560e-07,3.02500000e-05,9.98987004e-01,5.35530318e+14
5.00507021e-07,3.05000000e-05,9.98971373e-01,5.31135673e+14
7.50766412e-07,3.07500000e-05,9.98955632e-01,5.26812456e+14
1.00102976e-06,3.10000000e-05,9.98939782e-01,5.22558940e+14
2.25240683e-06,3.22500000e-05,9.98858886e-01,5.02280110e+14
3.50388695e-06,3.35000000e-05,9.98775266e-01,4.83513974e+14
4.75547355e-06,3.47500000e-05,9.98688937e-01,4.66097324e+14
6.00717004e-06,3.60000000e-05,9.98599917e-01,4.49889561e+14
7.46662522e-06,3.74573341e-05,9.98492753e-01,4.32358452e+14
8.92623968e-06,3.89146681e-05,9.98381976e-01,4.16139659e+14
1.03860187e-05,4.03720022e-05,9.98267610e-01,4.01091095e+14
1.18459676e-05,4.18293362e-05,9.98149678e-01,3.87090426e+14
1.34514717e-05,4.34317627e-05,9.98015913e-01,3.72779593e+14
1.50571944e-05,4.50341893e-05,9.97877890e-01,3.59486424e+14
1.66631425e-05,4.66366158e-05,9.97735639e-01,3.47106042e+14
1.82693231e-05,4.82390423e-05,9.97589185e-01,3.35547468e+14
2.00271886e-05,4.99925256e-05,9.97424140e-01,3.23747541e+14
2.17853493e-05,5.17460088e-05,9.97254128e-01,3.12746547e+14
2.35438141e-05,5.34994920e-05,9.97079182e-01,3.02465948e+14
2.53025918e-05,5.52529752e-05,9.96899333e-01,2.92837147e+14
2.72195931e-05,5.71638402e-05,9.96697794e-01,2.83015943e+14
2.91369875e-05,5.90747052e-05,9.96490509e-01,2.73829312e+14
3.10547864e-05,6.09855702e-05,9.96277517e-01,2.65217616e+14
3.29730007e-05,6.28964352e-05,9.96058855e-01,2.57128450e+14
3.50560959e-05,6.49710678e-05,9.95815074e-01,2.48883935e+14
3.71397080e-05,6.70457005e-05,9.95564700e-01,2.41148844e+14
3.92238510e-05,6.91203331e-05,9.95307779e-01,2.33877317e+14
4.13085389e-05,7.11949657e-05,9.95044353e-01,2.27028827e+14
4.35649505e-05,7.34398669e-05,9.94752032e-01,2.20053314e+14
4.58220338e-05,7.56847681e-05,9.94452202e-01,2.13490788e+14
4.80798062e-05,7.79296693e-05,9.94144918e-01,2.07305570e+14
5.03382850e-05,8.01745705e-05,9.93830232e-01,2.01465963e+14
5.27755454e-05,8.25963716e-05,9.93482509e-01,1.95521297e+14
5.52136694e-05,8.50181726e-05,9.93126298e-01,1.89914481e+14
5.76526785e-05,8.74399736e-05,9.92761664e-01,1.84617450e+14
6.00925938e-05,8.98617747e-05,9.92388669e-01,1.79605160e+14
6.27186263e-05,9.24672826e-05,9.91978116e-01,1.74505004e+14
6.53457585e-05,9.50727904e-05,9.91558035e-01,1.69683557e+14
6.79740165e-05,9.76782983e-05,9.91128505e-01,1.65118523e+14
7.06034261e-05,1.00283806e-04,9.90689599e-01,1.60789919e+14
7.34266332e-05,1.03080051e-04,9.90208217e-01,1.56387033e+14
7.62512283e-05,1.05876296e-04,9.89716215e-01,1.52215869e+14
7.90772428e-05,1.08672541e-04,9.89213684e-01,1.48258549e+14
8.19047083e-05,1.11468785e-04,9.88700715e-01,1.44498982e+14
8.49340528e-05,1.14463054e-04,9.88139945e-01,1.40675981e+14
8.79651349e-05,1.17457322e-04,9.87567417e-01,1.37047047e+14
9.09979927e-05,1.20451591e-04,9.86983240e-01,1.33597715e+14
9.40326639e-05,1.23445859e-04,9.86387521e-01,1.30314920e+14
9.72777998e-05,1.26645771e-04,9.85738250e-01,1.26977399e+14
1.00525095e-04,1.29845682e-04,9.85076050e-01,1.23803526e+14
1.03774595e-04,1.33045594e-04,9.84401050e-01,1.20781500e+14
1.07026345e-04,1.36245505e-04,9.83713377e-01,1.17900628e+14
1.10497663e-04,1.39658993e-04,9.82965979e-01,1.14972142e+14
1.13971646e-04,1.43072481e-04,9.82204459e-01,1.12182541e+14
1.17448348e-04,1.46485969e-04,9.81428973e-01,1.09522122e+14
1.20927823e-04,1.49899457e-04,9.80639670e-01,1.06982065e+14
1.24636612e-04,1.53534861e-04,9.79784032e-01,1.04400216e+14
1.28348670e-04,1.57170264e-04,9.78913077e-01,1.01936950e+14
1.32064061e-04,1.60805668e-04,9.78026989e-01,9.95842324e+13
1.35782849e-04,1.64441071e-04,9.77125948e-01,9.73347366e+13
1.39741437e-04,1.68307187e-04,9.76151517e-01,9.50482496e+13
1.43704012e-04,1.72173302e-04,9.75160593e-01,9.28635937e+13
1.47670649e-04,1.76039418e-04,9.74153390e-01,9.07740676e+13
1.51641422e-04,1.79905533e-04,9.73130122e-01,8.87735447e+13
1.55863225e-04,1.84011572e-04,9.72025995e-01,8.67400697e+13
1.60089864e-04,1.88117610e-04,9.70904239e-01,8.47945127e+13
1.64321428e-04,1.92223649e-04,9.69765105e-01,8.29312478e+13
1.68558002e-04,1.96329687e-04,9.68608843e-01,8.11451189e+13
1.73057847e-04,2.00685481e-04,9.67363804e-01,7.93293895e+13
1.77563530e-04,2.05041276e-04,9.66100065e-01,7.75899586e+13
1.82075154e-04,2.09397070e-04,9.64817921e-01,7.59220733e+13
1.86592820e-04,2.13752864e-04,9.63517663e-01,7.43213673e+13
1.91386879e-04,2.18368683e-04,9.62120339e-01,7.26939532e+13
1.96187956e-04,2.22984501e-04,9.60703341e-01,7.11330751e+13
2.00996167e-04,2.27600320e-04,9.59267013e-01,6.96346938e+13
2.05811632e-04,2.32216139e-04,9.57811692e-01,6.81950907e+13
2.10917591e-04,2.37102709e-04,9.56250681e-01,6.67312900e+13
2.16031947e-04,2.41989279e-04,9.54669155e-01,6.53257769e+13
2.21154837e-04,2.46875849e-04,9.53067507e-01,6.39750997e+13
2.26286397e-04,2.51762419e-04,9.51446127e-01,6.26760741e+13
2.31723802e-04,2.56931104e-04,9.49710091e-01,6.13550029e+13
2.37171215e-04,2.62099790e-04,9.47952863e-01,6.00852165e+13
2.42628796e-04,2.67268476e-04,9.46174890e-01,5.88637494e+13
2.48096701e-04,2.72437161e-04,9.44376617e-01,5.76878606e+13
2.53886650e-04,2.77899498e-04,9.42454601e-01,5.64918952e+13
2.59688485e-04,2.83361834e-04,9.40510916e-01,5.53412334e+13
2.65502389e-04,2.88824171e-04,9.38546071e-01,5.42333153e+13
2.71328542e-04,2.94286507e-04,9.36560567e-01,5.31657705e+13
2.77494275e-04,3.00054568e-04,9.34442058e-01,5.20798739e+13
2.83674075e-04,3.05822628e-04,9.32301644e-01,5.10341499e+13
2.89868151e-04,3.11590688e-04,9.30139894e-01,5.00263782e+13
2.96076709e-04,3.17358748e-04,9.27957369e-01,4.90544997e+13
3.02643368e-04,3.23444704e-04,9.25632647e-01,4.80658635e+13
3.09226618e-04,3.29530660e-04,9.23286057e-01,4.71129739e+13
3.15826698e-04,3.35616616e-04,9.20918232e-01,4.61938974e+13
3.22443843e-04,3.41702571e-04,9.18529794e-01,4.53068380e+13
3.29438540e-04,3.48118535e-04,9.15990197e-01,4.44045065e+13
3.36452740e-04,3.54534499e-04,9.13429079e-01,4.35340838e+13
3.43486714e-04,3.60950463e-04,9.10847134e-01,4.26938798e+13
3.50540734e-04,3.67366427e-04,9.08245043e-01,4.18823223e+13
3.57992761e-04,3.74124411e-04,9.05483191e-01,4.10568697e+13
3.65467639e-04,3.80882395e-04,9.02700499e-01,4.02599823e+13
3.72965679e-04,3.87640378e-04,8.99897721e-01,3.94901776e+13
3.80487190e-04,3.94398362e-04,8.97075594e-01,3.87460748e+13
3.88427517e-04,4.01509572e-04,8.94085861e-01,3.79894174e+13
3.96394529e-04,4.08620783e-04,8.91076328e-01,3.72583945e+13
4.04388580e-04,4.15731993e-04,8.88047803e-01,3.65517025e+13
4.12410023e-04,4.22843203e-04,8.85001073e-01,3.58681253e+13
4.20871341e-04,4.30317855e-04,8.81779849e-01,3.51732842e+13
4.29363715e-04,4.37792507e-04,8.78540235e-01,3.45014955e+13
4.37887547e-04,4.45267160e-04,8.75283085e-01,3.38516101e+13
4.46443241e-04,4.52741812e-04,8.72009228e-01,3.32225548e+13
4.55460201e-04,4.60589113e-04,8.68555060e-01,3.25834541e+13
4.64513179e-04,4.68436414e-04,8.65084280e-01,3.19651204e+13
4.73602635e-04,4.76283715e-04,8.61597776e-01,3.13665393e+13
4.82729026e-04,4.84131016e-04,8.58096409e-01,3.07867616e+13
4.92337026e-04,4.92357899e-04,8.54410631e-01,3.01981603e+13
5.01986646e-04,5.00584782e-04,8.50710374e-01,2.96282907e+13
5.11678408e-04,5.08811665e-04,8.46996547e-01,2.90762559e+13
5.21412832e-04,5.17038548e-04,8.43270029e-01,2.85412160e+13
5.31648043e-04,5.25649563e-04,8.39356844e-01,2.79985411e+13
5.41931157e-04,5.34260578e-04,8.35431637e-01,2.74727760e+13
5.52262770e-04,5.42871593e-04,8.31495321e-01,2.69631275e+13
5.62643474e-04,5.51482609e-04,8.27548782e-01,2.64688517e+13
5.73541775e-04,5.60478952e-04,8.23415644e-01,2.59681209e+13
5.84494982e-04,5.69475296e-04,8.19273217e-01,2.54826597e+13
5.95503768e-04,5.78471640e-04,8.15122405e-01,2.50117668e+13
