t_over_ts; l_over_lb; vr_over_cs
8.673939724368555621e-19; 3.000000000000000930e-03; 9.999628375922859913e-01
4.544602730649072565e-05; 3.045444314314786453e-03; 9.999617743134813219e-01
9.158052555162897717e-05; 3.091577023864085488e-03; 9.999606806284835336e-01
1.384139259595334862e-04; 3.138408556531038351e-03; 9.999595556738740676e-01
1.859568178532007511e-04; 3.185949498161440904e-03; 9.999583985777836803e-01
2.342199510834591962e-04; 3.234210594956598260e-03; 9.999572084160107677e-01
2.832142384490277240e-04; 3.283202755902403860e-03; 9.999559842351168903e-01
3.329507581672541726e-04; 3.332937055235203356e-03; 9.999547250549781774e-01
3.834407563847181798e-04; 3.383424734945041350e-03; 9.999534298681165279e-01
4.346956497260329828e-04; 3.434677207316795371e-03; 9.999520976390176008e-01
4.867270278815116107e-04; 3.486706057509840213e-03; 9.999507273034393684e-01
5.395466562342155284e-04; 3.539523046176754409e-03; 9.999493177677080125e-01
5.931664785270531664e-04; 3.593140112121715433e-03; 9.999478679080077148e-01
6.475986195705104448e-04; 3.647569374999160008e-03; 9.999463765696562367e-01
7.028553879916437557e-04; 3.702823138053309288e-03; 9.999448425663738371e-01
7.589492790249957902e-04; 3.758913890899223328e-03; 9.999432646795427537e-01
8.158929773460544838e-04; 3.815854312345969435e-03; 9.999416416574591349e-01
8.736993599478868429e-04; 3.873657273262529326e-03; 9.999399722145762004e-01
9.323814990616837188e-04; 3.932335839487165023e-03; 9.999382550307429618e-01
9.919526651218206221e-04; 3.991903274780815927e-03; 9.999364887504350596e-01
1.052426329776175737e-03; 4.052373043825268674e-03; 9.999346719819813822e-01
1.113816168942361948e-03; 4.113758815266722532e-03; 9.999328032967899071e-01
1.176136065911679912e-03; 4.176074464805455515e-03; 9.999308812234406485e-01
1.239400114518228978e-03; 4.239334078332316312e-03; 9.999289042281532813e-01
1.303622622328520254e-03; 4.303551955112687802e-03; 9.999268707282217283e-01
1.368818113882094454e-03; 4.368742611018733117e-03; 9.999247790965636318e-01
1.435001333988732055e-03; 4.434920781810577396e-03; 9.999226276605918118e-01
1.502187251076039180e-03; 4.502101426467168543e-03; 9.999204147010649635e-01
1.570391060588254874e-03; 4.570299730567645331e-03; 9.999181384509184811e-01
1.639628188436985812e-03; 4.639531109723877243e-03; 9.999157970940766305e-01
1.709914294504768974e-03; 4.709811213065049490e-03; 9.999133887642429608e-01
1.781265276202183279e-03; 4.781155926774992293e-03; 9.999109115436751738e-01
1.853697272079431971e-03; 4.853581377683118328e-03; 9.999083634619392313e-01
1.927226665493164681e-03; 4.927103936909724667e-03; 9.999057424946476980e-01
2.001870088329499742e-03; 5.001740223566572552e-03; 9.999030465621807640e-01
2.077644424783993589e-03; 5.077507108513455367e-03; 9.999002735283912813e-01
2.154566815199581570e-03; 5.154421718171735799e-03; 9.998974211992954775e-01
2.232654659963267778e-03; 5.232501438395598115e-03; 9.998944873217492368e-01
2.311925623462530999e-03; 5.311763918401931489e-03; 9.998914695821129461e-01
2.392397638103221837e-03; 5.392227074759862668e-03; 9.998883656036136047e-01
2.474088908409341828e-03; 5.473909095440556392e-03; 9.998851729212351325e-01
2.557017915172046189e-03; 5.556828443928477947e-03; 9.998818889817020494e-01
2.641203419634508085e-03; 5.641003863394892376e-03; 9.998785111596739661e-01
2.726664467760844986e-03; 5.726454380934570959e-03; 9.998750367561939356e-01
2.813420394571992337e-03; 5.813199311866727552e-03; 9.998714629967933032e-01
2.901490828548169802e-03; 5.901258264101043489e-03; 9.998677870295589187e-01
2.990895696099124448e-03; 5.990651142569887802e-03; 9.998640059231642674e-01
3.081655226103089361e-03; 6.081398153727625260e-03; 9.998601166648627414e-01
3.173789954515606089e-03; 6.173519810118069558e-03; 9.998561161584469392e-01
3.267320729049439515e-03; 6.267036935011256922e-03; 9.998520012221693287e-01
3.362268713926396153e-03; 6.361970667110263510e-03; 9.998477685866304920e-01
3.458655394702515179e-03; 6.458342465329464793e-03; 9.998434148926306220e-01
3.556502583167597993e-03; 6.556174113645124243e-03; 9.998389366889883778e-01
3.655832422320295406e-03; 6.655487726019440609e-03; 9.998343304303262125e-01
3.756667391420035265e-03; 6.756305751399248154e-03; 9.998295924748246133e-01
3.859030311117514836e-03; 6.858650978790368190e-03; 9.998247190811870855e-01
3.962944348693701012e-03; 6.962546542408887783e-03; 9.998197063807107154e-01
4.068433023367555058e-03; 7.068015926910419487e-03; 9.998145503679063406e-01
4.175520211635030954e-03; 7.175082972698554676e-03; 9.998092469233484936e-01
4.284230152722345170e-03; 7.283771881313880030e-03; 9.998037918118964917e-01
4.394587454126311354e-03; 7.394107220904421948e-03; 9.997981806796686355e-01
4.506617097240686945e-03; 7.506113931779089671e-03; 9.997924090509562323e-01
4.620344443069794582e-03; 7.619817332045216926e-03; 9.997864723250717844e-01
4.735795238030758407e-03; 7.735243123331454577e-03; 9.997803657731335614e-01
4.852995619845958120e-03; 7.852417396597441077e-03; 9.997740845347854455e-01
4.971972123526968886e-03; 7.971366638031386967e-03; 9.997676236148541618e-01
5.092751687451641147e-03; 8.092117735037084383e-03; 9.997609778799400049e-01
5.215361659535674294e-03; 8.214697982311525495e-03; 9.997541420549460600e-01
5.339829803500284466e-03; 8.339135088014582725e-03; 9.997471107195425866e-01
5.466184305237712510e-03; 8.465457180032312859e-03; 9.997398783045697845e-01
5.594453779279165602e-03; 8.593692812334895528e-03; 9.997324390859256837e-01
5.724667275417573420e-03; 8.723870971431048338e-03; 9.997247871442916933e-01
5.856854285377138467e-03; 8.856021082920172843e-03; 9.997169163661832059e-01
5.991044749546326105e-03; 8.990173018143702427e-03; 9.997088204653645782e-01
6.127269063857234029e-03; 9.126357100937310465e-03; 9.997004929787568495e-01
6.265558086773882415e-03; 9.264604114485291975e-03; 9.996919272617641461e-01
6.405943146390221873e-03; 9.404945308278865601e-03; 9.996831164834915073e-01
6.548456047639556604e-03; 9.547412405179814959e-03; 9.996740536218589046e-01
6.693129079617232864e-03; 9.692037608591096490e-03; 9.996647314586086797e-01
6.839995023018742917e-03; 9.838853609736275194e-03; 9.996551425742046249e-01
6.989087157694681696e-03; 9.987893595048947040e-03; 9.996452793426251482e-01
7.140439270324979576e-03; 1.013919125367429737e-02; 9.996351339260449720e-01
7.294085662214130385e-03; 1.029278078508419694e-02; 9.996246982694089178e-01
7.450061157209609923e-03; 1.044869690680771956e-02; 9.996139640948972227e-01
7.608401109762300690e-03; 1.060697486227868414e-02; 9.996029228875872308e-01
7.769141413191947045e-03; 1.076765042880215191e-02; 9.995915658421069550e-01
7.932318507940521943e-03; 1.093075992564155816e-02; 9.995798838851799317e-01
8.097969389973596818e-03; 1.109634022222834131e-02; 9.995678676876011970e-01
8.266131619349911114e-03; 1.126442874649591537e-02; 9.995555076573540143e-01
8.436843328927513125e-03; 1.143506349334000478e-02; 9.995427939325911559e-01
8.610143233208548616e-03; 1.160828303320696718e-02; 9.995297163744482072e-01
8.786070637325416391e-03; 1.178412652081231582e-02; 9.995162645596913364e-01
8.964665446170579782e-03; 1.196263370399131346e-02; 9.995024277731979767e-01
9.145968173672558085e-03; 1.214384493268359615e-02; 9.994881950002633131e-01
9.330019952220595936e-03; 1.232780116805389133e-02; 9.994735549187350188e-01
9.516862542240748027e-03; 1.251454399175095863e-02; 9.994584958909720207e-01
9.706538341925878902e-03; 1.270411561530675193e-02; 9.994430059556268509e-01
9.899090397171324621e-03; 1.289655888967787545e-02; 9.994270727995823167e-01
1.009456241173592103e-02; 1.309191731493175581e-02; 9.994106837007654676e-01
1.029299875735485183e-02; 1.329023505007940337e-02; 9.993938255650425262e-01
