t_over_ts; l_over_lb; vr_over_cs
8.673981147753367770e-19; 3.000000000000000930e-03; 9.999580621789307955e-01
4.544624744772336126e-05; 3.045444314314786453e-03; 9.999568618107187445e-01
9.158097558407466668e-05; 3.091577023864085488e-03; 9.999556271301321964e-01
1.384146160630986809e-04; 3.138408556531038351e-03; 9.999543571644522455e-01
1.859577586551645640e-04; 3.185949498161440904e-03; 9.999530509315495141e-01
2.342211536805283514e-04; 3.234210594956598260e-03; 9.999517073904371500e-01
2.832157144282249853e-04; 3.283202755902403860e-03; 9.999503254673066666e-01
3.329525196274199430e-04; 3.332937055235203356e-03; 9.999489040584127464e-01
3.834428159589413159e-04; 3.383424734945041350e-03; 9.999474420293276156e-01
4.346980206050498024e-04; 3.434677207316795371e-03; 9.999459382141860919e-01
4.867297238381154581e-04; 3.486706057509840213e-03; 9.999443914149146462e-01
5.395496916487163347e-04; 3.539523046176754409e-03; 9.999428004004538018e-01
5.931698684138327592e-04; 3.593140112121715433e-03; 9.999411639059672119e-01
6.476023796057220165e-04; 3.647569374999160008e-03; 9.999394806320405227e-01
7.028595345420978824e-04; 3.702823138053309288e-03; 9.999377492438724646e-01
7.589538291782863986e-04; 3.758913890899223328e-03; 9.999359683704551749e-01
8.158979489419765363e-04; 3.815854312345969435e-03; 9.999341366037469703e-01
8.737047716111966990e-04; 3.873657273262529326e-03; 9.999322524978380144e-01
9.323873702362614783e-04; 3.932335839487165023e-03; 9.999303145681089910e-01
9.919590161062883348e-04; 3.991903274780815927e-03; 9.999283212903852247e-01
1.052433181761034797e-03; 4.052373043825268674e-03; 9.999262711000854731e-01
1.113823544048716347e-03; 4.113758815266722532e-03; 9.999241623913659449e-01
1.176143987233923237e-03; 4.176074464805455515e-03; 9.999219935081899990e-01
1.239408606167868507e-03; 4.239334078332316312e-03; 9.999197627254570175e-01
1.303631709477407787e-03; 4.303551955112687802e-03; 9.999174682654914381e-01
1.368827822808704395e-03; 4.368742611018733117e-03; 9.999151083010582308e-01
1.435011692126430746e-03; 4.434920781810577396e-03; 9.999126809541133420e-01
1.502198287063427227e-03; 4.502101426467168543e-03; 9.999101842945320451e-01
1.570402804321673973e-03; 4.570299730567645331e-03; 9.999076163388158633e-01
1.639640671125275513e-03; 4.639531109723877243e-03; 9.999049750487792876e-01
1.709927548726363801e-03; 4.709811213065049490e-03; 9.999022583302138445e-01
1.781279335964666439e-03; 4.781155926774992293e-03; 9.998994640315327365e-01
