t_over_ts; l_over_lb; vr_over_cs
1.016442008896148876e-20; 3.000000000000001092e-05; 9.999975677992770651e-01
5.951569769810547676e-07; 3.059515550235180698e-05; 9.999974765099979290e-01
1.202121042059509135e-06; 3.120211800710279127e-05; 9.999973817982275026e-01
1.821126433611493500e-06; 3.182112174766803069e-05; 9.999972835382491265e-01
2.452412037162660772e-06; 3.245240560430566278e-05; 9.999971815969166400e-01
3.096221477581224669e-06; 3.309621319630415347e-05; 9.999970758352068056e-01
3.752803213103820401e-06; 3.375279297599703172e-05; 9.999969661090141182e-01
4.422410631235029116e-06; 3.442239832464381405e-05; 9.999968522689839379e-01
5.105302146549322053e-06; 3.510528765021237558e-05; 9.999967341603444027e-01
5.801741300434026638e-06; 3.580172448710118252e-05; 9.999966116227346768e-01
6.511996862812388794e-06; 3.651197759784047812e-05; 9.999964844900296468e-01
7.236342935884893696e-06; 3.723632107681048453e-05; 9.999963525901612860e-01
7.975059059929385646e-06; 3.797503445601713574e-05; 9.999962157449385769e-01
8.728430321201828814e-06; 3.872840281296705635e-05; 9.999960737698646573e-01
9.496747461977388951e-06; 3.949671688068144077e-05; 9.999959264739507470e-01
1.028030699277675845e-05; 4.028027315989363767e-05; 9.999957736595309621e-01
1.107941130681781994e-05; 4.107937403347177471e-05; 9.999956151221847112e-01
1.189436879660195909e-05; 4.189432788311128926e-05; 9.999954506624528783e-01
1.272549397318922591e-05; 4.272544920834341666e-05; 9.999952800641397355e-01
1.357310758763307772e-05; 4.357305874790315988e-05; 9.999951030922754613e-01
1.443753675468283600e-05; 4.443748360350691204e-05; 9.999949195031905269e-01
1.531911507905549057e-05; 4.531905736608340485e-05; 9.999947290442423586e-01
1.621818278421576832e-05; 4.621812024451058031e-05; 9.999945314535370056e-01
1.713508684371257778e-05; 4.713501919690649036e-05; 9.999943264596510284e-01
1.807018111512078310e-05; 4.807010806452293903e-05; 9.999941137813485037e-01
1.902382647664430809e-05; 4.902374770829780518e-05; 9.999938931272986942e-01
1.999639096642907146e-05; 4.999630614811435375e-05; 9.999936641957914985e-01
2.098824992464297541e-05; 5.098815870482475439e-05; 9.999934266744562317e-01
2.199978613837586680e-05; 5.199968814509018788e-05; 9.999931802399799619e-01
2.303138998941583584e-05; 5.303128482909433224e-05; 9.999929245578299541e-01
2.408345960496064664e-05; 5.408334686118824699e-05; 9.999926592819802229e-01
2.515640101132017654e-05; 5.515628024352280351e-05; 9.999923840546446341e-01
2.625062829067069826e-05; 5.625049903272902460e-05; 9.999920985060188894e-01
2.736656374092250954e-05; 5.736642549970778711e-05; 9.999918022540306151e-01
2.850463803876007393e-05; 5.850449029258784792e-05; 9.999914949041031065e-01
2.966529040592127983e-05; 5.966513260291841767e-05; 9.999911760489346157e-01
3.084896877877712964e-05; 6.084880033515762109e-05; 9.999908452682939597e-01
3.205612998127885238e-05; 6.205595027952332562e-05; 9.999905021288383322e-01
3.328723990133255887e-05; 6.328704828827423677e-05; 9.999901461818269111e-01
3.454277367084288106e-05; 6.454256945548631213e-05; 9.999897769466127295e-01
3.582321584927311277e-05; 6.582299830039816562e-05; 9.999893939173233326e-01
3.712906061056838624e-05; 6.712882895439064299e-05; 9.999889965694913618e-01
3.846081193397241527e-05; 6.846056535167844117e-05; 9.999885843594326085e-01
3.981898379864221883e-05; 6.981872142378383141e-05; 9.999881567236481583e-01
4.120410038212828297e-05; 7.120382129786808224e-05; 9.999877130782151013e-01
4.261669626279833190e-05; 7.261639949899808893e-05; 9.999872528181750209e-01
4.405731662628169346e-05; 7.405700115642475446e-05; 9.999867753169144891e-01
4.552651747601669217e-05; 7.552618221395539905e-05; 9.999862799255430090e-01
4.702486584797903758e-05; 7.702450964449723109e-05; 9.999857659722707348e-01
4.855294002967896724e-05; 7.855256166885944214e-05; 9.999852327617834158e-01
5.011132978350816820e-05; 8.011092797889429263e-05; 9.999846795746246686e-01
5.170063657452577457e-05; 8.170020996506586238e-05; 9.999841056665795813e-01
5.332147380276995358e-05; 8.332102094853255164e-05; 9.999835102680693089e-01
5.497446704018805753e-05; 8.497398641783548967e-05; 9.999828925835562154e-01
5.666025427227305334e-05; 8.665974427028002105e-05; 9.999822517909651154e-01
5.837948614450504803e-05; 8.837894505810838961e-05; 9.999815870411242757e-01
6.013282621368945069e-05; 9.013225223955439514e-05; 9.999808974572288456e-01
6.192095120430414176e-05; 9.192034243487854956e-05; 9.999801821307429117e-01
6.374455127032084675e-05; 9.374390568748452275e-05; 9.999794400955518414e-01
6.560433026190119147e-05; 9.560364573021259960e-05; 9.999786703399700105e-01
6.750100599702763883e-05; 9.750028025692018113e-05; 9.999778718154168633e-01
6.943531053884500668e-05; 9.943454119944510549e-05; 9.999770434350694348e-01
7.140799047853304301e-05; 1.014071750100675273e-04; 9.999761840726580919e-01
7.341980722380420793e-05; 1.034189429495736530e-04; 9.999752925612408472e-01
7.547153729314101862e-05; 1.054706213810350374e-04; 9.999743676919637947e-01
7.756397261588564664e-05; 1.075630020694144504e-04; 9.999734082128040047e-01
7.969792083830195130e-05; 1.096968924871170891e-04; 9.999724128273027590e-01
8.187420563572796444e-05; 1.118731161256040103e-04; 9.999713801932892387e-01
8.409366703093630016e-05; 1.140925128131834695e-04; 9.999703089215976615e-01
8.635716171883758082e-05; 1.163559390391136455e-04; 9.999691975747837525e-01
8.866556339763939252e-05; 1.186642682841278923e-04; 9.999680446658432142e-01
9.101976310660315301e-05; 1.210183913575226954e-04; 9.999668486569366355e-01
9.342066957052100004e-05; 1.234192167409291240e-04; 9.999656079581286106e-01
9.586920955105371442e-05; 1.258676709389060699e-04; 9.999643209261438459e-01
9.836632820516074836e-05; 1.283646988364890902e-04; 9.999629858550442840e-01
1.009129894514366625e-04; 1.309112640638309354e-04; 9.999616009407311656e-01
1.035101763426234903e-04; 1.335083493680780430e-04; 9.999601643032636211e-01
1.061588914453924206e-04; 1.361569569926219636e-04; 9.999586739941652702e-01
1.088601572281302121e-04; 1.388581090638763428e-04; 9.999571279941084079e-01
1.116150164564589384e-04; 1.416128479857269376e-04; 9.999555242106532571e-01
1.144245325966414863e-04; 1.444222368418072414e-04; 9.999538604759452554e-01
1.172897902270284069e-04; 1.472873598057522645e-04; 9.999521345443732612e-01
1.202118954577138023e-04; 1.502093225595943482e-04; 9.999503440901934548e-01
1.231919763585587332e-04; 1.531892527204564594e-04; 9.999484867051221526e-01
1.262311833957580575e-04; 1.562283002757142690e-04; 9.999465598958993118e-01
1.293306898771126947e-04; 1.593276380267860952e-04; 9.999445610818304964e-01
1.324916924061928631e-04; 1.624884620417308236e-04; 9.999424875923126343e-01
1.357154113455667777e-04; 1.657119921168250269e-04; 9.999403366643454527e-01
1.390030912892721050e-04; 1.689994722472913744e-04; 9.999381054400441338e-01
1.423560015448628742e-04; 1.723521711073753313e-04; 9.999357909573913794e-01
1.457754366264023846e-04; 1.757713825399358665e-04; 9.999333901017918302e-01
1.492627167556215381e-04; 1.792584260557565222e-04; 9.999308996254544502e-01
1.528191883725196244e-04; 1.828146473427567117e-04; 9.999283161622477545e-01
1.564462246570233982e-04; 1.864414187853079719e-04; 9.999256362237017859e-01
