t_over_ts; l_over_lb; vr_over_cs
1.016442009206754281e-20; 3.000000000000001092e-05; 9.999975674936968373e-01
5.951569771681200882e-07; 3.059515550235180698e-05; 9.999974761868489770e-01
1.202121042448317587e-06; 3.120211800710279127e-05; 9.999973814565008556e-01
1.821126434217863846e-06; 3.182112174766803069e-05; 9.999972831768785264e-01
2.452412038003654374e-06; 3.245240560430566278e-05; 9.999971812147750994e-01
3.096221478675244377e-06; 3.309621319630415347e-05; 9.999970754311020560e-01
3.752803214470721090e-06; 3.375279297599703172e-05; 9.999969656816838359e-01
4.422410632896227591e-06; 3.442239832464381405e-05; 9.999968518170935239e-01
5.105302148527912244e-06; 3.510528765021237558e-05; 9.999967336824823194e-01
5.801741302754921477e-06; 3.580172448710118252e-05; 9.999966111174076744e-01
6.511996865502455321e-06; 3.651197759784047812e-05; 9.999964839556584328e-01
7.236342938973103824e-06; 3.723632107681048453e-05; 9.999963520250760851e-01
7.975059063446986421e-06; 3.797503445601713574e-05; 9.999962151473740235e-01
8.728430325182505889e-06; 3.872840281296705635e-05; 9.999960731379542445e-01
9.496747466457471570e-06; 3.949671688068144077e-05; 9.999959258057216083e-01
1.028030699779542020e-05; 4.028027315989363767e-05; 9.999957729528977657e-01
1.107941131241729048e-05; 4.107937403347177471e-05; 9.999956143749436643e-01
1.189436880282771224e-05; 4.189432788311128926e-05; 9.999954498722806173e-01
1.272549398009028116e-05; 4.272544920834341666e-05; 9.999952792285801140e-01
1.357310759526233905e-05; 4.357305874790315988e-05; 9.999951022087288921e-01
1.443753676309738327e-05; 4.443748360350691204e-05; 9.999949185689054332e-01
1.531911508831692510e-05; 4.531905736608340485e-05; 9.999947280563059593e-01
1.621818279439054153e-05; 4.621812024451058031e-05; 9.999945304088674325e-01
1.713508685487237577e-05; 4.713501919690649036e-05; 9.999943253549870015e-01
1.807018112734294337e-05; 4.807010806452293903e-05; 9.999941126132397828e-01
1.902382649001224305e-05; 4.902374770829780518e-05; 9.999938918920950881e-01
1.999639098103270891e-05; 4.999630614811435375e-05; 9.999936628896326507e-01
2.098824994057935144e-05; 5.098815870482475439e-05; 9.999934252932597412e-01
2.199978615574957642e-05; 5.199968814509018788e-05; 9.999931787794290594e-01
2.303139000833967335e-05; 5.303128482909433224e-05; 9.999929230133607350e-01
2.408345962555622226e-05; 5.408334686118824699e-05; 9.999926576487686569e-01
2.515640103371861774e-05; 5.515628024352280351e-05; 9.999923823275924661e-01
2.625062831501335790e-05; 5.625049903272902460e-05; 9.999920966797384292e-01
2.736656376736174853e-05; 5.736642549970778711e-05; 9.999918003228301933e-01
2.850463806746013871e-05; 5.850449029258784792e-05; 9.999914928619705323e-01
2.966529043705923080e-05; 5.966513260291841767e-05; 9.999911738895203017e-01
3.084896881254379315e-05; 6.084880033515762109e-05; 9.999908429848937130e-01
3.205613001787989142e-05; 6.205595027952332562e-05; 9.999904997143740371e-01
3.328723994098957759e-05; 6.328704828827423677e-05; 9.999901436288112233e-01
3.454277371379532550e-05; 6.454256945548631213e-05; 9.999897742470967854e-01
3.582321589577940930e-05; 6.582299830039816562e-05; 9.999893910628957494e-01
3.712906066090733746e-05; 6.712882895439064299e-05; 9.999889935512519257e-01
3.846081198844478562e-05; 6.846056535167844117e-05; 9.999885811679662950e-01
3.981898385757238806e-05; 6.981872142378383141e-05; 9.999881533489947127e-01
4.120410044586609601e-05; 7.120382129786808224e-05; 9.999877095098406166e-01
4.261669633172112499e-05; 7.261639949899808893e-05; 9.999872490449389639e-01
4.405731670079631346e-05; 7.405700115642475446e-05; 9.999867713270368386e-01
4.552651755656187505e-05; 7.552618221395539905e-05; 9.999862757065695051e-01
4.702486593502780041e-05; 7.702450964449723109e-05; 9.999857615110353537e-01
4.855294012374132551e-05; 7.855256166885944214e-05; 9.999852280443706221e-01
5.011132988513394794e-05; 8.011092797889429263e-05; 9.999846745863287811e-01
5.170063668430768876e-05; 8.170020996506586238e-05; 9.999841003918616966e-01
5.332147392134690224e-05; 8.332102094853255164e-05; 9.999835046905132252e-01
5.497446716824875299e-05; 8.497398641783548967e-05; 9.999828866858223586e-01
5.666025441055978106e-05; 8.665974427028002105e-05; 9.999822455547405786e-01
5.837948629381790855e-05; 8.837894505810838961e-05; 9.999815804470719716e-01
6.013282637489071678e-05; 9.013225223955439514e-05; 9.999808904849352142e-01
6.192095137832341514e-05; 9.192034243487854956e-05; 9.999801747585961298e-01
6.374455145816285758e-05; 9.374390568748452275e-05; 9.999794323005888330e-01
6.560433046465003349e-05; 9.560364573021259960e-05; 9.999786620979027596e-01
6.750100621585256987e-05; 9.750028025692018113e-05; 9.999778631005556973e-01
6.943531077500703520e-05; 9.943454119944510549e-05; 9.999770342202463080e-01
7.140799073339207023e-05; 1.014071750100675273e-04; 9.999761743291437632e-01
7.341980749882667150e-05; 1.034189429495736530e-04; 9.999752822586592815e-01
7.547153758990810543e-05; 1.054706213810350374e-04; 9.999743567982006809e-01
7.756397293610222397e-05; 1.075630020694144504e-04; 9.999733966939114982e-01
7.969792118380606707e-05; 1.096968924871170891e-04; 9.999724006474000060e-01
8.187420600850120142e-05; 1.118731161256040103e-04; 9.999713673144561277e-01
8.409366743311487544e-05; 1.140925128131834695e-04; 9.999702953037653552e-01
8.635716215272424493e-05; 1.163559390391136455e-04; 9.999691831756180038e-01
8.866556386571633149e-05; 1.186642682841278923e-04; 9.999680294406224634e-01
9.101976361154587964e-05; 1.210183913575226954e-04; 9.999668325584248896e-01
9.342067011521335658e-05; 1.234192167409291240e-04; 9.999655909364411066e-01
9.586921013860372903e-05; 1.258676709389060699e-04; 9.999643029286071627e-01
9.836632883892107231e-05; 1.283646988364890902e-04; 9.999629668258412929e-01
1.009129901350295746e-04; 1.309112640638309354e-04; 9.999615808206184786e-01
1.035101770799558589e-04; 1.335083493680780430e-04; 9.999601430295970150e-01
1.061588922406774417e-04; 1.361569569926219636e-04; 9.999586515007038434e-01
1.088601580859110995e-04; 1.388581090638763428e-04; 9.999571042108154062e-01
1.116150173816345917e-04; 1.416128479857269376e-04; 9.999554990634847984e-01
1.144245335944938811e-04; 1.444222368418072414e-04; 9.999538338866291731e-01
1.172897913032524235e-04; 1.472873598057522645e-04; 9.999521064301767348e-01
1.202118966184490201e-04; 1.502093225595943482e-04; 9.999503143636779834e-01
1.231919776104240438e-04; 1.531892527204564594e-04; 9.999484552738855392e-01
1.262311847458885412e-04; 1.562283002757142690e-04; 9.999465266623052129e-01
1.293306913331997360e-04; 1.593276380267860952e-04; 9.999445259427253152e-01
1.324916939765271662e-04; 1.624884620417308236e-04; 9.999424504387250945e-01
1.357154130390846351e-04; 1.657119921168250269e-04; 9.999402973811755135e-01
1.390030931156056230e-04; 1.689994722472913744e-04; 9.999380639057317000e-01
1.423560035143999565e-04; 1.723521711073753313e-04; 9.999357470432655992e-01
1.457754387503633310e-04; 1.757713825399358665e-04; 9.999333436712818379e-01
1.492627190461073730e-04; 1.792584260557565222e-04; 9.999308505341573117e-01
1.528191908425791817e-04; 1.828146473427567117e-04; 9.999282642574940372e-01
1.564462273207265050e-04; 1.864414187853079719e-04; 9.999255813440952601e-01
