t_over_ts; l_over_lb; vr_over_cs
0.000000000000000000e+00; 1.000000000000000021e-02; 9.999980779897761352e-01
1.392543468490307847e-04; 1.013925407558814891e-02; 9.999980259938894278e-01
2.804478746726096435e-04; 1.028044732093309245e-02; 9.999979725949154075e-01
4.236075876633095603e-04; 1.042360673976401760e-02; 9.999979177551213683e-01
5.687608660707566379e-04; 1.056875971184804454e-02; 9.999978614357629692e-01
7.159354714388935746e-04; 1.071593399822671176e-02; 9.999978035970638057e-01
8.651595519162030628e-04; 1.086515774652537826e-02; 9.999977441981894311e-01
1.016461647639894592e-03; 1.101645949633656314e-02; 9.999976831972182678e-01
1.169870696192714526e-03; 1.116986818467823224e-02; 9.999976205518982253e-01
1.325416038119874712e-03; 1.132541315152812110e-02; 9.999975562256463446e-01
1.483127422581378843e-03; 1.148312414543511094e-02; 9.999974901742262334e-01
1.643035013029708327e-03; 1.164303132920876255e-02; 9.999974223500477377e-01
1.805169392973245005e-03; 1.180516528568804902e-02; 9.999973527042500532e-01
1.969561571826420731e-03; 1.196955702359043389e-02; 9.999972811866740807e-01
2.136242990841382468e-03; 1.213623798344241195e-02; 9.999972077458323394e-01
2.305245529122248657e-03; 1.230524004359261590e-02; 9.999971323288802116e-01
2.476601509723207802e-03; 1.247659552630869806e-02; 9.999970548815861893e-01
2.650343705831469977e-03; 1.265033720395903130e-02; 9.999969753483038959e-01
2.826505347036468562e-03; 1.282649830528060503e-02; 9.999968936719402235e-01
3.005120125686279973e-03; 1.300511252173409266e-02; 9.999968097939280209e-01
3.186222203332674321e-03; 1.318621401394748545e-02; 9.999967236541951188e-01
3.369846217265935404e-03; 1.336983741824946531e-02; 9.999966351911352413e-01
3.556027287140686027e-03; 1.355601785329368231e-02; 9.999965443415789190e-01
3.744801021694062204e-03; 1.374479092677537324e-02; 9.999964510407640672e-01
3.936203525557432741e-03; 1.393619274224142807e-02; 9.999963552223072316e-01
4.130271406163060245e-03; 1.413025990599533696e-02; 9.999962568181754996e-01
4.327041780746982910e-03; 1.432702953409830879e-02; 9.999961557586575234e-01
4.526552283449397293e-03; 1.452653925946780465e-02; 9.999960519723375407e-01
4.728841072514052175e-03; 1.472882723907502529e-02; 9.999959453860669534e-01
4.933946837587855662e-03; 1.493393216124252500e-02; 9.999958359249395690e-01
5.141908807122254170e-03; 1.514189325304352018e-02; 9.999957235122663990e-01
5.352766755877703432e-03; 1.535275028780422671e-02; 9.999956080695505678e-01
5.566561012532659190e-03; 1.556654359271061189e-02; 9.999954895164654411e-01
5.783332467398659242e-03; 1.578331405652117284e-02; 9.999953677708327549e-01
6.003122580242806552e-03; 1.600310313738700918e-02; 9.999952427486028528e-01
6.225973388219307493e-03; 1.622595287078087284e-02; 9.999951143638354800e-01
6.451927513911528446e-03; 1.645190587753662601e-02; 9.999949825286842398e-01
6.681028173486014930e-03; 1.668100537200059227e-02; 9.999948471533813832e-01
6.913319184960240067e-03; 1.691329517029648011e-02; 9.999947081462261522e-01
7.148844976585485775e-03; 1.714881969870540174e-02; 9.999945654135754536e-01
7.387650595346513353e-03; 1.738762400216250364e-02; 9.999944188598361983e-01
7.629781715573908697e-03; 1.762975375287205784e-02; 9.999942683863983772e-01
7.875284647700398280e-03; 1.787525525904235316e-02; 9.999941138875199087e-01
8.124206347130322886e-03; 1.812417547374236756e-02; 9.999939552533556597e-01
8.376594423204672055e-03; 1.837656200388171346e-02; 9.999937923711740284e-01
8.632497148309777046e-03; 1.863246311931559748e-02; 9.999936251252912189e-01
8.891963467113184194e-03; 1.889192776207666499e-02; 9.999934533970059602e-01
9.155043005928122438e-03; 1.915500555573527997e-02; 9.999932770645346691e-01
9.421786082208586863e-03; 1.942174681489026306e-02; 9.999930960029451699e-01
9.692243714176727865e-03; 1.969220255479172538e-02; 9.999929100840915241e-01
9.966467630584369131e-03; 1.996642450109793396e-02; 9.999927191765473067e-01
1.024451028061067540e-02; 2.024446509976803726e-02; 9.999925231455395469e-01
1.052642484389765265e-02; 2.052637752709252084e-02; 9.999923218528821156e-01
1.081226524072562145e-02; 2.081221569986339143e-02; 9.999921151569107769e-01
1.110208614233049347e-02; 2.110203428568595621e-02; 9.999919029124153536e-01
1.139594298136483927e-02; 2.139588871343421628e-02; 9.999916849705767774e-01
1.169389196250481162e-02; 2.169383518385184506e-02; 9.999914611789004759e-01
1.199599007320483607e-02; 2.199593068030074663e-02; 9.999912313811525344e-01
1.230229509460235501e-02; 2.230223297965938656e-02; 9.999909954172977455e-01
1.261286561257443997e-02; 2.261280066337278266e-02; 9.999907531234363267e-01
1.292776102894867447e-02; 2.292769312865648723e-02; 9.999905043317440789e-01
1.324704157287021414e-02; 2.324697059985647921e-02; 9.999902488704139891e-01
1.357076831232733108e-02; 2.357069413996727703e-02; 9.999899865635976104e-01
1.389900316583771167e-02; 2.389892566231050300e-02; 9.999897172313524374e-01
1.423180891429757372e-02; 2.423172794237599473e-02; 9.999894406895876164e-01
1.456924921299612707e-02; 2.456916462982790261e-02; 9.999891567500150957e-01
1.491138860379738126e-02; 2.491130026067788633e-02; 9.999888652201042172e-01
1.525829252749189360e-02; 2.525820026962784584e-02; 9.999885659030369744e-01
1.561002733632073716e-02; 2.560993100258459471e-02; 9.999882585976707094e-01
1.596666030667403743e-02; 2.596655972934871007e-02; 9.999879430985034734e-01
1.632825965196459464e-02; 2.632815465648019951e-02; 9.999876191931162950e-01
1.669489453571967527e-02; 2.669478494034320873e-02; 9.999872866554595507e-01
1.706663508482031064e-02; 2.706652070033241375e-02; 9.999869452530020242e-01
1.744355240289494763e-02; 2.744343303228365463e-02; 9.999865947472502681e-01
1.782571858392873951e-02; 2.782559402207124277e-02; 9.999862348935760759e-01
1.821320672606309768e-02; 2.821307675939470697e-02; 9.999858654410866965e-01
1.860609094558762777e-02; 2.860595535175742068e-02; 9.999854861324887212e-01
1.900444639112727763e-02; 2.900430493863991738e-02; 9.999850967039575211e-01
1.940834925802744845e-02; 2.940820170587063812e-02; 9.999846968849996909e-01
1.981787680293971288e-02; 2.981772290019671715e-02; 9.999842863983199326e-01
2.023310735861112708e-02; 3.023294684405776478e-02; 9.999838649596852758e-01
2.065412034887971829e-02; 3.065395295056526706e-02; 9.999834322777896300e-01
2.108099630387934645e-02; 3.108082173869063797e-02; 9.999829880541192262e-01
2.151381687545660809e-02; 3.151363484866478992e-02; 9.999825319828171688e-01
2.195266485280296040e-02; 3.195247505759211959e-02; 9.999820637505506538e-01
2.239762417830492777e-02; 3.239742629528197249e-02; 9.999815830363775193e-01
2.284877996361541971e-02; 3.284857366030043829e-02; 9.999810895116146847e-01
2.330621850594953234e-02; 3.330600343624588733e-02; 9.999805828397091423e-01
2.377002730460752236e-02; 3.376980310825091619e-02; 9.999800626761105038e-01
2.424029507772856862e-02; 3.424006137971424141e-02; 9.999795286681453232e-01
2.471711177927838482e-02; 3.471686818926561502e-02; 9.999789804548964156e-01
2.520056861627373301e-02; 3.520031472796678745e-02; 9.999784176670838409e-01
2.569075806624768893e-02; 3.569049345675229939e-02; 9.999778399269506624e-01
2.618777389495841046e-02; 3.618749812411280187e-02; 9.999772468481542553e-01
2.669171117434528118e-02; 3.669142378402492216e-02; 9.999766380356613915e-01
2.720266630073505873e-02; 3.720236681413068014e-02; 9.999760130852822781e-01
2.772073701333096010e-02; 3.772042493416999376e-02; 9.999753715741748206e-01
2.824602241299791622e-02; 3.824569722466999305e-02; 9.999747130618332758e-01
2.877862298117735140e-02; 3.877828414589457040e-02; 9.999740370968674963e-01
2.931864059912141912e-02; 3.931828755705768508e-02; 9.999733432164693570e-01
2.986617856740851271e-02; 3.986581073580440504e-02; 9.999726309461701712e-01
3.042134162573119707e-02; 4.042095839796307905e-02; 9.999718997995956649e-01
3.098423597296071780e-02; 4.098383671757261509e-02; 9.999711492782197286e-01
3.155496928749187274e-02; 4.155455334718875099e-02; 9.999703788711162833e-01
3.213365074787197934e-02; 4.213321743847286971e-02; 9.999695880547110338e-01
3.272039105371839229e-02; 4.271993966306778662e-02; 9.999687762925308920e-01
3.331530244692801346e-02; 4.331483223376400571e-02; 9.999679430349548426e-01
