t_over_ts; l_over_lb; vr_over_cs
0.000000000000000000e+00; 1.000000000000000021e-02; 9.999979456077220386e-01
1.392543655464381766e-04; 1.013925407558814891e-02; 9.999978898311704389e-01
2.804479128693087566e-04; 1.028044732093309245e-02; 9.999978325420780800e-01
4.236076461957927284e-04; 1.042360673976401760e-02; 9.999977736994856148e-01
5.687609458116292885e-04; 1.056875971184804454e-02; 9.999977132613238062e-01
7.159355732984451839e-04; 1.071593399822671176e-02; 9.999976511843915450e-01
8.651596768440470656e-04; 1.086515774652537826e-02; 9.999975874243264284e-01
1.016461796626681258e-03; 1.101645949633656314e-02; 9.999975219355730083e-01
1.169870870271819824e-03; 1.116986818467823224e-02; 9.999974546721707158e-01
1.325416238368458052e-03; 1.132541315152812110e-02; 9.999973855940081924e-01
1.483127650123175229e-03; 1.148312414543511094e-02; 9.999973146528993162e-01
1.643035269037329028e-03; 1.164303132920876255e-02; 9.999972417970863781e-01
1.805169678670301946e-03; 1.180516528568804902e-02; 9.999971669734175617e-01
1.969561888489745199e-03; 1.196955702359043389e-02; 9.999970901273133039e-01
2.136243339803335119e-03; 1.213623798344241195e-02; 9.999970112027342095e-01
2.305245911773133594e-03; 1.230524004359261590e-02; 9.999969301421487433e-01
2.476601927513795518e-03; 1.247659552630869806e-02; 9.999968468865002569e-01
2.650344160275618088e-03; 1.265033720395903130e-02; 9.999967613751730156e-01
2.826505839713861802e-03; 1.282649830528060503e-02; 9.999966735459604461e-01
3.005120658245305498e-03; 1.300511252173409266e-02; 9.999965833350302757e-01
3.186222777493380280e-03; 1.318621401394748545e-02; 9.999964906768924466e-01
3.369846834823167318e-03; 1.336983741824946531e-02; 9.999963955043650321e-01
3.556027949967318150e-03; 1.355601785329368231e-02; 9.999962977485407079e-01
3.744801731744402777e-03; 1.374479092677537324e-02; 9.999961973387551106e-01
3.936204284870757630e-03; 1.393619274224142807e-02; 9.999960942025516442e-01
4.130272216867290555e-03; 1.413025990599533696e-02; 9.999959882656513921e-01
4.327042645062545607e-03; 1.432702953409830879e-02; 9.999958794519195893e-01
4.526553203693238492e-03; 1.452653925946780465e-02; 9.999957676833346465e-01
4.728842051103829096e-03; 1.472882723907502529e-02; 9.999956528799567312e-01
4.933947877046313338e-03; 1.493393216124252500e-02; 9.999955349598983467e-01
5.141909910081783434e-03; 1.514189325304352018e-02; 9.999954138392943559e-01
5.352767925085104468e-03; 1.535275028780422671e-02; 9.999952894322747809e-01
5.566562250854103708e-03; 1.556654359271061189e-02; 9.999951616509363816e-01
5.783333777824880770e-03; 1.578331405652117284e-02; 9.999950304053183414e-01
