t_over_ts; l_over_lb; vr_over_cs
0.000000000000000000e+00; 1.000000000000000021e-02; 9.999981915688519463e-01
1.392543308199479927e-04; 1.013925407558814891e-02; 9.999981426337675172e-01
2.804478419533279324e-04; 1.028044732093309245e-02; 9.999980923770187546e-01
4.236075375656003761e-04; 1.042360673976401760e-02; 9.999980407629956991e-01
5.687607978781750650e-04; 1.056875971184804454e-02; 9.999979877551289364e-01
7.159353844056308164e-04; 1.071593399822671176e-02; 9.999979333158729444e-01
8.651594452658933855e-04; 1.086515774652537826e-02; 9.999978774066783371e-01
1.016461520564373045e-03; 1.101645949633656314e-02; 9.999978199879671070e-01
1.169870547850777051e-03; 1.116986818467823224e-02; 9.999977610198690359e-01
1.325415867636368494e-03; 1.132541315152812110e-02; 9.999977004680770110e-01
1.483127229045351795e-03; 1.148312414543511094e-02; 9.999976382908665196e-01
1.643034795492813362e-03; 1.164303132920876255e-02; 9.999975744432758606e-01
1.805169150448225840e-03; 1.180516528568804902e-02; 9.999975088791377420e-01
1.969561303285543262e-03; 1.196955702359043389e-02; 9.999974415510519687e-01
2.136242695214790252e-03; 1.213623798344241195e-02; 9.999973724103565775e-01
2.305245205296276544e-03; 1.230524004359261590e-02; 9.999973014071013022e-01
2.476601156538609481e-03; 1.247659552630869806e-02; 9.999972284900181529e-01
2.650343322081578305e-03; 1.265033720395903130e-02; 9.999971536064937716e-01
2.826504931465298638e-03; 1.282649830528060503e-02; 9.999970767025411211e-01
3.005119676986536814e-03; 1.300511252173409266e-02; 9.999969977227711748e-01
3.186221720143696343e-03; 1.318621401394748545e-02; 9.999969166103637175e-01
3.369845698171561148e-03; 1.336983741824946531e-02; 9.999968333070394788e-01
3.556026730667018534e-03; 1.355601785329368231e-02; 9.999967477530318227e-01
3.744800426307166603e-03; 1.374479092677537324e-02; 9.999966598870588808e-01
3.936202889660944497e-03; 1.393619274224142807e-02; 9.999965696462950193e-01
4.130270728095674151e-03; 1.413025990599533696e-02; 9.999964769663440833e-01
4.327041058779874418e-03; 1.432702953409830879e-02; 9.999963817812111966e-01
4.526551515783534124e-03; 1.452653925946780465e-02; 9.999962840232774486e-01
4.728840257277397083e-03; 1.472882723907502529e-02; 9.999961836232729162e-01
