# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 0.9
# Delta_f0_over_b_i = 1
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# df_dt = 1.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 1.000000e+00
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0
0.00000000e+00,1.00000000e+00,1.09767014e-10,5.10659548e+00
2.27755106e+03,1.00000025e+00,1.09767032e-10,5.10659641e+00
4.55510175e+03,1.00000050e+00,1.09767050e-10,5.10659734e+00
6.83265205e+03,1.00000075e+00,1.09767069e-10,5.10659827e+00
9.11020197e+03,1.00000100e+00,1.09767087e-10,5.10659920e+00
2.04979459e+04,1.00000225e+00,1.09767178e-10,5.10660385e+00
3.18856804e+04,1.00000350e+00,1.09767270e-10,5.10660850e+00
4.32734054e+04,1.00000475e+00,1.09767361e-10,5.10661315e+00
5.46611209e+04,1.00000600e+00,1.09767452e-10,5.10661779e+00
1.11599556e+05,1.00001225e+00,1.09767909e-10,5.10664103e+00
1.68537755e+05,1.00001850e+00,1.09768365e-10,5.10666427e+00
2.25475717e+05,1.00002475e+00,1.09768822e-10,5.10668751e+00
2.82413442e+05,1.00003100e+00,1.09769279e-10,5.10671075e+00
5.67098514e+05,1.00006225e+00,1.09771562e-10,5.10682696e+00
8.51777666e+05,1.00009350e+00,1.09773845e-10,5.10694317e+00
1.13645090e+06,1.00012475e+00,1.09776128e-10,5.10705940e+00
1.42111821e+06,1.00015600e+00,1.09778411e-10,5.10717563e+00
2.84436593e+06,1.00031225e+00,1.09789830e-10,5.10775692e+00
4.26746562e+06,1.00046850e+00,1.09801252e-10,5.10833843e+00
5.69041725e+06,1.00062475e+00,1.09812678e-10,5.10892016e+00
7.11322083e+06,1.00078100e+00,1.09824106e-10,5.10950210e+00
