# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 0.9
# Delta_f0_over_b_i = 1
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# df_dts = 0.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 1.000000e+00
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
0.00000000e+00,1.00000000e+00,1.09767014e-10,5.10659548e+00,1.00000000e+00
2.27755106e-07,1.00000025e+00,1.09767032e-10,5.10659641e+00,1.00000000e+00
4.55510175e-07,1.00000050e+00,1.09767050e-10,5.10659734e+00,1.00000000e+00
6.83265205e-07,1.00000075e+00,1.09767069e-10,5.10659827e+00,1.00000000e+00
9.11020197e-07,1.00000100e+00,1.09767087e-10,5.10659920e+00,1.00000000e+00
2.04979459e-06,1.00000225e+00,1.09767178e-10,5.10660385e+00,1.00000000e+00
3.18856804e-06,1.00000350e+00,1.09767270e-10,5.10660850e+00,1.00000000e+00
4.32734054e-06,1.00000475e+00,1.09767361e-10,5.10661315e+00,1.00000000e+00
5.46611209e-06,1.00000600e+00,1.09767452e-10,5.10661779e+00,1.00000000e+00
1.11599556e-05,1.00001225e+00,1.09767909e-10,5.10664103e+00,1.00000000e+00
1.68537755e-05,1.00001850e+00,1.09768365e-10,5.10666427e+00,1.00000000e+00
2.25475717e-05,1.00002475e+00,1.09768822e-10,5.10668751e+00,1.00000000e+00
2.82413442e-05,1.00003100e+00,1.09769279e-10,5.10671075e+00,1.00000000e+00
5.67098515e-05,1.00006225e+00,1.09771562e-10,5.10682695e+00,1.00000000e+00
8.51777667e-05,1.00009350e+00,1.09773845e-10,5.10694315e+00,1.00000000e+00
1.13645090e-04,1.00012475e+00,1.09776128e-10,5.10705936e+00,1.00000000e+00
1.42111821e-04,1.00015600e+00,1.09778411e-10,5.10717556e+00,1.00000000e+00
2.84436596e-04,1.00031225e+00,1.09789827e-10,5.10775666e+00,1.00000000e+00
4.26746571e-04,1.00046850e+00,1.09801246e-10,5.10833784e+00,1.00000000e+00
5.69041746e-04,1.00062475e+00,1.09812665e-10,5.10891911e+00,1.00000000e+00
7.11322124e-04,1.00078100e+00,1.09824087e-10,5.10950046e+00,1.00000000e+00
1.42250208e-03,1.00156225e+00,1.09881217e-10,5.11240852e+00,1.00000000e+00
2.13331224e-03,1.00234350e+00,1.09938388e-10,5.11531872e+00,1.00000000e+00
2.84375273e-03,1.00312475e+00,1.09995598e-10,5.11823107e+00,1.00000000e+00
3.55382367e-03,1.00390600e+00,1.10052848e-10,5.12114557e+00,1.00000000e+00
7.09863979e-03,1.00781225e+00,1.10339693e-10,5.13575038e+00,1.00000000e+00
1.06342367e-02,1.01171850e+00,1.10627533e-10,5.15040914e+00,1.00000000e+00
1.41606303e-02,1.01562475e+00,1.10916373e-10,5.16512202e+00,1.00000000e+00
1.76778370e-02,1.01953100e+00,1.11206213e-10,5.17988918e+00,1.00000000e+00
3.09261673e-02,1.03433706e+00,1.12313949e-10,5.23635760e+00,1.00000000e+00
4.40436265e-02,1.04914313e+00,1.13436259e-10,5.29361729e+00,1.00000000e+00
5.70311055e-02,1.06394919e+00,1.14573296e-10,5.35167745e+00,1.00000000e+00
6.98895015e-02,1.07875525e+00,1.15725215e-10,5.41054739e+00,1.00000000e+00
8.69098967e-02,1.09858476e+00,1.17291546e-10,5.49067596e+00,1.00000000e+00
1.03702563e-01,1.11841426e+00,1.18885237e-10,5.57229725e+00,1.00000000e+00
1.20269699e-01,1.13824376e+00,1.20506680e-10,5.65543491e+00,1.00000000e+00
1.36613516e-01,1.15807327e+00,1.22156275e-10,5.74011307e+00,1.00000000e+00
1.55699358e-01,1.18157678e+00,1.24148528e-10,5.84250940e+00,1.00000000e+00
1.74478303e-01,1.20508030e+00,1.26181600e-10,5.94714654e+00,1.00000000e+00
1.92954083e-01,1.22858382e+00,1.28256202e-10,6.05406742e+00,1.00000000e+00
2.11130438e-01,1.25208733e+00,1.30373060e-10,6.16331600e+00,1.00000000e+00
2.31775977e-01,1.27925991e+00,1.32874018e-10,6.29257919e+00,1.00000000e+00
2.52032125e-01,1.30643248e+00,1.35433631e-10,6.42508513e+00,1.00000000e+00
2.71904683e-01,1.33360505e+00,1.38053108e-10,6.56090709e+00,1.00000000e+00
2.91399445e-01,1.36077762e+00,1.40733694e-10,6.70012035e+00,1.00000000e+00
3.13812667e-01,1.39267920e+00,1.43960508e-10,6.86799428e+00,1.00000000e+00
3.35722454e-01,1.42458078e+00,1.47275436e-10,7.04077834e+00,1.00000000e+00
3.57138093e-01,1.45648236e+00,1.50680665e-10,7.21860545e+00,1.00000000e+00
3.78068819e-01,1.48838394e+00,1.54178450e-10,7.40161273e+00,1.00000000e+00
4.01982107e-01,1.52575252e+00,1.58396491e-10,7.62276052e+00,1.00000000e+00
4.25257259e-01,1.56312109e+00,1.62748586e-10,7.85144602e+00,1.00000000e+00
4.47908751e-01,1.60048966e+00,1.67238732e-10,8.08791310e+00,1.00000000e+00
4.69950901e-01,1.63785824e+00,1.71871065e-10,8.33241462e+00,1.00000000e+00
4.90441723e-01,1.67353884e+00,1.76430791e-10,8.57361126e+00,1.00000000e+00
5.10402069e-01,1.70921945e+00,1.81127918e-10,8.82260872e+00,1.00000000e+00
5.29843934e-01,1.74490005e+00,1.85966432e-10,9.07965173e+00,1.00000000e+00
5.48779148e-01,1.78058065e+00,1.90950454e-10,9.34499357e+00,1.00000000e+00
5.66437270e-01,1.81472855e+00,1.95860579e-10,9.60695113e+00,1.00000000e+00
5.83652079e-01,1.84887645e+00,2.00911737e-10,9.87698780e+00,1.00000000e+00
6.00433485e-01,1.88302435e+00,2.06107904e-10,1.01553491e+01,1.00000000e+00
6.16791247e-01,1.91717225e+00,2.11453184e-10,1.04422888e+01,1.00000000e+00
6.32223250e-01,1.95021044e+00,2.16770666e-10,1.07283154e+01,1.00000000e+00
6.47276233e-01,1.98324863e+00,2.22235646e-10,1.10228628e+01,1.00000000e+00
6.61958603e-01,2.01628682e+00,2.27852199e-10,1.13261839e+01,1.00000000e+00
6.76278630e-01,2.04932500e+00,2.33624523e-10,1.16385402e+01,1.00000000e+00
6.89884041e-01,2.08150012e+00,2.39399900e-10,1.19516777e+01,1.00000000e+00
7.03160873e-01,2.11367523e+00,2.45331244e-10,1.22738975e+01,1.00000000e+00
7.16116370e-01,2.14585035e+00,2.51422795e-10,1.26054644e+01,1.00000000e+00
7.28757651e-01,2.17802546e+00,2.57678923e-10,1.29466520e+01,1.00000000e+00
7.40824809e-01,2.20949588e+00,2.63961559e-10,1.32899447e+01,1.00000000e+00
7.52604471e-01,2.24096629e+00,2.70410282e-10,1.36429833e+01,1.00000000e+00
7.64102942e-01,2.27243671e+00,2.77029550e-10,1.40060481e+01,1.00000000e+00
7.75326413e-01,2.30390713e+00,2.83823954e-10,1.43794282e+01,1.00000000e+00
7.86081612e-01,2.33479797e+00,2.90668127e-10,1.47562521e+01,1.00000000e+00
7.96583338e-01,2.36568882e+00,2.97690196e-10,1.51435926e+01,1.00000000e+00
8.06837125e-01,2.39657966e+00,3.04894892e-10,1.55417487e+01,1.00000000e+00
8.16848403e-01,2.42747051e+00,3.12287082e-10,1.59510287e+01,1.00000000e+00
8.26464403e-01,2.45785573e+00,3.19746052e-10,1.63647703e+01,1.00000000e+00
8.35855896e-01,2.48824096e+00,3.27396173e-10,1.67898935e+01,1.00000000e+00
8.45027763e-01,2.51862619e+00,3.35242485e-10,1.72267188e+01,1.00000000e+00
8.53984789e-01,2.54901142e+00,3.43290169e-10,1.76755767e+01,1.00000000e+00
8.62607107e-01,2.57895882e+00,3.51424127e-10,1.81300719e+01,1.00000000e+00
8.71029700e-01,2.60890623e+00,3.59764121e-10,1.85969212e+01,1.00000000e+00
8.79256890e-01,2.63885364e+00,3.68315543e-10,1.90764699e+01,1.00000000e+00
8.87292919e-01,2.66880104e+00,3.77083940e-10,1.95690734e+01,1.00000000e+00
8.95041057e-01,2.69835901e+00,3.85956639e-10,2.00684298e+01,1.00000000e+00
9.02610942e-01,2.72791697e+00,3.95051894e-10,2.05812226e+01,1.00000000e+00
9.10006418e-01,2.75747494e+00,4.04375497e-10,2.11078248e+01,1.00000000e+00
9.17231254e-01,2.78703290e+00,4.13933400e-10,2.16486203e+01,1.00000000e+00
9.24206836e-01,2.81624215e+00,4.23614698e-10,2.21973655e+01,1.00000000e+00
9.31022886e-01,2.84545139e+00,4.33536843e-10,2.27607494e+01,1.00000000e+00
9.37682830e-01,2.87466064e+00,4.43706071e-10,2.33391760e+01,1.00000000e+00
9.44190028e-01,2.90386989e+00,4.54128790e-10,2.39330610e+01,1.00000000e+00
9.50480224e-01,2.93276518e+00,4.64695357e-10,2.45361923e+01,1.00000000e+00
9.56627291e-01,2.96166047e+00,4.75522990e-10,2.51552964e+01,1.00000000e+00
9.62634293e-01,2.99055576e+00,4.86618419e-10,2.57908118e+01,1.00000000e+00
9.68504237e-01,3.01945105e+00,4.97988561e-10,2.64431899e+01,1.00000000e+00
9.74183813e-01,3.04805969e+00,5.09523520e-10,2.71061645e+01,1.00000000e+00
9.79734725e-01,3.07666832e+00,5.21341819e-10,2.77865878e+01,1.00000000e+00
9.85159719e-01,3.10527695e+00,5.33450737e-10,2.84849366e+01,1.00000000e+00
9.90461488e-01,3.13388558e+00,5.45857754e-10,2.92017020e+01,1.00000000e+00
9.95592829e-01,3.16221583e+00,5.58445350e-10,2.99301375e+01,1.00000000e+00
1.00060843e+00,3.19054608e+00,5.71340471e-10,3.06776325e+01,1.00000000e+00
1.00551076e+00,3.21887633e+00,5.84550988e-10,3.14447060e+01,1.00000000e+00
1.01030222e+00,3.24720658e+00,5.98084990e-10,3.22318920e+01,1.00000000e+00
1.01494595e+00,3.27529670e+00,6.11831842e-10,3.30328039e+01,1.00000000e+00
1.01948527e+00,3.30338682e+00,6.25913207e-10,3.38545795e+01,1.00000000e+00
1.02392240e+00,3.33147694e+00,6.40337627e-10,3.46977851e+01,1.00000000e+00
1.02825952e+00,3.35956706e+00,6.55113881e-10,3.55630034e+01,1.00000000e+00
1.03246325e+00,3.38741928e+00,6.70121247e-10,3.64432182e+01,1.00000000e+00
1.03657278e+00,3.41527150e+00,6.85492404e-10,3.73462648e+01,1.00000000e+00
1.04059011e+00,3.44312372e+00,7.01236620e-10,3.82727611e+01,1.00000000e+00
1.04451717e+00,3.47097595e+00,7.17363420e-10,3.92233430e+01,1.00000000e+00
1.04832318e+00,3.49858809e+00,7.33738491e-10,4.01901500e+01,1.00000000e+00
1.05204420e+00,3.52620023e+00,7.50508978e-10,4.11819271e+01,1.00000000e+00
1.05568202e+00,3.55381238e+00,7.67684932e-10,4.21993483e+01,1.00000000e+00
1.05923840e+00,3.58142452e+00,7.85276677e-10,4.32431067e+01,1.00000000e+00
1.06268924e+00,3.60882935e+00,8.03157917e-10,4.43057727e+01,1.00000000e+00
1.06606321e+00,3.63623417e+00,8.21469816e-10,4.53958008e+01,1.00000000e+00
1.06936192e+00,3.66363899e+00,8.40223304e-10,4.65139279e+01,1.00000000e+00
1.07258696e+00,3.69104382e+00,8.59429610e-10,4.76609121e+01,1.00000000e+00
1.07571812e+00,3.71825742e+00,8.78961373e-10,4.88292184e+01,1.00000000e+00
1.07877967e+00,3.74547102e+00,8.98962618e-10,5.00275341e+01,1.00000000e+00
1.08177305e+00,3.77268462e+00,9.19445251e-10,5.12566663e+01,1.00000000e+00
1.08469971e+00,3.79989822e+00,9.40421501e-10,5.25174453e+01,1.00000000e+00
1.08754113e+00,3.82692026e+00,9.61750910e-10,5.38015056e+01,1.00000000e+00
1.09031950e+00,3.85394231e+00,9.83592015e-10,5.51184698e+01,1.00000000e+00
1.09303613e+00,3.88096435e+00,1.00595778e-09,5.64692215e+01,1.00000000e+00
1.09569233e+00,3.90798639e+00,1.02886151e-09,5.78546695e+01,1.00000000e+00
1.09827072e+00,3.93481230e+00,1.05214462e-09,5.92653034e+01,1.00000000e+00
1.10079201e+00,3.96163821e+00,1.07598513e-09,6.07119930e+01,1.00000000e+00
1.10325741e+00,3.98846412e+00,1.10039714e-09,6.21957049e+01,1.00000000e+00
1.10566807e+00,4.01529003e+00,1.12539513e-09,6.37174334e+01,1.00000000e+00
