# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 0.9
# Delta_f0_over_b_i = 1
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# df_dts = 1.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 5.000000e-01
# l_fin_over_lb = 1.000000e+03
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
0.00000000e+00,5.00000000e-01,8.05305042e-11,3.63714369e+00,1.00000000e+00
3.10441321e-07,5.00000250e-01,8.05305293e-11,3.63714603e+00,1.00000031e+00
6.20882546e-07,5.00000500e-01,8.05305543e-11,3.63714836e+00,1.00000062e+00
9.31323674e-07,5.00000750e-01,8.05305793e-11,3.63715070e+00,1.00000093e+00
1.24176471e-06,5.00001000e-01,8.05306043e-11,3.63715304e+00,1.00000124e+00
2.79396842e-06,5.00002250e-01,8.05307293e-11,3.63716472e+00,1.00000279e+00
4.34616972e-06,5.00003500e-01,8.05308544e-11,3.63717640e+00,1.00000435e+00
5.89836861e-06,5.00004750e-01,8.05309794e-11,3.63718808e+00,1.00000590e+00
7.45056509e-06,5.00006000e-01,8.05311045e-11,3.63719977e+00,1.00000745e+00
1.52115113e-05,5.00012250e-01,8.05317297e-11,3.63725818e+00,1.00001521e+00
2.29723973e-05,5.00018500e-01,8.05323550e-11,3.63731659e+00,1.00002297e+00
3.07332231e-05,5.00024750e-01,8.05329803e-11,3.63737501e+00,1.00003073e+00
3.84939886e-05,5.00031000e-01,8.05336056e-11,3.63743343e+00,1.00003849e+00
7.72969120e-05,5.00062250e-01,8.05367325e-11,3.63772553e+00,1.00007730e+00
1.16098329e-04,5.00093500e-01,8.05398597e-11,3.63801765e+00,1.00011610e+00
1.54898239e-04,5.00124750e-01,8.05429873e-11,3.63830980e+00,1.00015490e+00
1.93696643e-04,5.00156000e-01,8.05461154e-11,3.63860198e+00,1.00019370e+00
3.87666056e-04,5.00312250e-01,8.05617620e-11,3.64006325e+00,1.00038767e+00
5.81597787e-04,5.00468500e-01,8.05774191e-11,3.64152517e+00,1.00058160e+00
7.75491827e-04,5.00624750e-01,8.05930866e-11,3.64298774e+00,1.00077549e+00
9.69348164e-04,5.00781000e-01,8.06087646e-11,3.64445096e+00,1.00096935e+00
1.93806395e-03,5.01562250e-01,8.06873113e-11,3.65177683e+00,1.00193806e+00
2.90583560e-03,5.02343500e-01,8.07661200e-11,3.65911901e+00,1.00290584e+00
3.87266184e-03,5.03124750e-01,8.08451912e-11,3.66647754e+00,1.00387266e+00
4.83854135e-03,5.03906000e-01,8.09245253e-11,3.67385246e+00,1.00483854e+00
9.65369342e-03,5.07812250e-01,8.13251583e-11,3.71097482e+00,1.00965369e+00
1.44449878e-02,5.11718500e-01,8.17324420e-11,3.74851443e+00,1.01444499e+00
1.92122709e-02,5.15624750e-01,8.21464396e-11,3.78647732e+00,1.01921227e+00
2.39553936e-02,5.19531000e-01,8.25672144e-11,3.82486950e+00,1.02395539e+00
3.13429593e-02,5.25655447e-01,8.32407227e-11,3.88594162e+00,1.03134296e+00
3.86702468e-02,5.31779894e-01,8.39312853e-11,3.94810709e+00,1.03867025e+00
4.59367510e-02,5.37904341e-01,8.46391410e-11,4.01138918e+00,1.04593675e+00
5.31419959e-02,5.44028789e-01,8.53645268e-11,4.07581120e+00,1.05314200e+00
6.19741387e-02,5.51608765e-01,8.62869317e-11,4.15715694e+00,1.06197414e+00
7.07109799e-02,5.59188741e-01,8.72369884e-11,4.24032848e+00,1.07071098e+00
7.93518083e-02,5.66768717e-01,8.82151326e-11,4.32536993e+00,1.07935181e+00
8.78959846e-02,5.74348693e-01,8.92217952e-11,4.41232529e+00,1.08789598e+00
9.88291563e-02,5.84176542e-01,9.05701412e-11,4.52798884e+00,1.09882916e+00
1.09597850e-01,5.94004391e-01,9.19680554e-11,4.64703868e+00,1.10959785e+00
1.20201217e-01,6.03832240e-01,9.34164396e-11,4.76956997e+00,1.12020122e+00
1.30638609e-01,6.13660089e-01,9.49161824e-11,4.89567751e+00,1.13063861e+00
1.42227571e-01,6.24760728e-01,9.66730160e-11,5.04253605e+00,1.14222757e+00
1.53603879e-01,6.35861367e-01,9.84977245e-11,5.19421200e+00,1.15360388e+00
1.64767503e-01,6.46962006e-01,1.00391532e-10,5.35083996e+00,1.16476750e+00
1.75718711e-01,6.58062645e-01,1.02355648e-10,5.51255384e+00,1.17571871e+00
1.84869845e-01,6.67507771e-01,1.04083092e-10,5.65425433e+00,1.18486984e+00
1.93868104e-01,6.76952896e-01,1.05863024e-10,5.79981459e+00,1.19386810e+00
2.02714132e-01,6.86398021e-01,1.07696165e-10,5.94931601e+00,1.20271413e+00
2.11408703e-01,6.95843146e-01,1.09583231e-10,6.10283968e+00,1.21140870e+00
2.19734199e-01,7.05044622e-01,1.11474153e-10,6.25634798e+00,1.21973420e+00
2.27917750e-01,7.14246097e-01,1.13417586e-10,6.41382496e+00,1.22791775e+00
2.35960399e-01,7.23447573e-01,1.15414185e-10,6.57534511e+00,1.23596040e+00
2.43863282e-01,7.32649048e-01,1.17464604e-10,6.74098284e+00,1.24386328e+00
2.51809302e-01,7.42067799e-01,1.19619864e-10,6.91487397e+00,1.25180930e+00
2.59611568e-01,7.51486549e-01,1.21832905e-10,7.09323721e+00,1.25961157e+00
2.67271563e-01,7.60905300e-01,1.24104432e-10,7.27615240e+00,1.26727156e+00
2.74790850e-01,7.70324050e-01,1.26435152e-10,7.46369954e+00,1.27479085e+00
2.82570960e-01,7.80258241e-01,1.28958349e-10,7.66661779e+00,1.28257096e+00
2.90198346e-01,7.90192432e-01,1.31549032e-10,7.87487259e+00,1.29019835e+00
2.97675062e-01,8.00126623e-01,1.34208048e-10,8.08855866e+00,1.29767506e+00
