# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 0.9
# Delta_f0_over_b_i = 1
# rs_type = slip
# V0_over_Vs = 1.000000e-10
# df_dts = 1.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 5.000000e-01
# l_fin_over_lb = 1.000000e+03
# stop_reason = 2
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
0.00000000e+00,5.00000000e-01,8.41988576e-11,3.81928114e+00,1.00000000e+00
2.96916058e-07,5.00000250e-01,8.41989056e-11,3.81928462e+00,1.00000030e+00
5.93831947e-07,5.00000500e-01,8.41989535e-11,3.81928810e+00,1.00000059e+00
8.90747666e-07,5.00000750e-01,8.41990015e-11,3.81929159e+00,1.00000089e+00
1.18766322e-06,5.00001000e-01,8.41990495e-11,3.81929507e+00,1.00000119e+00
2.67223843e-06,5.00002250e-01,8.41992893e-11,3.81931248e+00,1.00000267e+00
4.15680942e-06,5.00003500e-01,8.41995291e-11,3.81932989e+00,1.00000416e+00
5.64137618e-06,5.00004750e-01,8.41997689e-11,3.81934731e+00,1.00000564e+00
7.12593871e-06,5.00006000e-01,8.42000087e-11,3.81936472e+00,1.00000713e+00
1.45486879e-05,5.00012250e-01,8.42012077e-11,3.81945179e+00,1.00001455e+00
2.19713315e-05,5.00018500e-01,8.42024068e-11,3.81953886e+00,1.00002197e+00
2.93938693e-05,5.00024750e-01,8.42036060e-11,3.81962593e+00,1.00002939e+00
3.68163014e-05,5.00031000e-01,8.42048052e-11,3.81971301e+00,1.00003682e+00
7.39268764e-05,5.00062250e-01,8.42108020e-11,3.82014844e+00,1.00007393e+00
1.11034808e-04,5.00093500e-01,8.42168002e-11,3.82058395e+00,1.00011103e+00
1.48140097e-04,5.00124750e-01,8.42227997e-11,3.82101953e+00,1.00014814e+00
1.85242743e-04,5.00156000e-01,8.42288005e-11,3.82145519e+00,1.00018524e+00
3.70716313e-04,5.00312250e-01,8.42588246e-11,3.82363466e+00,1.00037072e+00
5.56123768e-04,5.00468500e-01,8.42888820e-11,3.82581606e+00,1.00055612e+00
7.41465082e-04,5.00624750e-01,8.43189727e-11,3.82799939e+00,1.00074147e+00
9.26740230e-04,5.00781000e-01,8.43490967e-11,3.83018465e+00,1.00092674e+00
1.85212255e-03,5.01562250e-01,8.45002183e-11,3.84114009e+00,1.00185212e+00
2.77584680e-03,5.02343500e-01,8.46521788e-11,3.85214427e+00,1.00277585e+00
3.69790976e-03,5.03124750e-01,8.48049826e-11,3.86319746e+00,1.00369791e+00
4.61830823e-03,5.03906000e-01,8.49586340e-11,3.87429997e+00,1.00461831e+00
8.19174009e-03,5.06952739e-01,8.55660287e-11,3.91807453e+00,1.00819174e+00
1.17396233e-02,5.09999479e-01,8.61866445e-11,3.96262127e+00,1.01173962e+00
1.52617769e-02,5.13046218e-01,8.68207489e-11,4.00795822e+00,1.01526178e+00
1.87580247e-02,5.16092958e-01,8.74686148e-11,4.05410378e+00,1.01875802e+00
2.33631064e-02,5.20141150e-01,8.83511991e-11,4.11670046e+00,1.02336311e+00
2.79217641e-02,5.24189343e-01,8.92592342e-11,4.18080290e+00,1.02792176e+00
3.24336273e-02,5.28237536e-01,9.01934017e-11,4.24645736e+00,1.03243363e+00
