t_over_ts; l_over_lb; vr_over_cs
0.000000000000000000e+00; 1.000000000000000000e+00; 1.095640351383725085e-10
8.427637752444493771e+07; 1.009262190987047614e+00; 1.102436485965189056e-10
1.688039397314951420e+08; 1.018610170155975769e+00; 1.109407748678973257e-10
2.535731783129041493e+08; 1.028044732093309266e+00; 1.116559441515176875e-10
3.385743062699710131e+08; 1.037566678745185822e+00; 1.123897051261199857e-10
4.237972563087353706e+08; 1.047176819485520216e+00; 1.131426256760313788e-10
5.092316792851196527e+08; 1.056875971184804142e+00; 1.139152936255662559e-10
5.948669433963167667e+08; 1.066664958279539333e+00; 1.147083175079584326e-10
6.806921335206282139e+08; 1.076544612842315507e+00; 1.155223274168263124e-10
7.666960509270963669e+08; 1.086515774652538235e+00; 1.163579759398038251e-10
8.528672127682993412e+08; 1.096579291267809841e+00; 1.172159389818460465e-10
9.391938519781868458e+08; 1.106736018095973551e+00; 1.180969166505473481e-10
1.025663918501723289e+09; 1.116986818467823106e+00; 1.190016343438312983e-10
1.112265080235635519e+09; 1.127332563710486735e+00; 1.199308436009636933e-10
1.198984723889844418e+09; 1.137774133221491235e+00; 1.208853234402241038e-10
1.285809956542538643e+09; 1.148312414543511073e+00; 1.218658814320482555e-10
1.372727607657674074e+09; 1.158948303439810923e+00; 1.228733547546651217e-10
1.459724231548620701e+09; 1.169682703970385207e+00; 1.239086113063972838e-10
1.546786110367780924e+09; 1.180516528568805068e+00; 1.249725512691172557e-10
1.633899258647189856e+09; 1.191450698119775886e+00; 1.260661081694157268e-10
1.721049425082052946e+09; 1.202486142037412220e+00; 1.271902505784607451e-10
1.808222096786152601e+09; 1.213623798344240834e+00; 1.283459835878061651e-10
1.895402504645982265e+09; 1.224864613750931364e+00; 1.295343501931579770e-10
1.982575629199085236e+09; 1.236209543736768612e+00; 1.307564327431940226e-10
2.069726205038977623e+09; 1.247659552630869584e+00; 1.320133549733748619e-10
2.156838729417613506e+09; 1.259215613694151026e+00; 1.333062835047697364e-10
2.243897465513184547e+09; 1.270878709202058587e+00; 1.346364300073060022e-10
2.330886449844841003e+09; 1.282649830528060475e+00; 1.360050531484844368e-10
2.417789501780101299e+09; 1.294529978227915601e+00; 1.374134604283459943e-10
2.504590232718728065e+09; 1.306520162124721107e+00; 1.388630101995122334e-10
2.591272052627761841e+09; 1.318621401394748593e+00; 1.403551142969411194e-10
2.677818181979206085e+09; 1.330834724654075041e+00; 1.418912401101789639e-10
2.764211656578069687e+09; 1.343161170046015984e+00; 1.434729134481933050e-10
2.850435340268746376e+09; 1.355601785329368481e+00; 1.451017209853313994e-10
2.936471939265093803e+09; 1.368157627967471646e+00; 1.467793127350358198e-10
3.022304010304258823e+09; 1.380829765218092531e+00; 1.485074051839487937e-10
3.107913975535033703e+09; 1.393619274224142446e+00; 1.502877842437837676e-10
3.193284129920151234e+09; 1.406527242105237052e+00; 1.521223086264852976e-10
3.278396654475854874e+09; 1.419554766050101113e+00; 1.540129132151100644e-10
3.363233635081315041e+09; 1.432702953409830782e+00; 1.559616123090624361e-10
3.447777074850296974e+09; 1.445972921792019861e+00; 1.579705033971004458e-10
3.532008908272261143e+09; 1.459365799155756704e+00; 1.600417712108082380e-10
3.615911013262798786e+09; 1.472882723907502633e+00; 1.621776918365844097e-10
3.699465224719084740e+09; 1.486524844997856754e+00; 1.643806371427265037e-10
3.782653357785439968e+09; 1.500293322019218278e+00; 1.666530790889027497e-10
3.865457221561432838e+09; 1.514189325304352129e+00; 1.689975945926049913e-10
3.947858635725721836e+09; 1.528214036025869804e+00; 1.714168707185376289e-10
4.029839442386540413e+09; 1.542368646296628176e+00; 1.739137100181109447e-10
4.111381523883312225e+09; 1.556654359271061550e+00; 1.764910361784556413e-10
4.192466829424559116e+09; 1.571072389247450296e+00; 1.791518998126477607e-10
4.273077386303766727e+09; 1.585623961771137402e+00; 1.818994848387865763e-10
4.353195320602602005e+09; 1.600310313738700696e+00; 1.847371151366878435e-10
4.432802866685953140e+09; 1.615132693503090522e+00; 1.876682614644668585e-10
4.511882393335906029e+09; 1.630092360979740640e+00; 1.906965488534011222e-10
4.590416427593786240e+09; 1.645190587753662559e+00; 1.938257643998186297e-10
4.668387665697900772e+09; 1.660428657187529966e+00; 1.970598655782347221e-10
4.745778991350229263e+09; 1.675807864530767688e+00; 2.004029888080073351e-10
4.822573491414633751e+09; 1.691329517029648066e+00; 2.038594585635463041e-10
4.898754487242340088e+09; 1.706994934038407408e+00; 2.074337973825473964e-10
4.974305545250496864e+09; 1.722805447131394052e+00; 2.111307360155986978e-10
5.049210497377419472e+09; 1.738762400216250725e+00; 2.149552244289827247e-10
5.123453449478057861e+09; 1.754867149648150937e+00; 2.189124427218998277e-10
5.197018812907386780e+09; 1.771121064345087870e+00; 2.230078139266599493e-10
5.269891322351185799e+09; 1.787525525904235080e+00; 2.272470169210583226e-10
5.342056050056252480e+09; 1.804081928719382777e+00; 2.316360002589236930e-10
5.413498415305624962e+09; 1.820791680099463017e+00; 2.361809957424581810e-10
5.484204205477692604e+09; 1.837656200388171124e+00; 2.408885339569061406e-10
5.554159607228133202e+09; 1.854676923084698670e+00; 2.457654617743789390e-10
5.623351208464726448e+09; 1.871855294965578675e+00; 2.508189587309879333e-10
5.691766017887844086e+09; 1.889192776207666347e+00; 2.560565557154409203e-10
5.759391468597267151e+09; 1.906690840512252461e+00; 2.614861525382423873e-10
5.826215450665170670e+09; 1.924350975230330940e+00; 2.671160407014812572e-10
5.892226325702182770e+09; 1.942174681489025723e+00; 2.729549256011140038e-10
5.957412928975631714e+09; 1.960163474319185362e+00; 2.790119490686269961e-10
6.021764580464713097e+09; 1.978318882784164234e+00; 2.852967127599198701e-10
6.085271099885776520e+09; 1.996642450109793909e+00; 2.918193045561432452e-10
6.147922834424316406e+09; 2.015135733815557550e+00; 2.985903298900477631e-10
6.209710650018507957e+09; 2.033800305846981349e+00; 3.056209385467114151e-10
6.270625944272056580e+09; 2.052637752709252084e+00; 3.129228562477450245e-10
6.330660657280714035e+09; 2.071649675602068807e+00; 3.205084179805248771e-10
6.389807288331126213e+09; 2.090837690555750417e+00; 3.283906065040103404e-10
6.448058892636286736e+09; 2.110203428568595552e+00; 3.365830887093459570e-10
6.505409087399826050e+09; 2.129748535745520144e+00; 3.451002545863701194e-10
6.561852066004606247e+09; 2.149474673437980154e+00; 3.539572631868533424e-10
6.617382599666781425e+09; 2.169383518385184395e+00; 3.631700890497253334e-10
6.671996036214293480e+09; 2.189476762856621406e+00; 3.727555696327455881e-10
6.725688306107481003e+09; 2.209756114795902171e+00; 3.827314571092711669e-10
6.778455930971542358e+09; 2.230223297965937768e+00; 3.931164787716431678e-10
6.830296014635338783e+09; 2.250880052095461270e+00; 4.039303934101605395e-10
6.881206247475101471e+09; 2.271728133026905461e+00; 4.151940548965303662e-10
6.931184909638320923e+09; 2.292769312865649223e+00; 4.269294838811009348e-10
6.980230863233742714e+09; 2.314005380130653045e+00; 4.391599387679767775e-10
7.028343552800731659e+09; 2.335438139906478749e+00; 4.519099928028608711e-10
7.075523004434630394e+09; 2.357069413996727647e+00; 4.652056214296023653e-10
7.121769816140048981e+09; 2.378901041078893552e+00; 4.790742889130828797e-10
7.167085157239671707e+09; 2.400934876860652434e+00; 4.935450442570172428e-10
7.211470761887297630e+09; 2.423172794237599348e+00; 5.086486270764329992e-10
7.254928919124517441e+09; 2.445616683452445983e+00; 5.244175737862474748e-10
7.297462470485476494e+09; 2.468268452255692136e+00; 5.408863381249327312e-10
