t_over_ts; l_over_lb; vr_over_cs
0.000000000000000000e+00; 5.000000000000000000e-01; 8.464765308935863693e-11
5.869019545305158198e+07; 5.049813507450220396e-01; 8.510493053509738490e-11
1.176427757507667243e+08; 5.100123292005339648e-01; 8.557586560488134268e-11
1.768510584538485408e+08; 5.150934297926009764e-01; 8.606099124157378891e-11
2.363080293297931552e+08; 5.202251518731076940e-01; 8.656086607103828899e-11
2.960063333845562339e+08; 5.254079997688322345e-01; 8.707607587040125255e-11
3.559382652210990787e+08; 5.306424828310103425e-01; 8.760723514796106142e-11
4.160957586908922195e+08; 5.359291154853915717e-01; 8.815498884685062929e-11
4.764703773575397730e+08; 5.412684172827958440e-01; 8.872001414339425367e-11
5.370533050684130192e+08; 5.466609129501730502e-01; 8.930302236978420804e-11
5.978353366177384853e+08; 5.521071324421705784e-01; 8.990476106747540668e-11
6.588068662583585978e+08; 5.576076109932160962e-01; 9.052601623108508941e-11
7.199578785637742281e+08; 5.631628891701182527e-01; 9.116761466626819804e-11
7.812779379998992682e+08; 5.687735129251908495e-01; 9.183042653794925493e-11
8.427561808566119671e+08; 5.744400336499083659e-01; 9.251536807369519682e-11
9.043813047865366936e+08; 5.801630082290932799e-01; 9.322340450462910926e-11
9.661415571284312010e+08; 5.859429990956456225e-01; 9.395555324871462727e-11
1.028024727284987211e+09; 5.917805742858167628e-01; 9.471288727009966772e-11
1.090018136210376740e+09; 5.976763074950331989e-01; 9.549653873681570414e-11
1.152108629912885427e+09; 6.036307781342781231e-01; 9.630770292792512971e-11
1.214282568898201466e+09; 6.096445713870328742e-01; 9.714764248735853601e-11
1.276525817247504473e+09; 6.157182782667878218e-01; 9.801769202199200547e-11
1.338823737256486654e+09; 6.218524956751236843e-01; 9.891926300496764652e-11
1.401161180048098087e+09; 6.280478264603739369e-01; 9.985384912110838115e-11
1.463522481391004086e+09; 6.343048794768696430e-01; 1.008230320400031777e-10
1.525891451964847565e+09; 6.406242696447761453e-01; 1.018284876779327744e-10
1.588251368856535435e+09; 6.470066180105245035e-01; 1.028719929839526277e-10
1.650584973437385082e+09; 6.534525518078463380e-01; 1.039554332616662202e-10
1.712874465001641273e+09; 6.599627045194155217e-01; 1.050808101653143747e-10
1.775101499586298466e+09; 6.665377159391047135e-01; 1.062502504123153079e-10
1.837247182207743406e+09; 6.731782322348618397e-01; 1.074660151957583392e-10
1.899292064039077997e+09; 6.798849060122132970e-01; 1.087305104699413838e-10
1.961216143545167923e+09; 6.866583963783996492e-01; 1.100462981281181464e-10
2.022998866730184317e+09; 6.934993690071500350e-01; 1.114161083189410989e-10
2.084619128750887156e+09; 7.004084962041022822e-01; 1.128428528552851465e-10
2.146055270521967888e+09; 7.073864569728743890e-01; 1.143296397256332445e-10
2.207285085932947159e+09; 7.144339370817950341e-01; 1.158797891859495482e-10
2.268285826115947247e+09; 7.215516291312978892e-01; 1.174968512483144560e-10
2.329034209790629387e+09; 7.287402326219880599e-01; 1.191846252411557414e-10
2.389506427496784210e+09; 7.360004540233863191e-01; 1.209471808638402561e-10
2.449678148719492912e+09; 7.433330068433581239e-01; 1.227888813917282235e-10
