# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 0.9
# Delta_f0_over_b_i = 1
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# df_dts = 0.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 5.000000e-01
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
0.00000000e+00,5.00000000e-01,8.05305042e-11,3.63714369e+00,1.00000000e+00
3.10441347e-07,5.00000250e-01,8.05305156e-11,3.63714425e+00,1.00000000e+00
6.20882651e-07,5.00000500e-01,8.05305269e-11,3.63714481e+00,1.00000000e+00
9.31323911e-07,5.00000750e-01,8.05305382e-11,3.63714538e+00,1.00000000e+00
1.24176513e-06,5.00001000e-01,8.05305496e-11,3.63714594e+00,1.00000000e+00
2.79397055e-06,5.00002250e-01,8.05306063e-11,3.63714875e+00,1.00000000e+00
4.34617489e-06,5.00003500e-01,8.05306629e-11,3.63715155e+00,1.00000000e+00
5.89837813e-06,5.00004750e-01,8.05307196e-11,3.63715436e+00,1.00000000e+00
7.45058028e-06,5.00006000e-01,8.05307763e-11,3.63715717e+00,1.00000000e+00
1.52115746e-05,5.00012250e-01,8.05310596e-11,3.63717121e+00,1.00000000e+00
2.29725417e-05,5.00018500e-01,8.05313430e-11,3.63718525e+00,1.00000000e+00
3.07334814e-05,5.00024750e-01,8.05316263e-11,3.63719929e+00,1.00000000e+00
3.84943939e-05,5.00031000e-01,8.05319097e-11,3.63721333e+00,1.00000000e+00
7.72985465e-05,5.00062250e-01,8.05333265e-11,3.63728354e+00,1.00000000e+00
1.16102016e-04,5.00093500e-01,8.05347433e-11,3.63735375e+00,1.00000000e+00
1.54904804e-04,5.00124750e-01,8.05361602e-11,3.63742396e+00,1.00000000e+00
1.93706908e-04,5.00156000e-01,8.05375771e-11,3.63749418e+00,1.00000000e+00
3.87707191e-04,5.00312250e-01,8.05446625e-11,3.63784529e+00,1.00000000e+00
5.81690407e-04,5.00468500e-01,8.05517491e-11,3.63819646e+00,1.00000000e+00
7.75656557e-04,5.00624750e-01,8.05588368e-11,3.63854769e+00,1.00000000e+00
9.69605641e-04,5.00781000e-01,8.05659256e-11,3.63889898e+00,1.00000000e+00
1.93909508e-03,5.01562250e-01,8.06013874e-11,3.64065633e+00,1.00000000e+00
2.90815789e-03,5.02343500e-01,8.06368782e-11,3.64241520e+00,1.00000000e+00
3.87679411e-03,5.03124750e-01,8.06723981e-11,3.64417557e+00,1.00000000e+00
4.84500375e-03,5.03906000e-01,8.07079470e-11,3.64593745e+00,1.00000000e+00
9.67965442e-03,5.07812250e-01,8.08861282e-11,3.65476950e+00,1.00000000e+00
1.45036450e-02,5.11718500e-01,8.10650381e-11,3.66363940e+00,1.00000000e+00
1.93169792e-02,5.15624750e-01,8.12446782e-11,3.67254722e+00,1.00000000e+00
2.41196608e-02,5.19531000e-01,8.14250501e-11,3.68149307e+00,1.00000000e+00
4.19269339e-02,5.34090781e-01,8.21038246e-11,3.71517356e+00,1.00000000e+00
5.95864970e-02,5.48650563e-01,8.27928700e-11,3.74938864e+00,1.00000000e+00
7.70986078e-02,5.63210344e-01,8.34922700e-11,3.78414338e+00,1.00000000e+00
9.44635545e-02,5.77770125e-01,8.42021099e-11,3.81944293e+00,1.00000000e+00
1.17131694e-01,5.96964515e-01,8.51540029e-11,3.86682029e+00,1.00000000e+00
1.39545429e-01,6.16158906e-01,8.61243924e-11,3.91516585e+00,1.00000000e+00
1.61705648e-01,6.35353296e-01,8.71134851e-11,3.96449211e+00,1.00000000e+00
1.83613316e-01,6.54547686e-01,8.81214920e-11,4.01481182e+00,1.00000000e+00
2.08428857e-01,6.76561026e-01,8.93011018e-11,4.07376151e+00,1.00000000e+00
2.32915286e-01,6.98574367e-01,9.05062068e-11,4.13405520e+00,1.00000000e+00
2.57074410e-01,7.20587707e-01,9.17371486e-11,4.19571349e+00,1.00000000e+00
2.80908149e-01,7.42601047e-01,9.29942772e-11,4.25875753e+00,1.00000000e+00
3.06558940e-01,7.66633595e-01,9.43970406e-11,4.32919212e+00,1.00000000e+00
3.31827107e-01,7.90666143e-01,9.58319231e-11,4.40133309e+00,1.00000000e+00
3.56715550e-01,8.14698691e-01,9.72994168e-11,4.47521013e+00,1.00000000e+00
3.81227296e-01,8.38731239e-01,9.88000272e-11,4.55085368e+00,1.00000000e+00
4.07086607e-01,8.64491624e-01,1.00445890e-10,4.63393287e+00,1.00000000e+00
4.32520716e-01,8.90252010e-01,1.02131056e-10,4.71911731e+00,1.00000000e+00
4.57533748e-01,9.16012396e-01,1.03856202e-10,4.80644768e+00,1.00000000e+00
4.82129943e-01,9.41772782e-01,1.05622021e-10,4.89596579e+00,1.00000000e+00
5.07959175e-01,9.69301976e-01,1.07554855e-10,4.99409745e+00,1.00000000e+00
5.33322754e-01,9.96831170e-01,1.09535853e-10,5.09483080e+00,1.00000000e+00
5.58226213e-01,1.02436036e+00,1.11565936e-10,5.19822137e+00,1.00000000e+00
5.82675182e-01,1.05188956e+00,1.13646055e-10,5.30432633e+00,1.00000000e+00
6.08454479e-01,1.08147998e+00,1.15938833e-10,5.42147004e+00,1.00000000e+00
6.33722481e-01,1.11107040e+00,1.18291799e-10,5.54189327e+00,1.00000000e+00
6.58486461e-01,1.14066083e+00,1.20706239e-10,5.66567361e+00,1.00000000e+00
6.82753760e-01,1.17025125e+00,1.23183478e-10,5.79289102e+00,1.00000000e+00
7.08643061e-01,1.20249852e+00,1.25956257e-10,5.93554162e+00,1.00000000e+00
7.33960902e-01,1.23474580e+00,1.28807067e-10,6.08248245e+00,1.00000000e+00
7.58716949e-01,1.26699307e+00,1.31737790e-10,6.23382722e+00,1.00000000e+00
7.82920889e-01,1.29924034e+00,1.34750368e-10,6.38969333e+00,1.00000000e+00
8.09397755e-01,1.33537380e+00,1.38225722e-10,6.56986480e+00,1.00000000e+00
8.35207232e-01,1.37150725e+00,1.41809284e-10,6.75604231e+00,1.00000000e+00
8.60362908e-01,1.40764070e+00,1.45504071e-10,6.94840879e+00,1.00000000e+00
8.84878315e-01,1.44377415e+00,1.49313204e-10,7.14715375e+00,1.00000000e+00
9.10348643e-01,1.48233355e+00,1.53507846e-10,7.36649927e+00,1.00000000e+00
9.35121406e-01,1.52089296e+00,1.57840462e-10,7.59358036e+00,1.00000000e+00
9.59212692e-01,1.55945236e+00,1.62315267e-10,7.82865404e+00,1.00000000e+00
9.82638427e-01,1.59801177e+00,1.66936636e-10,8.07198712e+00,1.00000000e+00
1.00407374e+00,1.63427114e+00,1.71420110e-10,8.30858856e+00,1.00000000e+00
1.02494741e+00,1.67053052e+00,1.76041100e-10,8.55297763e+00,1.00000000e+00
1.04527219e+00,1.70678989e+00,1.80803643e-10,8.80540165e+00,1.00000000e+00
1.06506069e+00,1.74304927e+00,1.85711911e-10,9.06611679e+00,1.00000000e+00
1.08340973e+00,1.77756304e+00,1.90523203e-10,9.32222512e+00,1.00000000e+00
1.10129471e+00,1.81207681e+00,1.95474285e-10,9.58632275e+00,1.00000000e+00
1.11872603e+00,1.84659059e+00,2.00569128e-10,9.85865434e+00,1.00000000e+00
1.13571394e+00,1.88110436e+00,2.05811828e-10,1.01394728e+01,1.00000000e+00
1.15169369e+00,1.91440461e+00,2.11014303e-10,1.04187071e+01,1.00000000e+00
1.16727896e+00,1.94770486e+00,2.16362277e-10,1.07063281e+01,1.00000000e+00
1.18247853e+00,1.98100511e+00,2.21859787e-10,1.10025863e+01,1.00000000e+00
1.19730100e+00,2.01430536e+00,2.27510999e-10,1.13077402e+01,1.00000000e+00
1.21136548e+00,2.04669744e+00,2.33159641e-10,1.16133611e+01,1.00000000e+00
1.22508885e+00,2.07908952e+00,2.38961849e-10,1.19279056e+01,1.00000000e+00
1.23847864e+00,2.11148159e+00,2.44921816e-10,1.22516353e+01,1.00000000e+00
1.25154225e+00,2.14387367e+00,2.51043861e-10,1.25848200e+01,1.00000000e+00
1.26399641e+00,2.17551831e+00,2.57185417e-10,1.29197139e+01,1.00000000e+00
1.27615287e+00,2.20716294e+00,2.63490175e-10,1.32641650e+01,1.00000000e+00
1.28801817e+00,2.23880758e+00,2.69962534e-10,1.36184495e+01,1.00000000e+00
1.29959871e+00,2.27045221e+00,2.76607018e-10,1.39828518e+01,1.00000000e+00
1.31068613e+00,2.30148849e+00,2.83295455e-10,1.43503596e+01,1.00000000e+00
1.32151153e+00,2.33252477e+00,2.90158469e-10,1.47281675e+01,1.00000000e+00
1.33208066e+00,2.36356105e+00,2.97200713e-10,1.51165691e+01,1.00000000e+00
1.34239913e+00,2.39459733e+00,3.04426974e-10,1.55158674e+01,1.00000000e+00
1.35230637e+00,2.42511583e+00,3.11716895e-10,1.59194324e+01,1.00000000e+00
1.36198173e+00,2.45563433e+00,3.19194327e-10,1.63341408e+01,1.00000000e+00
1.37143025e+00,2.48615283e+00,3.26864223e-10,1.67603075e+01,1.00000000e+00
1.38065687e+00,2.51667133e+00,3.34731682e-10,1.71982568e+01,1.00000000e+00
1.38953292e+00,2.54673217e+00,3.42679395e-10,1.76414821e+01,1.00000000e+00
1.39820296e+00,2.57679300e+00,3.50829025e-10,1.80967921e+01,1.00000000e+00
1.40667143e+00,2.60685383e+00,3.59185867e-10,1.85645251e+01,1.00000000e+00
1.41494272e+00,2.63691467e+00,3.67755365e-10,1.90450297e+01,1.00000000e+00
1.42291402e+00,2.66657227e+00,3.76423774e-10,1.95319548e+01,1.00000000e+00
1.43070161e+00,2.69622988e+00,3.85310148e-10,2.00320153e+01,1.00000000e+00
1.43830947e+00,2.72588748e+00,3.94420167e-10,2.05455763e+01,1.00000000e+00
1.44574148e+00,2.75554509e+00,4.03759671e-10,2.10730139e+01,1.00000000e+00
1.45291578e+00,2.78484862e+00,4.13218937e-10,2.16081622e+01,1.00000000e+00
1.45992573e+00,2.81415215e+00,4.22914050e-10,2.21576199e+01,1.00000000e+00
1.46677486e+00,2.84345569e+00,4.32851125e-10,2.27217823e+01,1.00000000e+00
1.47346664e+00,2.87275922e+00,4.43036446e-10,2.33010565e+01,1.00000000e+00
1.47993090e+00,2.90172912e+00,4.53356153e-10,2.38890006e+01,1.00000000e+00
1.48624790e+00,2.93069903e+00,4.63931210e-10,2.44925404e+01,1.00000000e+00
1.49242082e+00,2.95966893e+00,4.74768205e-10,2.51121046e+01,1.00000000e+00
1.49845273e+00,2.98863883e+00,4.85873911e-10,2.57481341e+01,1.00000000e+00
1.50428735e+00,3.01731372e+00,4.97137967e-10,2.63943470e+01,1.00000000e+00
1.50998967e+00,3.04598860e+00,5.08679035e-10,2.70575892e+01,1.00000000e+00
1.51556253e+00,3.07466349e+00,5.20504235e-10,2.77383267e+01,1.00000000e+00
1.52100870e+00,3.10333837e+00,5.32620883e-10,2.84370390e+01,1.00000000e+00
1.52628048e+00,3.13173852e+00,5.44916100e-10,2.91472590e+01,1.00000000e+00
1.53143323e+00,3.16013867e+00,5.57512083e-10,2.98760878e+01,1.00000000e+00
1.53646949e+00,3.18853882e+00,5.70416536e-10,3.06240326e+01,1.00000000e+00
1.54139174e+00,3.21693897e+00,5.83637378e-10,3.13916153e+01,1.00000000e+00
1.54616116e+00,3.24509274e+00,5.97063814e-10,3.21724505e+01,1.00000000e+00
1.55082325e+00,3.27324652e+00,6.10817302e-10,3.29736496e+01,1.00000000e+00
1.55538030e+00,3.30140029e+00,6.24906202e-10,3.37957661e+01,1.00000000e+00
1.55983455e+00,3.32955406e+00,6.39339101e-10,3.46393691e+01,1.00000000e+00
1.56414923e+00,3.35745314e+00,6.53989454e-10,3.54971123e+01,1.00000000e+00
1.56836720e+00,3.38535222e+00,6.68995087e-10,3.63771160e+01,1.00000000e+00
1.57249050e+00,3.41325130e+00,6.84365054e-10,3.72799829e+01,1.00000000e+00
1.57652114e+00,3.44115038e+00,7.00108655e-10,3.82063331e+01,1.00000000e+00
1.58043082e+00,3.46883278e+00,7.16108690e-10,3.91493276e+01,1.00000000e+00
1.58425310e+00,3.49651517e+00,7.32495565e-10,4.01167105e+01,1.00000000e+00
1.58798981e+00,3.52419757e+00,7.49279122e-10,4.11091406e+01,1.00000000e+00
1.59164277e+00,3.55187996e+00,7.66469472e-10,4.21272957e+01,1.00000000e+00
1.59518691e+00,3.57935191e+00,7.83941546e-10,4.31638306e+01,1.00000000e+00
1.59865201e+00,3.60682386e+00,8.01834897e-10,4.42270879e+01,1.00000000e+00
1.60203973e+00,3.63429582e+00,8.20160225e-10,4.53177880e+01,1.00000000e+00
1.60535171e+00,3.66176777e+00,8.38928524e-10,4.64366720e+01,1.00000000e+00
1.60856545e+00,3.68903291e+00,8.58004650e-10,4.75757511e+01,1.00000000e+00
1.61170769e+00,3.71629806e+00,8.77539553e-10,4.87441080e+01,1.00000000e+00
1.61477994e+00,3.74356320e+00,8.97544869e-10,4.99425306e+01,1.00000000e+00
1.61778367e+00,3.77082834e+00,9.18032552e-10,5.11718291e+01,1.00000000e+00
1.62069924e+00,3.79789547e+00,9.38860678e-10,5.24235623e+01,1.00000000e+00
