# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1.1
# Delta_f0_over_b_i = 1
# rs_type = aging
# V0_over_Vs = 1.000000e-10
# df_dts = 1.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 1.000000e+00
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
0.00000000e+00,1.00000000e+00,8.58833413e-11,3.05201808e+00,1.00000000e+00
2.91092502e-07,1.00000025e+00,8.58833641e-11,3.05201971e+00,1.00000029e+00
5.82184926e-07,1.00000050e+00,8.58833869e-11,3.05202133e+00,1.00000058e+00
8.73277273e-07,1.00000075e+00,8.58834097e-11,3.05202296e+00,1.00000087e+00
1.16436954e-06,1.00000100e+00,8.58834325e-11,3.05202459e+00,1.00000116e+00
2.61982973e-06,1.00000225e+00,8.58835465e-11,3.05203272e+00,1.00000262e+00
4.07528799e-06,1.00000350e+00,8.58836605e-11,3.05204086e+00,1.00000408e+00
5.53074432e-06,1.00000475e+00,8.58837745e-11,3.05204900e+00,1.00000553e+00
6.98619871e-06,1.00000600e+00,8.58838885e-11,3.05205713e+00,1.00000699e+00
1.42634417e-05,1.00001225e+00,8.58844586e-11,3.05209781e+00,1.00001426e+00
2.15406364e-05,1.00001850e+00,8.58850286e-11,3.05213849e+00,1.00002154e+00
2.88177828e-05,1.00002475e+00,8.58855986e-11,3.05217917e+00,1.00002882e+00
3.60948809e-05,1.00003100e+00,8.58861687e-11,3.05221985e+00,1.00003609e+00
7.24796468e-05,1.00006225e+00,8.58890191e-11,3.05242325e+00,1.00007248e+00
1.08863205e-04,1.00009350e+00,8.58918697e-11,3.05262667e+00,1.00010886e+00
1.45245556e-04,1.00012475e+00,8.58947205e-11,3.05283009e+00,1.00014525e+00
1.81626699e-04,1.00015600e+00,8.58975716e-11,3.05303353e+00,1.00018163e+00
3.63514302e-04,1.00031225e+00,8.59118306e-11,3.05405089e+00,1.00036351e+00
5.45371713e-04,1.00046850e+00,8.59260953e-11,3.05506853e+00,1.00054537e+00
7.27198929e-04,1.00062475e+00,8.59403659e-11,3.05608645e+00,1.00072720e+00
9.08995949e-04,1.00078100e+00,8.59546423e-11,3.05710465e+00,1.00090900e+00
1.81752802e-03,1.00156225e+00,8.60261119e-11,3.06219983e+00,1.00181753e+00
2.72530484e-03,1.00234350e+00,8.60977272e-11,3.06730202e+00,1.00272530e+00
3.63232613e-03,1.00312475e+00,8.61694883e-11,3.07241122e+00,1.00363233e+00
4.53859160e-03,1.00390600e+00,8.62413952e-11,3.07752744e+00,1.00453859e+00
9.05857240e-03,1.00781225e+00,8.66031203e-11,3.10321405e+00,1.00905857e+00
