# Rupture EoM solution (Garagash 2021 / Fryer et al.)
#
# a_over_b = 1.1
# Delta_f0_over_b_i = 1
# rs_type = slip
# V0_over_Vs = 1.000000e-10
# df_dts = 1.000000e+00
# bar_v0_over_cs = 3.678794e-11
# V_min = 2.138
# l_ini_over_lb = 1.000000e+00
# l_fin_over_lb = 1.000000e+04
# stop_reason = 1
#
t_over_ts,l_over_lb,vr_over_cs,V_eff_over_V0,df0_over_b
0.00000000e+00,1.00000000e+00,9.34736926e-11,3.29330559e+00,1.00000000e+00
2.67454871e-07,1.00000025e+00,9.34737347e-11,3.29330782e+00,1.00000027e+00
5.34909621e-07,1.00000050e+00,9.34737767e-11,3.29331005e+00,1.00000053e+00
8.02364251e-07,1.00000075e+00,9.34738188e-11,3.29331228e+00,1.00000080e+00
1.06981876e-06,1.00000100e+00,9.34738608e-11,3.29331451e+00,1.00000107e+00
2.40708950e-06,1.00000225e+00,9.34740711e-11,3.29332565e+00,1.00000241e+00
3.74435724e-06,1.00000350e+00,9.34742814e-11,3.29333680e+00,1.00000374e+00
5.08162197e-06,1.00000475e+00,9.34744917e-11,3.29334794e+00,1.00000508e+00
6.41888369e-06,1.00000600e+00,9.34747020e-11,3.29335908e+00,1.00000642e+00
1.31051472e-05,1.00001225e+00,9.34757535e-11,3.29341480e+00,1.00001311e+00
1.97913354e-05,1.00001850e+00,9.34768050e-11,3.29347053e+00,1.00001979e+00
2.64774484e-05,1.00002475e+00,9.34778565e-11,3.29352625e+00,1.00002648e+00
3.31634863e-05,1.00003100e+00,9.34789080e-11,3.29358197e+00,1.00003316e+00
6.65925472e-05,1.00006225e+00,9.34841661e-11,3.29386060e+00,1.00006659e+00
1.00019728e-04,1.00009350e+00,9.34894248e-11,3.29413926e+00,1.00010002e+00
1.33445028e-04,1.00012475e+00,9.34946840e-11,3.29441793e+00,1.00013345e+00
1.66868448e-04,1.00015600e+00,9.34999438e-11,3.29469664e+00,1.00016687e+00
3.33957345e-04,1.00031225e+00,9.35262518e-11,3.29609051e+00,1.00033396e+00
5.00999234e-04,1.00046850e+00,9.35525743e-11,3.29748499e+00,1.00050100e+00
6.67994118e-04,1.00062475e+00,9.35789115e-11,3.29888006e+00,1.00066799e+00
8.34941995e-04,1.00078100e+00,9.36052633e-11,3.30027574e+00,1.00083494e+00
1.66897630e-03,1.00156225e+00,9.37372421e-11,3.30726316e+00,1.00166898e+00
2.50183552e-03,1.00234350e+00,9.38695874e-11,3.31426564e+00,1.00250184e+00
3.33351970e-03,1.00312475e+00,9.40022994e-11,3.32128322e+00,1.00333352e+00
4.16402892e-03,1.00390600e+00,9.41353786e-11,3.32831591e+00,1.00416403e+00
8.29895379e-03,1.00781225e+00,9.48062968e-11,3.36370690e+00,1.00829895e+00
