t_over_ts; l_over_lb; vr_over_cs
0.000000000000000000e+00; 5.000000000000000000e-01; 8.060264395864961543e-11
6.171449275320007970e-03; 5.049813507450220396e-01; 8.082978136789283279e-11
1.238675961852417004e-02; 5.100123292005339648e-01; 8.106038510652886720e-11
1.864602311908798715e-02; 5.150934297926009764e-01; 8.129451719905380355e-11
2.494932661912967198e-02; 5.202251518731076940e-01; 8.153224096042361763e-11
3.129675158248133165e-02; 5.254079997688322345e-01; 8.177362102733258921e-11
3.768837392641048029e-02; 5.306424828310103425e-01; 8.201872338948774737e-11
4.412426388281412426e-02; 5.359291154853915717e-01; 8.226761542231592793e-11
5.060448585931717064e-02; 5.412684172827958440e-01; 8.252036592061941321e-11
5.712909829961362179e-02; 5.466609129501730502e-01; 8.277704513319867515e-11
6.369815354315963574e-02; 5.521071324421705784e-01; 8.303772479847759676e-11
7.031169768433739864e-02; 5.576076109932160962e-01; 8.330247818116821398e-11
7.696977039020029554e-02; 5.631628891701182527e-01; 8.357138010881007507e-11
8.367240475486191487e-02; 5.687735129251908495e-01; 8.384450701165509321e-11
9.041962721317410578e-02; 5.744400336499083659e-01; 8.412193696424508207e-11
9.721145730634668525e-02; 5.801630082290932799e-01; 8.440374972311577257e-11
1.040479075307526452e-01; 5.859429990956456225e-01; 8.469002676893285045e-11
1.109289831881169891e-01; 5.917805742858167628e-01; 8.498085134996002604e-11
1.178546822356890539e-01; 5.976763074950331989e-01; 8.527630852685617646e-11
1.248249951365685700e-01; 6.036307781342781231e-01; 8.557648521885596038e-11
1.318399047103578636e-01; 6.096445713870328742e-01; 8.588147025139045075e-11
1.388993859843346557e-01; 6.157182782667878218e-01; 8.619135440520841542e-11
1.460034060404533651e-01; 6.218524956751236843e-01; 8.650623046678361792e-11
1.531519237111244602e-01; 6.280478264603739369e-01; 8.682619327268615560e-11
1.603448895943117292e-01; 6.343048794768696430e-01; 8.715133977468945788e-11
1.675822458451136088e-01; 6.406242696447761453e-01; 8.748176908980821218e-11
1.748639259414029312e-01; 6.470066180105245035e-01; 8.781758255206976317e-11
1.821898545278994030e-01; 6.534525518078463380e-01; 8.815888377094347581e-11
1.895599472614969694e-01; 6.599627045194155217e-01; 8.850577869169432733e-11
1.969741106581001100e-01; 6.665377159391047135e-01; 8.885837565774884863e-11
2.044322419412347991e-01; 6.731782322348618397e-01; 8.921678547516655064e-11
2.119342288927185125e-01; 6.798849060122132970e-01; 8.958112147931697597e-11
2.194799497056889592e-01; 6.866583963783996492e-01; 8.995149960386824221e-11
2.270692727680682643e-01; 6.934993690071500350e-01; 9.032803844616887099e-11
2.347020563457077047e-01; 7.004084962041022822e-01; 9.071085932944670354e-11
2.423781487372020926e-01; 7.073864569728743890e-01; 9.110008640421279104e-11
2.500973878874674372e-01; 7.144339370817950341e-01; 9.149584670257837756e-11
2.578596012119434011e-01; 7.215516291312978892e-01; 9.189827021571892981e-11
2.656646054473157936e-01; 7.287402326219880599e-01; 9.230748997627151078e-11
2.735122065057121188e-01; 7.360004540233863191e-01; 9.272364214371096007e-11
2.814021993327522342e-01; 7.433330068433581239e-01; 9.314686609286072679e-11
2.893343677698611560e-01; 7.507386116982354141e-01; 9.357730450570516131e-11
2.973084844212676159e-01; 7.582179963836350733e-01; 9.401510346668240200e-11
