t_over_ts; l_over_lb; vr_over_cs
0.000000000000000000e+00; 1.000000000000000000e+00; 9.403897360473334190e-11
9.829473799573164652e-03; 1.009262190987047614e+00; 9.441907957450292721e-11
1.970985952460516111e-02; 1.018610170155975769e+00; 9.480443074606987608e-11
2.964103085433962559e-02; 1.028044732093309266e+00; 9.519510750393536472e-11
3.962285379833804799e-02; 1.037566678745185822e+00; 9.559119160734518860e-11
4.965518660016141061e-02; 1.047176819485520216e+00; 9.599276621117099355e-11
5.973787969126514302e-02; 1.056875971184804142e+00; 9.639991589943034834e-11
6.987077563289414983e-02; 1.066664958279539333e+00; 9.681272671646859742e-11
8.005370900449185201e-02; 1.076544612842315507e+00; 9.723128618827244897e-11
9.028650640564953034e-02; 1.086515774652538235e+00; 9.765568337236470807e-11
1.005689862868383161e-01; 1.096579291267809841e+00; 9.808600886019332947e-11
1.109009588957816927e-01; 1.106736018095973551e+00; 9.852235481032044986e-11
1.212822262441601295e-01; 1.116986818467823106e+00; 9.896481498752413314e-11
1.317125820798211722e-01; 1.127332563710486735e+00; 9.941348480408113238e-11
1.421918118376851170e-01; 1.137774133221491235e+00; 9.986846135625741971e-11
1.527196924407286660e-01; 1.148312414543511073e+00; 1.003298434265424916e-10
1.632959924309312916e-01; 1.158948303439810923e+00; 1.007977315726318499e-10
1.739204717614688811e-01; 1.169682703970385207e+00; 1.012722281162152408e-10
1.845928817344575368e-01; 1.180516528568805068e+00; 1.017534371759358469e-10
1.953129649830357417e-01; 1.191450698119775886e+00; 1.022414647135222667e-10
2.060804554596403215e-01; 1.202486142037412220e+00; 1.027364185826003909e-10
2.168950784308052993e-01; 1.213623798344240834e+00; 1.032384085804243210e-10
2.277565504170856459e-01; 1.224864613750931364e+00; 1.037475464843849555e-10
2.386645789495134007e-01; 1.236209543736768612e+00; 1.042639460429769058e-10
2.496188628258730613e-01; 1.247659552630869584e+00; 1.047877231105891800e-10
2.606190918483693442e-01; 1.259215613694151026e+00; 1.053189956128448416e-10
2.716649467852219613e-01; 1.270878709202058587e+00; 1.058578835886817036e-10
2.827560993741821127e-01; 1.282649830528060475e+00; 1.064045092467047185e-10
2.938922123329562597e-01; 1.294529978227915601e+00; 1.069589970249612550e-10
3.050729393768614184e-01; 1.306520162124721107e+00; 1.075214736544507196e-10
3.162979252356323268e-01; 1.318621401394748593e+00; 1.080920682236953739e-10
3.275668053404308666e-01; 1.330834724654075041e+00; 1.086709121343612033e-10
3.388792060692762398e-01; 1.343161170046015984e+00; 1.092581392645900018e-10
3.502347446585008517e-01; 1.355601785329368481e+00; 1.098538859793520289e-10
3.616330290613273823e-01; 1.368157627967471646e+00; 1.104582911338508137e-10
3.730736579729969082e-01; 1.380829765218092531e+00; 1.110714961412702816e-10
3.845562208631289614e-01; 1.393619274224142446e+00; 1.116936450447243712e-10
3.960802980156102326e-01; 1.406527242105237052e+00; 1.123248845937978144e-10
4.076454605763041861e-01; 1.419554766050101113e+00; 1.129653643261053949e-10
4.192512705471818646e-01; 1.432702953409830782e+00; 1.136152366278247799e-10
4.308972804208659468e-01; 1.445972921792019861e+00; 1.142746566599658023e-10
4.425830336579202884e-01; 1.459365799155756704e+00; 1.149437826399657857e-10
4.543080644319208439e-01; 1.472882723907502633e+00; 1.156227757647483058e-10
4.660718975958962340e-01; 1.486524844997856754e+00; 1.163118002543529352e-10
4.778740487355605526e-01; 1.500293322019218278e+00; 1.170110234372193870e-10
4.897140242298268498e-01; 1.514189325304352129e+00; 1.177206158409000311e-10
5.015913213188304409e-01; 1.528214036025869804e+00; 1.184407512887111407e-10
5.135054281796811448e-01; 1.542368646296628176e+00; 1.191716070028808286e-10
5.254558239439258704e-01; 1.556654359271061550e+00; 1.199133636783062344e-10
5.374419783212701640e-01; 1.571072389247450296e+00; 1.206662053729347493e-10
5.494633521247308527e-01; 1.585623961771137402e+00; 1.214303198814821999e-10
5.615193970641604304e-01; 1.600310313738700696e+00; 1.222058986336002717e-10
5.736095557398885880e-01; 1.615132693503090522e+00; 1.229931367463546567e-10
5.857332617218017345e-01; 1.630092360979740640e+00; 1.237922331305287222e-10
5.978899396349450779e-01; 1.645190587753662559e+00; 1.246033906037044256e-10
