t_over_ts; l_over_lb; vr_over_cs
0.000000000000000000e+00; 1.000000000000000000e+00; 1.140065307900448455e-10
8.089055750032338500e+07; 1.009262190987047614e+00; 1.150025857205702307e-10
1.618184187670936584e+08; 1.018610170155975769e+00; 1.160212048850932470e-10
2.427738679501430988e+08; 1.028044732093309266e+00; 1.170630060338218361e-10
3.237470584446688890e+08; 1.037566678745185822e+00; 1.181286269441148239e-10
4.047280157577784657e+08; 1.047176819485520216e+00; 1.192187261789780815e-10
4.857066402948354483e+08; 1.056875971184804142e+00; 1.203339838784402373e-10
5.666727104041305780e+08; 1.066664958279539333e+00; 1.214751025936481450e-10
6.476158836109331846e+08; 1.076544612842315507e+00; 1.226428081155427026e-10
7.285257008699049950e+08; 1.086515774652538235e+00; 1.238378503855794588e-10
8.093915907982413769e+08; 1.096579291267809841e+00; 1.250610044458661347e-10
8.902028718392221928e+08; 1.106736018095973551e+00; 1.263130714098762105e-10
9.709487559854185581e+08; 1.116986818467823106e+00; 1.275948794802650714e-10
1.051618350885796785e+09; 1.127332563710486735e+00; 1.289072849728371469e-10
1.132200666006345987e+09; 1.137774133221491235e+00; 1.302511734740250665e-10
1.212684617171969652e+09; 1.148312414543511073e+00; 1.316274610152094895e-10
1.293059028944012880e+09; 1.158948303439810923e+00; 1.330370952718188099e-10
1.373312639534356594e+09; 1.169682703970385207e+00; 1.344810568328201226e-10
1.453434103172818422e+09; 1.180516528568805068e+00; 1.359603604571996196e-10
1.533411997489750862e+09; 1.191450698119775886e+00; 1.374760565329881128e-10
1.613234829770793200e+09; 1.202486142037412220e+00; 1.390292325721513749e-10
1.692891038396878719e+09; 1.213623798344240834e+00; 1.406210146549560307e-10
1.772369000310880184e+09; 1.224864613750931364e+00; 1.422525690885124903e-10
1.851657032486958981e+09; 1.236209543736768612e+00; 1.439251039075761942e-10
1.930743400045842648e+09; 1.247659552630869584e+00; 1.456398707023031361e-10
2.009616324907126904e+09; 1.259215613694151026e+00; 1.473981665585112549e-10
2.088263987002678633e+09; 1.270878709202058587e+00; 1.492013358131960782e-10
2.166674533127089977e+09; 1.282649830528060475e+00; 1.510507722189761285e-10
2.244836078667459488e+09; 1.294529978227915601e+00; 1.529479207851258847e-10
2.322736714838160038e+09; 1.306520162124721107e+00; 1.548942800000546551e-10
2.400364518797544003e+09; 1.318621401394748593e+00; 1.568914043127213401e-10
2.477707559720908642e+09; 1.330834724654075041e+00; 1.589409065371147273e-10
2.554753901465696812e+09; 1.343161170046015984e+00; 1.610444602698843572e-10
2.631491611789022446e+09; 1.355601785329368481e+00; 1.632038026247983647e-10
2.707908764644562721e+09; 1.368157627967471646e+00; 1.654207366879184693e-10
2.783993450948599815e+09; 1.380829765218092531e+00; 1.676971346508767196e-10
2.859733789643586636e+09; 1.393619274224142446e+00; 1.700349411444133877e-10
2.935117928291470528e+09; 1.406527242105237052e+00; 1.724361760665148247e-10
3.010134053908203125e+09; 1.419554766050101113e+00; 1.749029383336242890e-10
3.084770395789165497e+09; 1.432702953409830782e+00; 1.774374089286671561e-10
3.159015233092264175e+09; 1.445972921792019861e+00; 1.800418545789164947e-10
3.232856906796280384e+09; 1.459365799155756704e+00; 1.827186320206085867e-10
3.306283829861908913e+09; 1.472882723907502633e+00; 1.854701923646891605e-10
3.379284485795475960e+09; 1.486524844997856754e+00; 1.882990847731492264e-10
3.451847442654980183e+09; 1.500293322019218278e+00; 1.912079616111060023e-10
3.523961354406092167e+09; 1.514189325304352129e+00; 1.941995823694936341e-10
3.595614971668082237e+09; 1.528214036025869804e+00; 1.972768189432347774e-10
3.666797154347551823e+09; 1.542368646296628176e+00; 2.004426614644110806e-10
3.737496877603433609e+09; 1.556654359271061550e+00; 2.037002237379453094e-10
3.807703233780252457e+09; 1.571072389247450296e+00; 2.070527487002588545e-10
3.877405444120850086e+09; 1.585623961771137402e+00; 2.105036147767855407e-10
3.946592863063301563e+09; 1.600310313738700696e+00; 2.140563417176941688e-10
4.015254990655342102e+09; 1.615132693503090522e+00; 2.177145980658029110e-10
4.083381483411409855e+09; 1.630092360979740640e+00; 2.214822089013692030e-10
4.150962153428077221e+09; 1.645190587753662559e+00; 2.253631624193097310e-10
4.217986980341024399e+09; 1.660428657187529966e+00; 2.293616186031216187e-10
4.284446115671550751e+09; 1.675807864530767688e+00; 2.334819166075539742e-10
4.350329893762211800e+09; 1.691329517029648066e+00; 2.377285842383679387e-10
4.415628843049489975e+09; 1.706994934038407408e+00; 2.421063482064497954e-10
4.480333686271339417e+09; 1.722805447131394052e+00; 2.466201429593618660e-10
4.544435349651841164e+09; 1.738762400216250725e+00; 2.512751214615533449e-10
4.607924969804847717e+09; 1.754867149648150937e+00; 2.560766655740635939e-10
4.670793903808743477e+09; 1.771121064345087870e+00; 2.610303985111931848e-10
4.733033735566643715e+09; 1.787525525904235080e+00; 2.661421972274967629e-10
4.794636279450130463e+09; 1.804081928719382777e+00; 2.714182050815798050e-10
4.855593588203685760e+09; 1.820791680099463017e+00; 2.768648450794293845e-10
4.915897961117096901e+09; 1.837656200388171124e+00; 2.824888347835354202e-10
4.975541951724829674e+09; 1.854676923084698670e+00; 2.882972024422884614e-10
5.034518369604563713e+09; 1.871855294965578675e+00; 2.942973024328398469e-10
5.092820288294499397e+09; 1.889192776207666347e+00; 3.004968322988948154e-10
5.150441052330173492e+09; 1.906690840512252461e+00; 3.069038509851035383e-10
