t_over_ts; l_over_lb; vr_over_cs
0.000000000000000000e+00; 5.000000000000000000e-01; 8.464765308935863693e-11
5.850961380639172345e+07; 5.049813507450220396e-01; 8.563465086573224553e-11
1.169096024050667286e+08; 5.100123292005339648e-01; 8.666733250826989757e-11
1.751768446888896823e+08; 5.150934297926009764e-01; 8.774809961364443049e-11
2.332876917446275353e+08; 5.202251518731076940e-01; 8.887949254084240019e-11
2.912179934013918042e+08; 5.254079997688322345e-01; 9.006419924653874941e-11
3.489431303142230511e+08; 5.306424828310103425e-01; 9.130506486934844466e-11
4.064380482048564553e+08; 5.359291154853915717e-01; 9.260510217738347381e-11
4.636772943282173276e+08; 5.412684172827958440e-01; 9.396750231198916441e-11
5.206350617144607306e+08; 5.466609129501730502e-01; 9.539564738818350791e-11
5.772852300899174213e+08; 5.521071324421705784e-01; 9.689312300334698030e-11
6.336014156093974113e+08; 5.576076109932160962e-01; 9.846373215332433484e-11
6.895570227921743393e+08; 5.631628891701182527e-01; 1.001115114129597785e-10
7.451252948674219847e+08; 5.687735129251908495e-01; 1.018407463758713986e-10
8.002793736040847301e+08; 5.744400336499083659e-01; 1.036559898156927786e-10
8.549923573100993633e+08; 5.801630082290932799e-01; 1.055620824006753754e-10
9.092373607645590305e+08; 5.859429990956456225e-01; 1.075641724124582765e-10
9.629875813149759769e+08; 5.917805742858167628e-01; 1.096677395153387703e-10
1.016216361032239199e+09; 5.976763074950331989e-01; 1.118786212642675372e-10
1.068897254497491717e+09; 6.036307781342781231e-01; 1.142030390853131145e-10
1.121004097068499088e+09; 6.096445713870328742e-01; 1.166476294348621868e-10
1.172511068845194101e+09; 6.157182782667878218e-01; 1.192194780705980288e-10
1.223392767285226345e+09; 6.218524956751236843e-01; 1.219261547282990307e-10
1.273624272430246115e+09; 6.280478264603739369e-01; 1.247757545407310934e-10
1.323181211773493052e+09; 6.343048794768696430e-01; 1.277769424609879906e-10
1.372039832282944918e+09; 6.406242696447761453e-01; 1.309390005141414576e-10
1.420177057251442671e+09; 6.470066180105245035e-01; 1.342718830791910149e-10
1.467570553526822567e+09; 6.534525518078463380e-01; 1.377862752322770706e-10
1.514198792657884359e+09; 6.599627045194155217e-01; 1.414936582005405037e-10
1.560041100599407434e+09; 6.665377159391047135e-01; 1.454063828144419380e-10
1.605077722718884945e+09; 6.731782322348618397e-01; 1.495377488712610160e-10
1.649289866945769072e+09; 6.798849060122132970e-01; 1.539020951364833089e-10
1.692659752245622635e+09; 6.866583963783996492e-01; 1.585148985324867667e-10
1.735170658448090553e+09; 6.934993690071500350e-01; 1.633928845897432530e-10
1.776806953507557154e+09; 7.004084962041022822e-01; 1.685541507466206464e-10
1.817554142084113121e+09; 7.073864569728743890e-01; 1.740183042770374830e-10
1.857398888494853258e+09; 7.144339370817950341e-01; 1.798066163435298746e-10
1.896329040591982603e+09; 7.215516291312978892e-01; 1.859421939687170822e-10
1.934333664354388237e+09; 7.287402326219880599e-01; 1.924501756329370166e-10
1.971403043473330975e+09; 7.360004540233863191e-01; 1.993579467352229831e-10
2.007528706348646402e+09; 7.433330068433581239e-01; 2.066953867644027286e-10
2.042703434748757362e+09; 7.507386116982354141e-01; 2.144951483829850111e-10
2.076921250310156822e+09; 7.582179963836350733e-01; 2.227929647443754313e-10
2.110177440486016750e+09; 7.657718959459846042e-01; 2.316280120374531308e-10
2.142468539001374006e+09; 7.734010527547595659e-01; 2.410433103671647297e-10
2.173792316952427864e+09; 7.811062165754411035e-01; 2.510861796797569232e-10
2.204147784861250401e+09; 7.888881446431998956e-01; 2.618087713599988706e-10
2.233535163657798767e+09; 7.967476017373149588e-01; 2.732686604226987593e-10
2.261955879764791012e+09; 8.046853602563323049e-01; 2.855295381899526960e-10
2.289412537508658886e+09; 8.127022002939746637e-01; 2.986620001794368752e-10
2.315908900754950523e+09; 8.207989097158056024e-01; 3.127444568867328969e-10
2.341449866655946732e+09; 8.289762842366578122e-01; 3.278641875612694582e-10
2.366041440768240452e+09; 8.372351274988336645e-01; 3.441185588084575388e-10
2.389690707471505165e+09; 8.455762511510834800e-01; 3.616164444720631640e-10
2.412405802505502701e+09; 8.540004749283722774e-01; 3.804798786449763062e-10
2.434195880550834179e+09; 8.625086267324396649e-01; 4.008459915565885180e-10
2.455071085885716915e+09; 8.711015427131627575e-01; 4.228692824608072701e-10
2.475042518567109108e+09; 8.797800673507309988e-01; 4.467242944598241644e-10
2.494122203650698185e+09; 8.885450535386371085e-01; 4.726087835648183211e-10
2.512323057871402740e+09; 8.973973626674978110e-01; 5.007474735396649210e-10
2.529658856655477047e+09; 9.063378647097070084e-01; 5.313965372033076621e-10
2.546144202819847107e+09; 9.153674383049337226e-01; 5.648489595100863465e-10
2.561794493206499100e+09; 9.244869708464722446e-01; 6.014409837779745314e-10
2.576625887248694897e+09; 9.336973585684507082e-01; 6.415599027742673816e-10
2.590655275799816132e+09; 9.429995066339107446e-01; 6.856535168216246400e-10
2.603900250183595657e+09; 9.523943292237634362e-01; 7.342416758132074188e-10
2.616379071707923412e+09; 9.618827496266304511e-01; 7.879304440367485951e-10
2.628110642317112446e+09; 9.714657003295834592e-01; 8.474295865011852126e-10
2.639114475724286079e+09; 9.811441231097837168e-01; 9.135742852513902601e-10
2.649410668667333603e+09; 9.909189691270375855e-01; 9.873522878343677166e-10
2.659019873177079678e+09; 1.000791199017272426e+00; 1.069938086110774914e-09
2.667963269103640079e+09; 1.010761782986944857e+00; 1.162736263238596503e-09
2.676262536966054440e+09; 1.020831700908388706e+00; 1.267436906966747105e-09
2.683939831062277794e+09; 1.031001942416112760e+00; 1.386087052048838291e-09
2.691017752398622036e+09; 1.041273507004060184e+00; 1.521183626968418161e-09
2.697519321548974991e+09; 1.051647404123833063e+00; 1.675795573994567734e-09
2.703467950961087227e+09; 1.062124653283898601e+00; 1.853726000763024003e-09
2.708887416559581280e+09; 1.072706284149782752e+00; 2.059729971288090562e-09
2.713801828152523994e+09; 1.083393336645261273e+00; 2.299810689349703395e-09
2.718235598446323872e+09; 1.094186861054560866e+00; 2.581627813944987163e-09
2.722213410107070446e+09; 1.105087918125575941e+00; 2.915068808931534337e-09
2.725760180471288204e+09; 1.116097579174115229e+00; 3.313061673769154679e-09
2.728901023389537334e+09; 1.127216926189188007e+00; 3.792752279048066883e-09
2.731661207482579231e+09; 1.138447051939335930e+00; 4.377244823330162185e-09
2.734066110395878315e+09; 1.149789060080028014e+00; 5.098234099780750553e-09
2.736141168135911942e+09; 1.161244065262123870e+00; 6.000090504636521726e-09
2.737911818916249752e+09; 1.172813193241415641e+00; 7.146389177190386169e-09
2.739403440501436710e+09; 1.184497580989265497e+00; 8.630706710801553207e-09
2.740641280323146820e+09; 1.196298376804340702e+00; 1.059519978120554732e-08
2.741650377311093807e+09; 1.208216740425466673e+00; 1.326412241418928731e-08
2.742455474418439865e+09; 1.220253843145599815e+00; 1.700785682638368318e-08
2.743080920664150715e+09; 1.232410867926938325e+00; 2.247424215204905231e-08
2.743550561215506077e+09; 1.244689009517180756e+00; 3.088358920434578381e-08
2.743887613182344437e+09; 1.257089474566938980e+00; 4.477722377376871947e-08
2.744114521770019531e+09; 1.269613481748325778e+00; 7.027793824941856818e-08
2.744252777296706676e+09; 1.282262261874719922e+00; 1.261065116102261514e-07
2.744322570768787861e+09; 1.295037058021726528e+00; 3.073963639797113958e-07
2.744322570768787861e+09; 1.295037058021726528e+00; 3.073963639797110781e-07
2.744338318965369701e+09; 1.300267496607896200e+00; 3.568622900429064831e-07
2.744341665088139534e+09; 1.301557678875026713e+00; 4.142882251628477546e-07
2.744344187401206017e+09; 1.302686720901870654e+00; 4.809550863105953900e-07
2.744346062664999485e+09; 1.303661206468949452e+00; 5.583499143793085793e-07
2.744347432234813690e+09; 1.304487433014812403e+00; 6.481990434467600273e-07
2.744348408875019550e+09; 1.305171425760690118e+00; 7.525066076035280547e-07
2.744349082294045448e+09; 1.305718951080487633e+00; 8.735992442628184397e-07
2.744349523636443615e+09; 1.306135529152447905e+00; 1.014177991083712754e-06
